S,I,X,R,D,N
1101.53,0.160106,0.101063,10.907,0.305396,
1810.14,0.263103,0.166077,17.9268,0.501951,
1486.52,0.216065,0.136385,14.7198,0.412153,
1716.12,0.249438,0.157451,16.9951,0.475862,
1803.22,0.262097,0.165442,17.8565,0.499983,
2981.94,0.433428,0.27359,29.5245,0.826686,
2673.15,0.38854,0.245256,26.476,0.741329,
1932.87,0.280941,0.177337,19.1405,0.535935,
2666.23,0.387536,0.244622,26.4021,0.73926,
2117.93,0.30784,0.194316,20.9771,0.58736,
1680.49,0.244259,0.154182,16.6413,0.465957,
2197.11,0.31935,0.201582,21.7576,0.609214,
1932.87,0.280942,0.177337,19.1407,0.535941,
2771.13,0.402784,0.254247,27.4423,0.768385,
2537.56,0.368835,0.232818,25.1302,0.703646,
2746.39,0.399189,0.251978,27.1961,0.761491,
1727.01,0.25102,0.15845,17.1033,0.478893,
1545.89,0.224695,0.141833,15.3099,0.428678,
2324.78,0.337906,0.213295,23.0242,0.644678,
2613.77,0.379912,0.23981,25.8841,0.724754,
1529.07,0.22225,0.14029,15.142,0.423975,
1788.37,0.259939,0.16408,17.7099,0.495878,
2119.92,0.30813,0.194499,20.9933,0.587813,
2413.86,0.350855,0.221468,23.9024,0.669266,
2659.29,0.386525,0.243984,26.3412,0.737554,
1557.77,0.226423,0.142923,15.4241,0.431875,
2014.02,0.292739,0.184784,19.9411,0.55835,
2322.81,0.337622,0.213115,22.9977,0.643935,
2005.11,0.291442,0.183966,19.8579,0.556021,
2170.39,0.315465,0.19913,21.4948,0.601855,
1423.18,0.20686,0.130575,14.0902,0.394525,
1593.41,0.231603,0.146193,15.7754,0.441712,
1474.64,0.214339,0.135296,14.6016,0.408846,
1891.3,0.2749,0.173524,18.7291,0.524416,
2840.42,0.412857,0.260606,28.1229,0.78744,
1640.91,0.238507,0.150551,16.2464,0.4549,
1281.65,0.186289,0.11759,12.6889,0.355288,
1317.28,0.191467,0.120859,13.0415,0.365163,
1280.66,0.186145,0.117499,12.6789,0.355011,
1311.34,0.190605,0.120314,12.9823,0.363505,
1601.32,0.232753,0.146919,15.8541,0.443916,
1672.58,0.243109,0.153457,16.5625,0.463749,
1620.12,0.235486,0.148644,16.0423,0.449185,
1393.49,0.202543,0.12785,13.7982,0.38635,
1531.05,0.222539,0.140472,15.1611,0.424509,
1425.16,0.207147,0.130756,14.11,0.395079,
1322.23,0.192187,0.121313,13.0907,0.366541,
1377.65,0.200242,0.126398,13.6402,0.381925,
1456.83,0.21175,0.133662,14.4237,0.403863,
1563.71,0.227286,0.143469,15.4825,0.433509,
1494.43,0.217216,0.137112,14.7977,0.414337,
1589.44,0.231025,0.145829,15.7392,0.440699,
1984.32,0.28842,0.182058,19.6542,0.550318,
1468.7,0.213474,0.13475,14.545,0.40726,
1517.2,0.220525,0.139201,15.0215,0.420602,
1586.48,0.230595,0.145557,15.7081,0.439827,
1774.52,0.257927,0.16281,17.57,0.491961,
1744.83,0.253611,0.160086,17.2762,0.483733,
1670.6,0.242822,0.153275,16.5429,0.463201,
2564.29,0.372721,0.235271,25.3929,0.711001,
1596.37,0.232033,0.146465,15.806,0.442569,
1765.61,0.256632,0.161993,17.4816,0.489485,
1376.66,0.200098,0.126307,13.6306,0.381657,
1869.52,0.271732,0.171524,18.5194,0.518543,
1508.28,0.219227,0.138381,14.9407,0.418339,
2362.38,0.343371,0.216745,23.3999,0.655198,
2307.95,0.33546,0.211751,22.8601,0.640082,
1540.95,0.223978,0.14138,15.2567,0.427189,
1467.71,0.213333,0.134661,14.5315,0.406882,
1524.13,0.221532,0.139837,15.09,0.42252,
1469.69,0.213621,0.134842,14.5514,0.407439,
2531.61,0.367958,0.232266,25.0901,0.702523,
2696.89,0.391981,0.247429,26.727,0.748357,
2787.93,0.405214,0.255783,27.6328,0.773718,
2414.81,0.35098,0.22155,23.9426,0.670393,
2745.38,0.399032,0.25188,27.2036,0.761702,
1452.85,0.211166,0.133293,14.3985,0.403157,
1294.51,0.18815,0.118765,12.8285,0.359199,
3439.13,0.499858,0.315527,34.1014,0.95484,
2538.53,0.368964,0.232901,25.1601,0.704484,
1480.57,0.215194,0.135836,14.673,0.410843,
1838.83,0.267267,0.168706,18.2224,0.510229,
2550.41,0.370694,0.233992,25.2738,0.707666,
1776.48,0.258201,0.162984,17.6106,0.493098,
2756.26,0.400609,0.252877,27.3233,0.765051,
2448.47,0.355873,0.224637,24.2706,0.679576,
3003.69,0.436577,0.27558,29.7661,0.833451,
2873.05,0.41759,0.263594,28.4677,0.797096,
2790.9,0.405645,0.256056,27.6676,0.774692,
2701.83,0.392698,0.247883,26.7814,0.74988,
2317.84,0.336888,0.212653,22.9712,0.643194,
2691.93,0.391262,0.246977,26.6817,0.747087,
1294.51,0.188152,0.118766,12.8266,0.359144,
1684.44,0.244827,0.154542,16.6917,0.467368,
2894.82,0.420754,0.265592,28.6862,0.803215,
1722.05,0.250292,0.157991,17.0664,0.477859,
2077.35,0.301942,0.190593,20.5772,0.576163,
1438.02,0.209014,0.131935,14.2434,0.398816,
2409.89,0.350275,0.221103,23.872,0.668415,
3466.87,0.503909,0.318081,34.3416,0.961566,
1906.14,0.277056,0.174885,18.8796,0.528629,
1721.07,0.250156,0.157905,17.0462,0.477294,
2561.31,0.372284,0.234996,25.3722,0.710423,
1579.54,0.229585,0.14492,15.6453,0.438068,
1748.78,0.254184,0.160447,17.3216,0.485006,
2104.08,0.305826,0.193045,20.8416,0.583566,
2563.29,0.372572,0.235177,25.3933,0.711014,
2776.07,0.4035,0.254699,27.5,0.769999,
2338.63,0.339918,0.214565,23.1659,0.648646,
2583.08,0.375448,0.236992,25.5914,0.71656,
1765.6,0.256629,0.161991,17.4883,0.489672,
1586.47,0.230592,0.145555,15.714,0.439993,
1656.74,0.240805,0.152002,16.41,0.45948,
3415.4,0.496427,0.313358,33.8402,0.947526,
2950.26,0.428821,0.270683,29.219,0.818133,
3425.31,0.497866,0.314266,33.9295,0.950025,
1865.56,0.271158,0.171162,18.478,0.517383,
1884.37,0.273892,0.172888,18.6618,0.52253,
1444.95,0.210022,0.132571,14.3106,0.400698,
1728,0.251163,0.15854,17.1156,0.479236,
2116.94,0.307696,0.194225,20.9693,0.587139,
1538.96,0.223686,0.141196,15.2444,0.426842,
1564.69,0.227426,0.143557,15.5003,0.43401,
2483.13,0.360921,0.227823,24.5969,0.688713,
2683.04,0.389979,0.246165,26.5771,0.744158,
1875.45,0.272595,0.172069,18.5814,0.52028,
2073.39,0.301364,0.190229,20.5422,0.575182,
1978.38,0.287554,0.181512,19.6021,0.548859,
1972.44,0.286692,0.180968,19.5415,0.547163,
1493.44,0.217069,0.137019,14.7955,0.414275,
2254.5,0.327689,0.206846,22.3381,0.625467,
1779.45,0.258641,0.163261,17.6302,0.493645,
1701.27,0.247277,0.156087,16.8555,0.471954,
1870.51,0.271875,0.171614,18.5318,0.518892,
1778.47,0.258497,0.16317,17.6192,0.493336,
1659.7,0.241235,0.152274,16.4434,0.460415,
2481.14,0.36063,0.227639,24.5847,0.688371,
1513.23,0.219945,0.138835,14.9921,0.419778,
2656.31,0.386091,0.243711,26.3216,0.737006,
1710.18,0.248572,0.156905,16.9436,0.47442,
2104.07,0.305823,0.193043,20.8468,0.583711,
2107.04,0.306252,0.193315,20.8782,0.584588,
2639.49,0.383642,0.242167,26.1554,0.73235,
2787.94,0.405221,0.255788,27.6269,0.773553,
2974.99,0.432407,0.272948,29.48,0.825439,
2601.88,0.378176,0.238716,25.7848,0.721974,
2536.57,0.368688,0.232726,25.1245,0.703485,
2015,0.292878,0.184872,19.9598,0.558874,
2058.55,0.299208,0.188868,20.3904,0.57093,
2740.43,0.398315,0.251428,27.1552,0.760345,
2339.61,0.340056,0.214653,23.1842,0.649159,
2495.98,0.362785,0.229,24.7314,0.692479,
3437.18,0.49959,0.315356,34.0508,0.953421,
2555.36,0.371414,0.234448,25.3249,0.709097,
2695.9,0.391843,0.247343,26.7122,0.747941,
2680.06,0.389538,0.245888,26.5615,0.743721,
2406.92,0.349842,0.22083,23.8429,0.6676,
2711.72,0.394139,0.248794,26.8833,0.752732,
2349.51,0.341496,0.215562,23.2793,0.65182,
1706.22,0.247994,0.156541,16.9055,0.473355,
1749.78,0.254331,0.16054,17.3236,0.485062,
1507.3,0.219087,0.138293,14.9226,0.417832,
1599.34,0.232466,0.146738,15.8336,0.443341,
1727.01,0.251023,0.158452,17.0974,0.478727,
