S,I,X,R,D,N
1014.79,0.4457,0.46053,94.658,2.65042,
1582.76,1.61047,1.65445,236.36,6.61807,
1370.82,0.580097,0.608254,126.451,3.54062,
1580.82,0.674753,0.693033,147.681,4.13507,
1664.8,0.683401,0.721274,151.553,4.24348,
2759.45,1.08155,1.17345,244.45,6.84461,
2341.24,2.17881,2.22863,345.676,9.67893,
1771.35,0.830035,0.872476,175.045,4.90125,
2448.56,1.10167,1.16256,236.548,6.62335,
1946.17,0.851856,0.851077,186.89,5.23292,
1552.14,0.621003,0.650213,140.647,3.93812,
2027.3,0.835869,0.873203,185.785,5.20199,
1784.16,0.725268,0.761884,162.795,4.55826,
2556.33,1.05715,1.10273,234.933,6.57813,
2340.37,0.972272,1.00652,215.609,6.03706,
2544.1,0.966878,1.01784,222.685,6.23518,
1590.66,0.669818,0.678091,148.826,4.16712,
1422.97,0.601374,0.607204,134.07,3.75396,
2145.96,0.868268,0.892352,195.797,5.48231,
2412.62,0.979702,1.02522,220.21,6.16589,
1411.91,0.571027,0.595861,128.331,3.59327,
1650.45,0.670643,0.698359,150.958,4.22683,
1956.4,0.790801,0.837953,178.964,5.01098,
2234.67,0.872902,0.933,197.012,5.51634,
2321.97,2.21417,2.22361,350.773,9.82163,
1406.16,0.459755,0.876636,161.964,4.53501,
1819.89,0.592023,1.12771,207.582,5.8123,
2105.3,0.651652,1.25787,233.257,6.5312,
1812.88,0.590164,1.16083,205.608,5.75701,
1960.31,0.653379,1.2743,224.481,6.28547,
1290.66,0.390968,0.768335,142.201,3.98162,
1445.54,0.434855,0.846421,158.736,4.4446,
1335.86,0.414935,0.825723,148.731,4.16448,
1712.88,0.541673,1.07616,191.155,5.35233,
2575.32,0.799921,1.54885,284.368,7.96231,
1485.75,0.460178,0.899658,166.235,4.65459,
1160.94,0.355728,0.70185,129.376,3.62253,
1193.36,0.365622,0.713815,132.84,3.71952,
1160.78,0.353995,0.694711,128.575,3.60011,
1188.36,0.361515,0.705572,131.877,3.69256,
1449.89,0.456823,0.874199,162.237,4.54264,
1517.12,0.461839,0.928682,166.818,4.67091,
1470.34,0.446207,0.893537,160.82,4.50295,
1264.47,0.381856,0.773495,138.5,3.878,
1388.99,0.425562,0.851161,152.46,4.26888,
1292.72,0.383619,0.766937,142.154,3.9803,
1199.77,0.355424,0.705144,131.491,3.68174,
1248.75,0.38708,0.757602,138.236,3.8706,
1320.46,0.400425,0.792489,146.25,4.09499,
1417.6,0.432853,0.85467,156.728,4.38838,
1349.68,0.434767,0.854771,154.702,4.33165,
1434.99,0.469719,0.923238,164.994,4.61982,
1785.82,0.615223,1.20829,211.432,5.92011,
1326.31,0.434949,0.8668,152.133,4.25972,
1372.23,0.430759,0.835689,155.159,4.34446,
1435.05,0.457696,0.888702,162.065,4.53781,
1608.93,0.493635,0.966734,177.632,4.9737,
1582.24,0.489205,0.964335,174.425,4.8839,
1514.39,0.470026,0.940927,167.506,4.69016,
2325.74,0.723929,1.42503,255.943,7.16639,
1447.34,0.440318,0.871749,159.871,4.47638,
1600.95,0.490657,0.965652,176.651,4.94622,
1248.61,0.376965,0.748824,137.416,3.84765,
1679.18,0.598722,1.16836,202.382,5.66669,
1355.08,0.475438,0.937124,162.943,4.56239,
2127.52,0.739844,1.42706,250.301,7.00842,
2080.15,0.708934,1.38548,242.949,6.80258,
1395.94,0.432033,0.8472,155.424,4.35187,
1330.53,0.406015,0.794127,147.148,4.12015,
1381.93,0.424543,0.828546,152.542,4.27118,
1333.3,0.402422,0.793191,146.407,4.09941,
1925.81,3.98313,4.74123,606.484,16.9815,
2276.4,3.38292,3.39352,429.793,12.0342,
2120.06,4.38595,5.22346,668.608,18.721,
1823.47,3.8051,4.54331,591.617,16.5653,
2332.54,3.47407,3.44373,422.706,11.8358,
1099.03,2.31894,2.75919,353.982,9.91149,
980.125,2.07971,2.47217,314.516,8.80646,
2594.89,5.38424,6.39368,844.683,23.6511,
1927.64,3.99462,4.76275,611.48,17.1214,
1125.2,2.37388,2.84449,355.628,9.95759,
1403.05,2.94645,3.51533,436.269,12.2155,
1951.2,4.03259,4.80906,600.152,16.8043,
1334.05,2.81329,3.3449,442.409,12.3875,
2092.16,4.39517,5.23254,664.607,18.609,
2053.47,3.03782,3.01947,403.186,11.2892,
2308.11,4.75975,5.70305,696.909,19.5135,
2206.2,4.46476,5.34121,668.284,18.712,
2125.22,4.43025,5.30731,666.381,18.6587,
2046.83,4.27959,5.08655,655.448,18.3526,
1763.22,3.65612,4.36301,555.215,15.546,
2060.5,4.2814,5.13011,632.383,17.7067,
985.768,2.07286,2.47091,309.035,8.65299,
1284.37,2.6884,3.20595,400.523,11.2147,
2231.5,4.5797,5.48552,664.824,18.6151,
1306.53,2.74139,3.2725,415.816,11.6428,
1915.91,0.757993,0.757024,176.626,4.94552,
1324.92,0.525369,0.511712,123.583,3.46033,
2218.19,0.910185,0.896871,209.147,5.85611,
3197.8,1.26665,1.28018,294.406,8.24336,
1760.18,0.675122,0.679004,159.989,4.47969,
