S,I,X,R,D,N
1084.19,1.24654,1.37812,25.4754,0.713311,
1759.1,4.03718,5.67157,58.5513,1.63944,
1463.22,1.66295,1.8451,34.3152,0.960826,
1689.01,1.93831,2.16438,39.7708,1.11358,
1775.06,1.95125,2.21425,41.6117,1.16513,
2936.18,2.99654,3.49981,68.409,1.91545,
2597.91,5.99049,8.37118,86.3081,2.41663,
1901.69,2.33788,2.54852,45.1562,1.26437,
2623.63,3.12551,3.4379,62.0723,1.73802,
2083.8,2.56468,2.80295,49.4513,1.38464,
1654.42,1.79857,2.03556,38.6633,1.08257,
2162.63,2.41758,2.72942,50.8023,1.42246,
1902.69,2.1049,2.37755,44.5839,1.24835,
2727.71,3.0543,3.43091,64.0131,1.79237,
2497.88,2.76278,3.12761,58.5931,1.64061,
2704.37,2.76175,3.20845,62.8966,1.7611,
1699.55,1.99946,2.21664,40.1069,1.12299,
1521.26,1.84462,1.99519,35.8975,1.00513,
2288.36,2.55713,2.88391,53.6968,1.50351,
2573.02,2.80334,3.19995,60.2856,1.688,
1505.3,1.64502,1.86392,35.2096,0.985868,
1760.44,1.93608,2.19826,41.2713,1.1556,
2086.77,2.30265,2.61351,48.9401,1.37032,
2376.8,2.46443,2.84019,55.3465,1.5497,
2582.9,6.2581,8.60876,86.8021,2.43046,
1528.87,1.69475,2.28798,40.0272,1.12076,
1976.82,2.15776,2.92712,51.6498,1.44619,
2280.36,2.3865,3.29547,59.3009,1.66043,
1967.89,2.12591,2.93911,51.5985,1.44476,
2130.03,2.35808,3.1875,55.861,1.56411,
1397.18,1.4539,2.00798,36.3409,1.01755,
1564.33,1.61024,2.24588,40.6702,1.13877,
1447.56,1.52281,2.10379,37.7532,1.05709,
1856.39,1.98509,2.73319,48.5365,1.35902,
2788.44,2.91193,4.03891,72.5777,2.03218,
1610.83,1.68742,2.33845,41.9695,1.17515,
1258.18,1.30617,1.81968,32.7752,0.917705,
1293.09,1.36768,1.88394,33.7143,0.944,
1257.23,1.29598,1.81558,32.7422,0.916781,
1287.35,1.35687,1.8602,33.4954,0.937871,
1571.95,1.67437,2.28934,40.938,1.14626,
1641.89,1.71185,2.38077,42.8181,1.19891,
1590.46,1.62244,2.29957,41.4542,1.16072,
1367.96,1.39501,1.97351,35.6745,0.998887,
1502.97,1.55083,2.17726,39.2024,1.09767,
1399.08,1.44286,2.01772,36.4366,1.02023,
1298.15,1.30719,1.85546,33.744,0.944831,
1352.35,1.41932,1.96284,35.2815,0.987881,
1430.16,1.48995,2.06805,37.2423,1.04278,
1535.05,1.59975,2.2246,40.0046,1.12013,
1466.7,1.61575,2.18623,38.426,1.07593,
1559.92,1.70423,2.33061,40.9022,1.14526,
1946.92,2.28658,3.01012,51.3414,1.43756,
1441.44,1.54427,2.14779,37.8054,1.05855,
1489.27,1.58989,2.18787,38.8667,1.08827,
1557.21,1.67536,2.29325,40.6836,1.13914,
1741.95,1.84112,2.53097,45.4019,1.27125,
1712.82,1.75666,2.48928,44.6863,1.25122,
1639.93,1.69155,2.3868,42.7912,1.19815,
2517.27,2.6383,3.65824,65.5935,1.83662,
1567.21,1.60931,2.25371,40.7846,1.14197,
1733.34,1.78786,2.49712,45.1116,1.26313,
1351.49,1.39099,1.94843,35.1899,0.985318,
1834.06,2.19702,2.86929,48.5164,1.35846,
1479.74,1.7446,2.30243,39.1153,1.09523,
2317.87,2.69833,3.58657,61.1295,1.71163,
2264.59,2.60659,3.47681,59.6517,1.67025,
1512.75,1.54801,2.18315,39.4123,1.10354,
1440.91,1.47846,2.07289,37.4881,1.04967,
1496.26,1.54239,2.15532,38.9514,1.09064,
1442.87,1.47167,2.0687,37.5343,1.05096,
2433.42,12.9589,13.7711,95.1839,2.66515,
2611.98,8.09569,10.0695,92.2726,2.58363,
2680,14.246,15.1343,104.691,2.93134,
2320.19,12.7516,13.3367,91.1717,2.55281,
2660.07,7.93774,10.0448,93.3335,2.61334,
1395.5,7.66916,8.09912,55.1895,1.54531,
1243.35,6.81391,7.22641,49.228,1.37839,
3304.73,18.2651,18.916,129.461,3.6249,
2439.78,13.1498,13.87,95.5262,2.67473,
1422.89,7.57924,8.11046,55.8583,1.56403,
1768.16,9.19806,9.87897,68.8349,1.92738,
2452.91,12.6801,13.6009,95.1464,2.6641,
1705.91,9.57419,9.988,67.6327,1.89372,
2649.58,14.1882,14.9579,103.382,2.89469,
