S,I,X,R,D,N
1101.9,0.0798511,0.0527728,10.6685,0.298718,
1810.76,0.13122,0.0867222,17.5349,0.490977,
1487.02,0.10776,0.0712174,14.3979,0.403141,
1716.7,0.124404,0.0822177,16.6235,0.465458,
1803.83,0.130718,0.0863903,17.4661,0.489051,
2982.95,0.216168,0.142862,28.8789,0.808608,
2674.06,0.193781,0.128069,25.8972,0.725122,
1933.52,0.140116,0.0926018,18.722,0.524217,
2667.13,0.19328,0.127737,25.8248,0.723095,
2118.65,0.153532,0.101468,20.5186,0.57452,
1681.06,0.121822,0.0805108,16.2774,0.455768,
2197.86,0.159273,0.105262,21.2819,0.595893,
1933.52,0.140117,0.0926018,18.7222,0.524223,
2772.07,0.200885,0.132763,26.8423,0.751584,
2538.43,0.183953,0.121573,24.5808,0.688261,
2747.32,0.199092,0.131577,26.6015,0.744841,
1727.59,0.125194,0.0827393,16.7294,0.468423,
1546.42,0.112064,0.0740621,14.9752,0.419306,
2325.57,0.168528,0.111378,22.5209,0.630584,
2614.66,0.189477,0.125224,25.3181,0.708908,
1529.59,0.110845,0.0732562,14.8109,0.414705,
1788.98,0.129642,0.0856791,17.3227,0.485035,
2120.64,0.153676,0.101563,20.5343,0.574961,
2414.68,0.174986,0.115646,23.3797,0.654632,
2660.19,0.192776,0.127404,25.7654,0.721432,
1558.3,0.112926,0.0746315,15.0868,0.422431,
2014.71,0.146001,0.0964901,19.505,0.546139,
2323.6,0.168386,0.111284,22.4947,0.629853,
2005.79,0.145355,0.0960631,19.4237,0.543864,
2171.13,0.157336,0.103982,21.0249,0.588697,
1423.66,0.103169,0.068183,13.782,0.385897,
1593.95,0.115509,0.0763385,15.4304,0.432051,
1475.14,0.106899,0.0706484,14.2824,0.399906,
1891.94,0.137104,0.0906103,18.3196,0.51295,
2841.38,0.205909,0.136082,27.5078,0.77022,
1641.47,0.118953,0.0786144,15.8911,0.444952,
1282.09,0.0929092,0.0614025,12.4113,0.347518,
1317.73,0.0954922,0.0631095,12.7563,0.357177,
1281.1,0.0928377,0.0613552,12.4017,0.347246,
1311.79,0.0950619,0.0628251,12.6984,0.355555,
1601.87,0.116083,0.0767178,15.5074,0.434208,
1673.14,0.121249,0.0801316,16.2003,0.453609,
1620.67,0.117446,0.0776186,15.6915,0.439363,
1393.96,0.101016,0.0667603,13.4965,0.377902,
1531.57,0.110989,0.0733512,14.8295,0.415227,
1425.64,0.103312,0.0682779,13.8014,0.386438,
1322.68,0.0958509,0.0633466,12.8045,0.358525,
1378.12,0.0998685,0.0660018,13.3419,0.373573,
1457.32,0.105608,0.0697951,14.1082,0.39503,
1564.24,0.113357,0.0749159,15.1439,0.424029,
1494.94,0.108334,0.0715969,14.4742,0.405277,
1589.98,0.115221,0.0761488,15.3951,0.431062,
1985,0.143847,0.0950676,19.2246,0.538288,
1469.2,0.106468,0.0703638,14.227,0.398356,
1517.71,0.109984,0.0726874,14.693,0.411404,
1587.01,0.115007,0.0760066,15.3646,0.430208,
1775.12,0.128638,0.0850154,17.1858,0.481202,
1745.42,0.126486,0.083593,16.8984,0.473155,
1671.16,0.121105,0.0800368,16.1812,0.453073,
2565.16,0.185891,0.122853,24.8377,0.695455,
1596.91,0.115724,0.0764807,15.4604,0.432891,
1766.21,0.127993,0.0845888,17.0993,0.47878,
1377.13,0.0997969,0.0659544,13.3325,0.37331,
1870.15,0.135524,0.0895677,18.1146,0.507209,
1508.8,0.109338,0.0722607,14.6141,0.409195,
2363.19,0.171254,0.113181,22.8884,0.640876,
2308.74,0.167308,0.110572,22.3604,0.62609,
1541.47,0.111707,0.0738254,14.9231,0.417847,
1468.21,0.106397,0.0703166,14.2137,0.397983,
1524.64,0.110487,0.0730194,14.76,0.413279,
1470.19,0.106541,0.0704114,14.2332,0.398529,
2532.47,0.183517,0.121289,24.542,0.687175,
2697.8,0.195498,0.129208,26.1431,0.732007,
2788.88,0.202099,0.13357,27.0292,0.756816,
2415.63,0.175051,0.115696,23.4197,0.655753,
2746.32,0.199014,0.131531,26.6092,0.745058,
1453.35,0.105317,0.0696059,14.0839,0.394349,
1294.94,0.0938382,0.0620193,12.5482,0.351351,
3440.3,0.249304,0.164773,33.3568,0.93399,
2539.39,0.184019,0.121622,24.6105,0.689094,
1481.07,0.107326,0.0709339,14.3524,0.401867,
1839.46,0.133298,0.0880984,17.8243,0.499081,
2551.28,0.184881,0.12219,24.7216,0.692204,
1777.08,0.128776,0.0851122,17.226,0.482328,
2757.19,0.199803,0.132055,26.7265,0.748341,
2449.3,0.177489,0.117306,23.7404,0.664732,
3004.71,0.217741,0.143908,29.1158,0.815241,
2874.03,0.208271,0.137648,27.8457,0.779678,
2791.84,0.202315,0.133715,27.0633,0.757772,
2702.74,0.195857,0.129446,26.1964,0.7335,
2318.62,0.168021,0.111048,22.4693,0.629142,
2692.85,0.195141,0.128973,26.0988,0.730767,
