S,I,X,R,D,N
1053.48,0.938779,1.15041,55.8705,1.56437,
1698.79,4.67018,4.12006,118.11,3.30707,
1422.21,1.26067,1.55661,74.8742,2.09648,
1641.05,1.43505,1.77435,87.299,2.44437,
1725.91,1.51365,1.87877,90.1758,2.52492,
2856.36,2.56683,3.17346,146.794,4.11022,
2510.57,6.82251,5.96269,172.806,4.83857,
1845.22,1.70367,2.06717,101.176,2.83293,
2546.89,2.35061,2.84754,138.043,3.86521,
2024.28,1.71294,2.13423,108.825,3.04709,
1608.41,1.36867,1.73081,84.1362,2.35581,
2102.57,1.83128,2.2683,110.248,3.08695,
1849.48,1.60954,2.00577,97.1843,2.72116,
2651.42,2.32593,2.88758,139.459,3.90486,
2427.76,2.0938,2.61591,127.947,3.58252,
2631.74,2.23489,2.82009,134.445,3.76446,
1651.46,1.41511,1.76147,87.898,2.46114,
1478.18,1.23364,1.55199,78.8253,2.20711,
2225.3,1.85127,2.34695,116.248,3.25494,
2501.33,2.1553,2.6936,131.149,3.67217,
1463.42,1.2555,1.56451,76.6178,2.1453,
1711.53,1.47048,1.83747,89.6489,2.51017,
2028.3,1.75107,2.19342,106.766,2.98946,
2312.02,2.03005,2.52885,119.088,3.33447,
2494.72,6.75871,5.85929,174.77,4.89356,
1473.27,4.03348,4.19551,89.9843,2.51956,
1905.67,5.21637,5.41503,115.463,3.23296,
2200.8,6.0609,6.26239,130.228,3.64637,
1897.66,5.41211,5.51291,114.219,3.19812,
2053.16,5.85555,5.96002,124.536,3.487,
1348.46,3.70931,3.84787,79.7484,2.23296,
1510.05,4.14692,4.2903,89.0164,2.49246,
1396.75,3.949,4.03844,82.9429,2.3224,
1791.48,5.08352,5.18446,106.275,2.97569,
2691.23,7.52339,7.71772,159.077,4.45417,
1554.07,4.28109,4.43604,92.6218,2.59341,
1213.88,3.35015,3.47811,72.2678,2.0235,
1247.73,3.43899,3.57101,74.184,2.07715,
1213.43,3.31222,3.44886,71.8026,2.01047,
1242.42,3.3834,3.52346,73.6075,2.06101,
1516.41,4.15777,4.3145,90.5803,2.53625,
