S,I,X,R,D,N
1015.97,0.430394,0.540363,93.4381,2.61627,
1587.09,1.74688,1.7178,231.952,6.49465,
1372.37,0.576947,0.721896,124.835,3.49537,
1582.61,0.647679,0.812541,145.846,4.0837,
1666.63,0.681776,0.860167,149.635,4.18977,
2762.36,1.1174,1.4558,241.311,6.7567,
2347.08,2.34874,2.32197,339.74,9.51272,
1773.57,0.827886,1.03565,172.725,4.83631,
2451.52,1.10281,1.38325,233.455,6.53674,
1948.43,0.793984,0.950109,184.651,5.17024,
1553.81,0.60951,0.770296,138.921,3.88979,
2029.54,0.824414,1.03511,183.467,5.13707,
1786.1,0.719159,0.908068,160.771,4.50159,
2559.14,1.05266,1.31598,231.998,6.49594,
2342.98,0.941624,1.17666,212.943,5.9624,
2546.67,0.963243,1.22706,219.977,6.15935,
1592.43,0.635117,0.777876,147.037,4.11703,
1424.57,0.568426,0.68281,132.47,3.70915,
2148.27,0.843379,1.03388,193.433,5.41612,
2415.24,0.967549,1.21883,217.486,6.0896,
1413.44,0.555864,0.70368,126.75,3.54901,
1652.23,0.659458,0.829432,149.105,4.17493,
1958.52,0.795055,1.00007,176.735,4.94858,
2237.01,0.88656,1.13512,194.524,5.44669,
2327.87,2.3288,2.27135,344.871,9.6564,
1407.44,0.868533,1.8015,159.424,4.46386,
1821.54,1.11651,2.3053,204.315,5.72083,
2107.13,1.24754,2.58716,229.608,6.42901,
1814.54,1.17386,2.4005,202.228,5.66239,
1962.14,1.28318,2.61418,220.777,6.18176,
1291.75,0.758832,1.59795,139.969,3.91914,
1446.75,0.837307,1.75938,156.278,4.37579,
1337.03,0.82325,1.72098,146.327,4.09717,
1714.39,1.0818,2.23837,188.022,5.26461,
2577.56,1.54597,3.18948,279.87,7.83635,
1487.05,0.892745,1.85729,163.621,4.58139,
1161.94,0.695482,1.46366,127.336,3.56541,
1194.39,0.704454,1.47696,130.766,3.66144,
1161.77,0.687884,1.44544,126.556,3.54356,
1189.38,0.692435,1.46077,129.83,3.63524,
1451.16,0.864355,1.79668,159.704,4.4717,
1518.42,0.927889,1.94015,164.113,4.59516,
1471.59,0.895956,1.86563,158.218,4.4301,
1265.54,0.772605,1.62448,136.245,3.81486,
1390.19,0.850443,1.7778,149.98,4.19945,
1293.8,0.762421,1.60167,139.922,3.91781,
1200.76,0.70057,1.47569,129.438,3.62427,
1249.83,0.751523,1.57859,136.034,3.80894,
1321.58,0.786447,1.65615,143.944,4.03043,
1418.81,0.846712,1.77998,154.242,4.31879,
1350.9,0.853289,1.76864,152.217,4.26209,
1436.32,0.922592,1.90722,162.31,4.54468,
1787.56,1.21854,2.47792,207.92,5.82176,
1327.53,0.871145,1.80323,149.608,4.18903,
1373.44,0.827177,1.72222,152.734,4.27655,
1436.33,0.881198,1.83448,159.486,4.4656,
1610.31,0.963276,2.01371,174.82,4.89497,
1583.61,0.965276,2.00709,171.617,4.80528,
1515.72,0.942266,1.96267,164.765,4.61341,
2327.78,1.42414,2.94728,251.8,7.0504,
1448.58,0.86848,1.81106,157.334,4.40537,
1602.32,0.963497,2.00983,173.842,4.86758,
1249.67,0.741196,1.56396,135.238,3.78667,
1680.87,1.18238,2.39724,198.983,5.57154,
