S,I,X,R,D,N
1037.39,1.73739,1.41319,70.4872,1.97364,
1618.45,1.85925,2.78174,200.301,5.60844,
1400.94,2.32672,1.87939,94.2142,2.638,
1615.97,2.69024,2.19444,110.068,3.08191,
1700.83,2.73984,2.21118,113.052,3.16546,
2819.04,4.13327,3.26498,181.477,5.08136,
2390.29,2.73176,4.15527,295.544,8.27522,
1815,3.2515,2.64734,128.504,3.59812,
2506.83,4.32573,3.51365,174.445,4.88445,
1989.37,3.64459,3.0656,139.998,3.91994,
1585.33,2.57004,2.05693,105.103,2.94288,
2071.48,3.35633,2.72568,138.554,3.8795,
1822.71,2.91525,2.35628,121.616,3.40526,
2612.31,4.23796,3.42272,175.123,4.90343,
2391.79,3.92231,3.14799,160.637,4.49784,
2596.76,3.8698,3.07912,166.627,4.66555,
1625.46,2.77589,2.28469,111.36,3.11807,
1454.06,2.58146,2.13451,100.408,2.81143,
2191.9,3.60795,2.94617,146.445,4.10046,
2464.89,3.95999,3.20929,164.337,4.60144,
1442.16,2.3093,1.89443,95.9475,2.68653,
1686.26,2.76809,2.23639,112.586,3.15241,
1998.93,3.21397,2.5826,133.536,3.73899,
2281.92,3.39245,2.65679,146.916,4.11364,
2370.44,2.82708,4.35823,300.948,8.42655,
1456.59,1.27074,1.00239,112.002,3.13605,
1884.39,1.64168,1.27251,143.671,4.02279,
2177.04,1.7569,1.37974,162.278,4.54378,
1876.96,1.45159,1.15181,142.451,3.98863,
2030.29,1.62603,1.30346,155.424,4.35188,
1334.55,1.02542,0.797186,98.8596,2.76807,
1494.25,1.18467,0.914071,110.556,3.09557,
1382.13,1.04062,0.811453,103.133,2.88773,
1772.43,1.34788,1.05852,132.459,3.70884,
2662.43,2.06399,1.63868,198.316,5.55286,
1537.32,1.24882,0.977226,115.231,3.22648,
1201.09,0.944528,0.736872,89.7136,2.51198,
1234.52,1.00179,0.775282,92.126,2.57953,
1200.72,0.952546,0.738238,89.0964,2.4947,
1229.25,1.00821,0.776885,91.4011,2.55923,
1500.07,1.23502,0.961951,112.581,3.15227,
1568.84,1.15466,0.909463,115.85,3.2438,
1520.25,1.11779,0.866471,111.642,3.12597,
1307.65,0.93945,0.739961,95.9818,2.68749,
1436.26,1.0575,0.832004,105.887,2.96483,
1336.46,1.02062,0.80376,98.9464,2.7705,
1240.43,0.941451,0.738437,91.3328,2.55732,
1291.58,0.987108,0.759775,95.9882,2.68767,
1365.57,1.06306,0.833499,101.684,2.84716,
1466.32,1.13425,0.898914,108.605,3.04095,
1398.04,1.15695,0.916571,106.892,2.99298,
1486.85,1.22425,0.969566,113.767,3.18547,
1852.5,1.55888,1.26103,145.605,4.07693,
1374.2,1.05482,0.838751,104.969,2.93912,
1420.4,1.20076,0.933983,107.459,3.00885,
1485.49,1.2247,0.960456,112.188,3.14126,
1663.75,1.26866,0.991875,123.527,3.45876,
1636.2,1.21712,0.96591,121.223,3.39423,
1566.52,1.18211,0.920951,116.125,3.25151,
2404.52,1.80968,1.43724,178.24,4.99071,
1496.88,1.14454,0.907689,110.959,3.10684,
1655.51,1.27586,0.99849,122.779,3.4378,
1291.14,0.985173,0.765718,95.4415,2.67236,
1743.31,1.48746,1.22001,139.083,3.89434,
1406.8,1.20705,0.962983,111.901,3.13322,
2205.74,1.87114,1.50642,173.04,4.84513,
2156.29,1.77615,1.4459,167.79,4.69812,
1444.18,1.13999,0.891653,107.77,3.01756,
1376.04,1.07491,0.833576,102.185,2.86119,
1429.03,1.11863,0.86506,106.02,2.96855,
1378.38,1.06885,0.832893,101.864,2.8522,
2135.77,15.2972,14.4575,381.785,10.69,
2347.13,3.85813,5.36183,358.61,10.0411,
2350.76,16.8041,15.8485,421.782,11.8099,
2024.37,14.6398,13.721,376.722,10.5482,
2403.59,3.80291,5.38411,351.386,9.83882,
1221.49,8.98432,8.41996,222.861,6.2401,
1089.59,7.99609,7.53211,197.351,5.52584,
2875.99,20.4414,19.2755,544.06,15.2337,
2137.87,15.3719,14.4318,386.507,10.8222,
1250.21,9.13522,8.5624,221.884,6.21275,
1557.74,11.2264,10.4932,270.952,7.58667,
2163.03,15.3275,14.4596,373.719,10.4641,
1482.37,10.8221,10.1706,283.691,7.94334,
