,ANTRIM
0,0.015909376479999997
1,0.0433135219
2,0.08297759839999994
3,0.13081059340000004
4,0.19469363649999996
5,0.27465704099999977
6,0.375233817
7,0.5003467459999997
8,0.6552428480000001
9,0.8441570199999997
10,1.075304566000001
11,1.3551581199999987
12,1.6933701149999993
13,2.1008090730000006
14,2.591962880000001
15,3.1810014599999996
16,3.8848917600000035
17,4.719074689999998
18,5.716128089999999
19,6.899368639999997
20,8.305563150000006
21,9.965663760000009
22,11.929120779999996
23,14.25448008
24,16.99442491000001
25,20.226079199999994
26,24.03406764
27,28.510493700000016
28,33.788863800000016
29,39.99260899999998
30,47.27446550000005
31,55.83009330000001
32,65.86138790000003
33,77.62521410000004
34,91.43870069999993
35,107.62542449999998
36,126.56972690000008
37,148.76388859999994
38,174.75043270000003
39,205.14535100000003
40,240.71778169999982
41,282.3131690000002
42,330.95354800000007
43,387.802235
44,454.232886
45,531.8533610000002
46,622.5127580000004
47,728.3203139999996
48,851.9141759999994
49,996.1364640000002
50,1049.5711239999996
51,1106.1201699999995
52,1165.8894869999995
53,1229.1633519999996
54,1296.1052429999984
55,1366.7296910000005
56,1441.3302509999996
57,1520.0875640000002
58,1603.1847290000007
59,1690.8900800000008
60,1783.4113800000005
61,1880.992342
62,1983.8491460000002
63,2092.275077000001
64,2206.4992340000003
65,2083.4845089999985
66,1967.284565000001
67,1857.5353780000007
68,1753.8726660000007
69,1655.9585639999996
70,1563.4809019999993
71,1476.1420059999998
72,1393.6539710000002
73,1315.752540000001
74,1242.1848199999995
75,1172.7142
76,1107.1094530000003
77,1045.1619300000002
78,986.6660309999995
79,931.4331439999999
80,879.2795460000007
81,830.0365459999998
82,783.5431400000003
83,739.6459000000002
84,698.2003589999991
85,659.0709329999994
86,622.1288629999995
87,587.2518680000002
88,554.325248
89,523.2404469999998
90,493.894928
91,466.1923530000003
92,440.04017800000025
93,415.3524320000003
94,392.047439
95,370.04767299999986
96,349.28060199999993
97,329.677122
98,311.17235899999986
99,293.70490400000006
100,277.216672
101,261.6529660000001
102,246.96207460000008
103,233.09506
104,220.0058672000003
105,207.6510777
106,195.98934289999988
107,184.98202560000013
108,174.5923938
109,164.7857968
110,155.52965630000003
111,146.79310949999996
112,138.54694569999992
113,130.7637291
114,123.4174832
115,116.48373170000005
116,109.93932870000008
117,103.7624107
118,97.932389
119,92.42977839999999
120,87.23621929999996
121,82.33434120000001
122,77.70782479999991
123,73.34119439999998
124,69.21984269999997
125,65.33000449999996
126,61.65870389999996
127,58.193644800000015
128,54.92329079999998
129,51.836649099999995
130,48.923432999999946
131,46.1739171
132,43.57887850000004
133,41.12966559999998
134,38.81806390000002
135,36.63636090000001
136,34.57725750000001
137,32.633873400000034
138,31.99626600000001
139,31.370950699999995
140,30.757744500000012
