,ANTRIM,TYRONE,DOWN,ARMAGH,LONDONDERRY,FERMANAGH,LONGFORD,WICKLOW,CARLOW,KILDARE,MONAGHAN,WEXFORD,DUBLIN,OFFALY,MEATH,KILKENNY,TIPPERARY,GALWAY,LOUTH,LAOIS,WESTMEATH,CLARE,CORK,KERRY,LIMERICK,WATERFORD,SLIGO,LEITRIM,MAYO,CAVAN,ROSCOMMON,DONEGAL
0,2.0502967698999996,0.012443013779999994,0.1712172418000001,0.027459871300000008,0.011475965400000003,0.001835959937,0.0007565522910000002,0.0031360239279999997,0.0009690332790000001,0.003223904011999999,0.00340939791,0.0017897827619999993,0.017859041870000012,0.0024549128218000005,0.006541630949999999,0.0006089501294000004,0.0006304843680000004,0.0009264356060999998,0.006519787499999999,0.0009295119910000002,0.0018531319770000005,0.000340740504,0.00036477773600000003,0.00010858877100000001,0.00016785515359999997,0.00030603170389999993,0.00026628029389999996,0.0004209087969999999,0.00019763106699999995,0.0015834221900000002,0.00019151833069999997,0.003954374708000001
1,2.107286936,0.03192419054,0.3501055520000002,0.0598189584,0.024560400299999997,0.0038190399600000007,0.00166613142,0.00797791408,0.0021225359799999996,0.00818305637,0.0075509891,0.00499640587,0.0452619715,0.006309071149999996,0.016566049279999998,0.00173647281,0.0017607628009999998,0.001807631429999999,0.015251928800000002,0.0021815747500000004,0.0037079495099999983,0.0006403177229999999,0.0016815058808,0.0003584002411000001,0.00045413642700000003,0.0009084311739999999,0.0009747318900000001,0.0012464623100000005,0.0005885799159999999,0.003417095170000001,0.00048405666000000003,0.00906071152
2,2.182733928,0.05495221289999997,0.5380201939999997,0.0968021138,0.041952079100000005,0.0068364444400000005,0.003386665940000001,0.0135396378,0.0032394505700000004,0.014345930000000002,0.011815369299999998,0.008492564070000003,0.08321178369999992,0.010046307870000002,0.028730818199999987,0.0033038938100000007,0.0032898109499999977,0.0034552219880000018,0.023876128000000003,0.003518504019999999,0.006972996429999999,0.0012008041459999994,0.0035706138889999967,0.0007225505350000005,0.000995207771,0.00199701862,0.00201709277,0.002502925880000001,0.0015334511780000014,0.0058101984,0.00120472377,0.015741994989999997
3,2.2873129980000004,0.08223307260000003,0.7296082799999998,0.13739319599999997,0.06297893000000002,0.010389094100000001,0.0055078534,0.0206843069,0.005239753199999999,0.0235166398,0.0168531055,0.013247749430000002,0.13129883090000002,0.014555089830000008,0.04257221009999999,0.005484659690000002,0.005685104139999999,0.00623617849,0.034169683,0.005442315809999998,0.010367147900000004,0.002154623713999999,0.006502019336999995,0.0013098504890000002,0.0018625027799999995,0.0032824890800000005,0.0036545611700000012,0.0035863515,0.0030356834000000023,0.008572232,0.00200800842,0.02465904032
4,2.4258888329999992,0.11527807529999996,0.9272501200000003,0.18109883599999993,0.087757561,0.014911970200000001,0.0080378122,0.028450005599999998,0.007278146,0.033287376599999995,0.023896409900000005,0.019151571500000002,0.19272877100000005,0.019850837939999987,0.05943419240000001,0.00828064115,0.008768116179999997,0.010200202710000005,0.046609465,0.008037300500000002,0.014916569499999999,0.0036082109300000008,0.010668123329999998,0.0023421829000000007,0.0031472927299999983,0.005087552709999998,0.005839127839999999,0.005102116099999999,0.004727500989999999,0.011821372999999998,0.0031602063999999997,0.0352541773
5,2.5919116590000004,0.15368256979999992,1.1374738599999998,0.22907542399999997,0.11811557700000003,0.02017505269999999,0.0109577055,0.03841311680000001,0.009892159499999997,0.045639537199999976,0.031356135699999996,0.026919232700000004,0.2720850209999998,0.027089665399999994,0.08017547040000002,0.011988743200000002,0.013050163350000005,0.01575077485,0.06016936700000001,0.0112969476,0.02044455269999999,0.005706479920000002,0.016515048149999993,0.003538238579999998,0.004973246809999998,0.007626456789999999,0.008877737279999999,0.007225366300000001,0.007151666269999998,0.015531768400000003,0.004638890699999997,0.048644541500000006
6,2.7872854499999984,0.19771715690000005,1.3601452699999999,0.28352456700000006,0.15494218799999998,0.0268219622,0.014556131800000002,0.050105401099999974,0.013018632500000002,0.0606540746,0.0407097732,0.036427432100000004,0.3743104649999998,0.0359747021,0.10579696020000005,0.016924168000000003,0.018732582739999993,0.023017853539999994,0.075940019,0.015257164200000001,0.0273199739,0.008439778049999997,0.02463520541999999,0.005224544559999999,0.007524664759999999,0.011087973979999999,0.0128427599,0.009718945900000001,0.010480781029999999,0.020502412799999994,0.006373946299999999,0.06539865890000002
7,3.020605720000001,0.24980776699999993,1.6030141700000007,0.3444669350000002,0.19723337399999996,0.034328353999999985,0.019006336599999993,0.06454886440000003,0.0170112652,0.07839583200000003,0.051307882,0.048380769600000026,0.5007634109999999,0.04635574570000003,0.1358007044,0.0230010152,0.026076309200000005,0.03248952859999998,0.09425162899999999,0.019880810499999995,0.0358448371,0.012156329720000001,0.03549847206000001,0.007459786880000002,0.010878793959999992,0.015545992799999998,0.017762696899999993,0.012403180500000001,0.014795763130000006,0.025983875000000003,0.008478766900000002,0.08454702789999995
8,3.2951975000000018,0.3105719244,1.8620461799999988,0.4132922830000002,0.24803566,0.0433903829,0.0242638511,0.0819890824,0.021849414199999997,0.10018980959999998,0.06412318,0.06353258140000002,0.6553309119999996,0.05904731720000004,0.17241720600000005,0.030555836899999998,0.03566835169999999,0.04501250764999994,0.11467911700000001,0.025879440799999986,0.046009101700000006,0.017097770110000007,0.050195137570000034,0.010421358920000004,0.015395564530000001,0.021233659899999993,0.024079004000000005,0.0157560967,0.020349426699999996,0.03307926130000001,0.011192430900000003,0.10784185049999999
9,3.6232898600000034,0.38034157969999993,2.14019521,0.49066779799999977,0.3065387450000001,0.0539502986,0.030692447699999997,0.10287582700000002,0.027441096000000005,0.12589125199999998,0.079167807,0.08132110560000001,0.8452006549999997,0.07469008860000004,0.215350247,0.04003119959999999,0.0478225747,0.06095579060000002,0.13875952500000002,0.033038474899999996,0.0583320555,0.023451696999999994,0.0690444413999999,0.014387967719999999,0.021140738159999988,0.028479745399999996,0.03192136049999999,0.01990092449999999,0.02746422140000001,0.04133571600000001,0.014571176899999998,0.13563596230000005
