Electoral Division,CENTROID_X,CENTROID_Y,Population
267063 - DALKEY-BULLOCK,726067,727347,1756
267064 - DALKEY-COLIEMORE,726772,726853,1341
267060 - DALKEY HILL,726342,726142,1617
267061 - DALKEY UPPER,725716,726535,2118
267078 - DUNDRUM-BALALLY,718769,726527,8035
267079 - DUNDRUM-KILMACUD,717783,727922,3274
267080 - DUNDRUM-SANDYFORD,717529,726351,7688
267123 - SKERRIES,724761,760284,8501
267130 - SUTTON,724110,739308,5680
267132 - SWORDS-FORREST,716401,745666,15153
267131 - SWORDS-GLASMORE,715793,747635,7711
267133 - SWORDS-LISSENHALL,716918,750012,10447
87022 - CASTLEDERMOT,678125,683008,1637
87024 - CHURCHTOWN,663446,696004,528
87036 - DUNMANOGE,672795,684702,479
87039 - FONTSTOWN,673548,701128,410
87041 - GRANEY,681198,684456,775
87042 - GRANGEMELLON,671980,690742,624
267092 - GLENCULLEN,718577,722296,19773
267096 - KILLINEY NORTH,725350,725092,3330
267097 - KILLINEY SOUTH,725206,723556,6386
267120 - SHANKILL-RATHMICHAEL,723573,720568,5623
267121 - SHANKILL-RATHSALLAGH,725721,722980,3268
267122 - SHANKILL-SHANGANAGH,725938,720815,5488
267124 - STILLORGAN-DEERPARK,718859,728532,2955
267125 - STILLORGAN-KILMACUD,718931,727584,3973
267126 - STILLORGAN-LEOPARDSTOWN,720472,726765,2714
267127 - STILLORGAN-MERVILLE,719894,727381,3217
267128 - STILLORGAN-MOUNT MERRION,719586,728654,2383
267129 - STILLORGAN-PRIORY,720307,728436,2195
267159 - TIBRADDEN,715063,722867,1111
87090 - ATHY EAST URBAN,668634,694137,3910
87002 - ATHY WEST URBAN,667738,693846,2971
87071 - NAAS URBAN,689233,719474,21597
87001 - ATHY RURAL,668500,694228,3834
87003 - BALLAGHMOON,674864,681373,203
87004 - BALLITORE,680669,695731,1133
87005 - BALLYBRACKAN,664659,705323,614
87010 - BALLYSHANNON,679023,704626,1789
87012 - BELAN,677427,689363,266
87013 - BERT,667931,698259,167
87015 - BURTOWN,674174,695901,413
87021 - CARRIGEEN,681871,689034,624
87049 - KILDANGAN,668517,708425,742
87051 - KILKEA,674656,689291,392
87059 - KILRUSH,675324,703942,677
87061 - LACKAGH,666386,713274,859
87067 - MONASTEREVIN,663916,709631,4897
87068 - MOONE,677855,694074,487
87072 - NARRAGHMORE,678397,699211,823
87066 - MAYNOOTH,694185,737265,15998
87084 - STRAFFAN,691538,732279,2035
87007 - BALLYNADRUMNY,669592,742607,576
87074 - NURNEY,671442,706156,1081
87078 - QUINSBOROUGH,660630,714731,160
87083 - SKERRIES,671560,699222,660
87011 - BALRAHEEN,687211,733093,2403
87023 - CELBRIDGE,696178,733515,15653
87026 - CLONCURRY,683209,739547,1571
87028 - DONADEA,682409,734855,793
87029 - DONAGHCUMPER,696994,730335,6257
87047 - KILCOCK,688198,738218,6930
87064 - LEIXLIP,699979,736827,15576
87043 - HARRISTOWN,668681,703872,477
87044 - INCHAQUIRE,681934,699515,231
87045 - JOHNSTOWN,675598,684815,172
87046 - KILBERRY,665619,700593,634
87025 - CLANE,686115,728098,8142
87030 - DONORE,683975,723506,785
87031 - DOWNINGS,683239,726581,2962
87033 - DROICHEAD NUA RURAL,682696,713163,2732
87034 - DROICHEAD NUA URBAN,680321,715120,7762
87037 - DUNMURRY,671625,716716,472
87038 - FEIGHCULLEN,674545,718654,616
87016 - CADAMSTOWN,672744,739930,1414
87017 - CARBURY,667699,734416,1913
87020 - CARRICK,663148,737595,290
87027 - CLONCURRY,670902,721569,399
87032 - DREHID,673344,735591,270
87035 - DUNFIERTH,677003,737401,733
87054 - KILLINTHOMAS,667188,722345,331
87057 - KILPATRICK,670555,728826,871
87058 - KILRAINY,666759,739651,753
87065 - LULLYMORE,669315,725565,187
87079 - RATHANGAN,665675,720373,2508
87085 - THOMASTOWN,667760,716325,929
87089 - WINDMILL CROSS,671932,731775,1182
87006 - BALLYMORE EUSTACE,693053,709727,1517
87008 - BALLYSAX EAST,679272,709498,1945
87009 - BALLYSAX WEST,675269,708387,1058
87014 - BODENSTOWN,690924,726448,4940
87018 - CARNALWAY,687875,711739,1991
87019 - CARRAGH,684558,721172,1823
87052 - KILL,693487,722601,4692
87053 - KILLASHEE,691150,714755,265
87055 - KILMEAGE NORTH,674484,726157,2256
87056 - KILMEAGE SOUTH,676528,723422,2114
87087 - TIMAHOE SOUTH,677286,729871,845
87088 - USK,683900,703206,530
97061 - KILKENNY No. 1 URBAN,650050,655806,5782
97062 - KILKENNY No. 2 URBAN,650869,656262,4060
97018 - BURNCHURCH,647632,647463,598
97019 - CALLAN RURAL,640891,643359,1641
97020 - CALLAN URBAN,641309,643849,1784
97028 - COOLAGHMORE,640259,637694,496
97035 - DUNNAMAGGAN,648785,639043,400
87060 - KILTEEL,698485,720968,571
87062 - LADYTOWN,685587,716348,964
87069 - MORRISTOWNBILLER,679072,715966,14781
87070 - NAAS RURAL,689485,719331,2739
87073 - NEWTOWN,694574,714219,920
87075 - OLDCONNELL,681598,718722,983
87076 - OUGHTERARD,695852,725054,743
87077 - POLLARDSTOWN,675844,715675,314
87080 - RATHERNAN,676754,720564,598
87081 - RATHMORE,695597,718506,1142
87082 - ROBERTSTOWN,679501,725991,1983
87086 - TIMAHOE NORTH,679518,732215,1161
87040 - GILLTOWN,688252,706772,947
87048 - KILCULLEN,683074,708137,3499
87050 - KILDARE,673540,711844,9874
97112 - WHITECHURCH,643101,624071,417
97003 - ATTANAGH,647969,676525,385
97011 - BALLYRAGGET,645989,672240,1513
97022 - CASTLECOMER,653227,673307,2318
97037 - EARLSTOWN,645944,645118,218
97054 - KELLS,649397,643416,646
97066 - KILLAMERY,640890,632904,210
97068 - KILMAGANNY,644770,635197,716
97070 - KILMANAGH,637799,651630,508
97075 - MALLARDSTOWN,644993,640328,252
97094 - SCOTSBOROUGH,638434,647388,165
97105 - TULLAGHANBROGUE,642905,649257,466
97015 - BOOLYGLASS,647052,631299,135
97041 - FIDDOWN,648357,620923,981
97078 - MUCKALEE,650229,627227,170
97083 - PILLTOWN,645448,624786,1835
97099 - TEMPLEORUM,648051,626488,448
97103 - TUBBRID,651494,622043,433
97107 - TULLAHOUGHT,643946,629595,195
97007 - BALLYBEAGH,635162,656639,291
97008 - BALLYCALLAN,642781,653587,440
97024 - CLARA,656897,656952,657
97029 - COOLCRAHEEN,646935,665446,520
97032 - DUNBELL,657469,653112,522
97034 - DUNMORE,649848,661060,638
97043 - FRESHFORD,640535,663566,1001
97025 - CLOGH,654485,679045,1221
97026 - CLOGHARINKA,656684,667183,246
97067 - KILMACAR,648699,670137,449
97076 - MONEENROE,657981,673656,1270
97077 - MOTHELL,659930,669576,450
97079 - MUCKALEE,652161,667610,559
97017 - BROWNSFORD,664853,633202,150
97036 - DYSARTMOON,666873,629408,279
97052 - JERPOINT WEST,660892,629548,269
97074 - LISTERLIN,663847,629742,373
97092 - ROSBERCON RURAL,669958,628751,684
97095 - SHANBOGH,667852,625539,486
97100 - THE ROWER,670013,633012,810
97005 - BALLINAMARA,642040,658042,343
97010 - BALLYHALE,653636,634157,424
97012 - BALLYVOOL,661628,636258,189
97014 - BENNETTSBRIDGE,658852,649666,1098
97016 - BRAMBLESTOWN,663887,650139,271
97021 - CASTLEBANNY,657763,632972,150
97023 - CASTLEGANNON,656667,630003,118
97047 - GOWRAN,662160,654426,1518
97049 - GRANGE,647561,651220,868
97063 - KILKENNY RURAL,650811,656193,17876
97064 - KILKIERAN,652802,663350,670
97080 - ODAGH,645134,662075,456
97081 - OUTRATH,652640,651353,689
97082 - PAULSTOWN,666487,656939,1025
97089 - RATHCOOLE,656524,661952,521
97090 - RATHEALY,639493,660744,206
97097 - St. CANICE,646276,657795,595
97096 - SHANKILL,664141,659451,866
97102 - TISCOFFIN,660305,661985,488
97108 - TULLAROAN,638508,655840,298
97001 - AGHAVILLER,649629,633443,424
97042 - FREAGHANA,668841,641105,245
97046 - GORESBRIDGE,667197,653426,566
97048 - GRAIGUENAMANAGH,667356,645110,1817
97050 - INISTIOGE,665490,636736,816
97051 - JERPOINT CHURCH,656568,639570,923
97013 - BAUNMORE,624503,667566,134
97027 - CLOMANTAGH,634915,663764,327
97044 - GALMOY,627760,671529,312
97059 - KILFANE,661478,645307,274
97060 - KILKEASY,652850,630324,346
97071 - KILTORCAN,655821,635726,175
97072 - KNOCKTOPHER,652292,636948,551
97084 - PLEBERSTOWN,658981,636929,200
97087 - POWERSTOWN,667400,649561,481
97098 - STONYFORD,653130,641751,660
97101 - THOMASTOWN,658697,642462,2347
97106 - TULLAHERIN,659702,647454,224
97109 - ULLARD,671309,647604,285
97113 - WOOLENGRANGE,656706,645449,322
97004 - BALLEEN,636422,667085,459
97009 - BALLYCONRA,642632,672397,239
97030 - COOLHILL,670895,636922,270
97031 - DANESFORT,652456,648247,470
97038 - ENNISNAG,652952,645275,518
97039 - FAMMA,663422,640782,299
167027 - DRUMCONDRA,688256,790644,1303
167034 - GRANGEGEETH,696715,779637,659
167028 - DULEEK,703044,769417,5565
167038 - JULIANSTOWN,712959,769904,10176
167031 - GALLOW,684718,744707,961
167032 - GALTRIM,685527,754690,736
167035 - GRENNANSTOWN,669366,763254,1259
187049 - KILCOLMAN,606589,698658,377
187050 - KILCORMAC,617922,714025,1385
187055 - KILLYON,611703,707176,258
187056 - KINNITTY,621557,703958,544
167048 - KILLARY,690944,783716,1248
167024 - CULMULLIN,693744,746789,1142
167061 - MELLIFONT,700502,775285,541
167082 - St. MARY'S,709643,773928,11864
167036 - HILL of DOWN,665201,746839,550
167037 - INNFIELD,676327,742841,4343
167043 - KILBRIDE,676954,761052,468
187057 - KNOCKBARRON,619002,707442,199
187060 - LETTER,624108,707393,158
187061 - LUMCLOON,605787,725591,349
167029 - DUNBOYNE,700762,742748,10094
167002 - ARDBRACCAN,682041,767198,2076
167004 - ARDMULCHAN,693230,767009,979
167011 - BECTIVE,684610,761774,1119
187059 - LEA,618297,721471,342
187067 - MOYCLARE,608962,726532,635
187076 - SEIRKIERAN,614542,702622,466
