value,probability
207,7.442093728587941e-05
154,5.939010758774613e-05
222,6.378937481646807e-05
216,8.358607734571678e-05
232,3.776037704652995e-05
178,0.00011841360957309878
181,0.00010081654065821104
199,6.598900843082904e-05
208,9.495085101991512e-05
188,9.715048463427609e-05
225,4.875854511833479e-05
185,0.000102282963067785
187,0.00010704883589890044
249,1.9063491324461724e-05
235,2.382936415557715e-05
226,5.095817873269576e-05
219,7.918681011699485e-05
234,2.8595236986692582e-05
262,2.05299137340357e-05
228,5.132478433508925e-05
229,4.875854511833479e-05
236,3.226129301062753e-05
237,3.189468740823404e-05
221,8.065323252656883e-05
240,2.0896519336429195e-05
238,3.006165939626656e-05
183,0.00010374938547735899
241,1.979670252924871e-05
223,6.195634680450059e-05
173,0.00011144810312762238
244,1.576404090292027e-05
231,4.252624987764538e-05
230,3.886019385371043e-05
189,0.00010154975186299802
266,1.173137927659183e-05
200,7.258790927391194e-05
218,8.578571096007775e-05
198,4.875854511833479e-05
261,4.069322186567791e-05
257,1.9063491324461724e-05
263,1.8330280119674732e-05
260,2.0896519336429195e-05
254,2.126312493882269e-05
239,2.0896519336429195e-05
252,1.9430096926855216e-05
316,1.099816807180484e-06
250,1.796367451728124e-05
170,8.835195017683222e-05
298,3.6660560239349467e-06
233,2.3096152950790163e-05
195,6.8921853249977e-05
242,2.126312493882269e-05
281,9.531745662230862e-06
204,7.405433168348593e-05
202,6.15897412021071e-05
258,1.723046331249425e-05
265,1.4297618493346291e-05
201,6.598900843082904e-05
192,0.00011108149752522888
259,2.2729547348396667e-05
209,7.918681011699485e-05
213,6.268955800928759e-05
224,4.949175632312178e-05
274,7.698717650263388e-06
255,1.8330280119674732e-05
279,9.531745662230862e-06
210,6.745543084040301e-05
285,5.132478433508925e-06
283,4.399267228721936e-06
287,6.2322952406894096e-06
280,5.132478433508925e-06
217,7.478754288827291e-05
271,1.0631562469411346e-05
248,2.2729547348396667e-05
206,7.332112047869893e-05
247,1.503082969813328e-05
246,3.006165939626656e-05
292,6.2322952406894096e-06
264,1.7597068914887744e-05
256,2.0896519336429195e-05
251,1.7597068914887744e-05
243,2.3096152950790163e-05
253,2.1629730541216183e-05
276,9.531745662230862e-06
284,5.865689638295915e-06
356,3.6660560239349467e-07
269,1.3931012890952797e-05
273,1.3197801686165807e-05
270,1.099816807180484e-05
306,2.199633614360968e-06
268,1.173137927659183e-05
278,6.598900843082904e-06
277,7.698717650263388e-06
295,2.5662392167544625e-06
245,2.6395603372331614e-05
267,1.5397435300526776e-05
282,3.6660560239349467e-06
272,9.898351264624356e-06
275,6.598900843082904e-06
288,4.765872831115431e-06
289,4.765872831115431e-06
293,6.2322952406894096e-06
297,2.9328448191479573e-06
290,1.8330280119674733e-06
302,4.399267228721936e-06
300,3.299450421541452e-06
304,2.9328448191479573e-06
291,5.132478433508925e-06
303,2.5662392167544625e-06
305,1.4664224095739787e-06
307,3.6660560239349467e-07
329,2.9328448191479573e-06
299,1.4664224095739787e-06
313,2.199633614360968e-06
311,1.099816807180484e-06
310,2.9328448191479573e-06
308,2.9328448191479573e-06
296,3.6660560239349467e-06
294,3.6660560239349467e-06
341,7.332112047869893e-07
347,7.332112047869893e-07
385,3.6660560239349467e-07
286,2.5662392167544625e-06
362,7.332112047869893e-07
317,1.4664224095739787e-06
334,1.4664224095739787e-06
370,3.6660560239349467e-07
345,3.6660560239349467e-07
315,1.4664224095739787e-06
376,1.099816807180484e-06
352,7.332112047869893e-07
350,3.6660560239349467e-07
312,7.332112047869893e-07
319,1.8330280119674733e-06
346,3.6660560239349467e-07
365,1.099816807180484e-06
325,3.6660560239349467e-07
349,7.332112047869893e-07
348,1.4664224095739787e-06
333,1.099816807180484e-06
324,7.332112047869893e-07
301,2.199633614360968e-06
342,7.332112047869893e-07
368,3.6660560239349467e-07
335,7.332112047869893e-07
360,3.6660560239349467e-07
328,3.6660560239349467e-07
354,7.332112047869893e-07
321,1.099816807180484e-06
327,1.099816807180484e-06
340,7.332112047869893e-07
396,3.6660560239349467e-07
384,3.6660560239349467e-07
336,7.332112047869893e-07
318,7.332112047869893e-07
382,7.332112047869893e-07
355,7.332112047869893e-07
407,3.6660560239349467e-07
344,1.099816807180484e-06
351,7.332112047869893e-07
359,3.6660560239349467e-07
320,1.4664224095739787e-06
366,3.6660560239349467e-07
389,3.6660560239349467e-07
357,7.332112047869893e-07
322,1.099816807180484e-06
326,7.332112047869893e-07
323,1.099816807180484e-06
391,3.6660560239349467e-07
377,3.6660560239349467e-07
338,3.6660560239349467e-07
332,3.6660560239349467e-07
372,3.6660560239349467e-07
386,3.6660560239349467e-07
330,3.6660560239349467e-07
309,2.9328448191479573e-06
