population
1113
1829
1502
1734
1822
3013
2701
1953
2694
2140
1698
2220
1953
2800
2564
2775
1745
1562
2349
2641
1545
1807
2142
2439
2687
1574
2035
2347
2026
2193
1438
1610
1490
1911
2870
1658
1295
1331
1294
1325
1618
1690
1637
1408
1547
1440
1336
1392
1472
1580
1510
1606
2005
1484
1533
1603
1793
1763
1688
2591
1613
1784
1391
1889
1524
2387
2332
1557
1483
1540
1485
2558
2725
2817
2440
2774
1468
1308
3475
2565
1496
1858
2577
1795
2785
2474
3035
2903
2820
2730
2342
2720
1308
1702
2925
1740
2099
1453
2435
3503
1926
1739
2588
1596
1767
2126
2590
2805
2363
2610
1784
1603
1674
3451
2981
3461
1885
1904
1460
1746
2139
1555
1581
2509
2711
1895
2095
1999
1993
1509
2278
1798
1719
1890
1797
1677
2507
1529
2684
1728
2126
2129
2667
2817
3006
2629
2563
2036
2080
2769
2364
2522
3473
2582
2724
2708
2432
2740
2374
1724
1768
1523
1616
1745
2018
2224
2003
1833
2103
1708
1564
1636
1813
2009
2106
1925
1779
1922
1862
1922
1701
1394
1730
1786
2151
1896
2118
1826
2172
1895
1687
1871
1555
1958
1488
1703
2241
1333
1752
1637
1617
1597
1606
1959
2052
1909
1996
1970
1486
2031
1595
1704
2553
2422
2019
2563
2807
2094
1497
1752
1935
1687
1935
1721
1418
1552
1585
1388
1540
1633
2158
1839
1576
1995
1754
1548
1614
1705
1631
2149
1733
1769
2257
2757
1604
1685
1538
2227
2032
2260
3232
1553
1624
1951
1639
1965
1452
1590
1885
1970
1478
1502
1794
1926
1899
2082
1826
2133
3099
1880
1585
2409
2711
2094
1697
2119
1926
1524
2098
1826
1784
2261
2268
1480
1670
1724
2864
2727
1670
1554
1617
1712
1874
1664
2314
1717
1798
1615
2411
1668
1662
2270
2142
2067
1499
2061
1885
1353
1399
1336
2059
1358
1604
1663
1709
1358
2171
2231
2566
1493
2619
2620
2489
1417
1552
1407
1530
2630
2159
2479
1550
1534
1781
1700
1480
1739
1784
2352
1965
1634
1912
1519
1879
2090
2417
1950
1413
2592
2567
2512
2702
2561
1793
1564
2126
2493
2226
1826
1944
2780
2419
2248
2190
2499
2374
1406
1064
1546
1565
1835
2472
2665
1377
1899
1990
2795
1821
1949
2724
2144
1751
2325
1879
1799
2455
2032
1690
1252
2173
1919
2873
2794
2578
2029
2357
2787
2616
1885
2045
2646
2187
2181
2373
2309
1817
2041
2946
2216
2488
2443
1612
1430
2436
2985
2383
1736
1654
1718
2131
1649
1671
1467
1683
3074
2401
1538
2451
2929
1283
1401
1344
1270
1381
1449
1599
2791
3316
2539
1974
1377
2283
2865
2401
3983
3728
2157
2027
1742
2583
1953
1519
2179
1471
1777
1614
1559
1685
3508
2151
2495
1376
1227
2601
1291
1656
1588
1974
1456
1294
2277
2022
1298
2538
1205
