,long,lat,population,commuters
1358,52.25977698,-7.13617464,2556,1322
1359,52.25804923,-7.10929374,353,144
1360,52.26124679,-7.10776373,269,96
1361,52.23728908,-7.06843113,5607,3505
1362,52.26163637,-7.11246347,858,336
1363,52.26414829,-7.16135292,1662,904
1364,52.23221017,-7.08447054,2722,1438
1365,52.24535211,-7.08834811,2412,1317
1366,52.23276364,-7.13512753,1137,659
1367,52.250665399999995,-7.12068178,1093,393
1368,52.24834577,-7.13591603,944,305
1369,52.2521783,-7.13244058,993,336
1370,52.26077897,-7.12688761,763,281
1371,52.25765125,-7.12570308,510,166
1372,52.25699759,-7.12958544,300,110
1373,52.25746228,-7.12187197,490,135
1374,52.25571225,-7.11441265,849,307
1375,52.25791257,-7.11922217,543,192
1376,52.24873187,-7.10098681,1064,450
1377,52.2554379,-7.10011036,1520,631
1378,52.25171557,-7.1115935,1357,602
1379,52.25324415,-7.12212371,812,317
1380,52.25851878,-7.11666077,301,95
1381,52.25450921,-7.125740400000001,593,220
1382,52.26274593,-7.11905023,742,249
1383,52.25419861,-7.13770214,2152,985
1384,52.24891088,-7.14196461,381,142
1385,52.24577173,-7.10685873,883,319
1386,53.34714059,-7.47412659,276,171
1387,53.47832557,-7.78826108,412,253
1388,53.42223772,-7.93270341,4382,1800
1389,53.41571439,-7.920447800000001,7560,4071
1390,53.42175229,-7.95566443,3260,1486
1391,53.4851519,-7.83897352,724,455
1392,53.63217184,-7.03476642,163,91
1393,53.50215645,-7.57420587,326,217
1394,53.42293662,-7.67444135,249,157
1395,53.59181831,-7.06512113,293,167
1396,53.39097086,-7.33957641,732,425
1397,53.48989343,-7.67424618,734,419
1398,53.39482419,-7.45619461,511,299
1399,53.55218419,-7.08215089,282,169
1400,53.41302431,-7.7378141000000005,579,364
1401,53.48338232,-7.35625767,707,414
1402,53.71461794,-7.43855719,152,92
1403,53.58140234,-7.08408789,259,160
1404,53.42602121,-7.81428253,774,505
1405,53.44951999,-7.37173501,332,219
1406,53.52673602,-7.2823984,876,543
1407,53.36896676,-7.82315673,715,420
1408,53.41387688,-7.29540475,1692,951
1409,53.42723579,-7.52624189,737,439
1410,53.48575457,-7.50162834,341,231
1411,53.55367503,-7.24821821,359,238
1412,53.64861268,-7.11499427,504,311
1413,53.41276785,-7.37257473,638,384
1414,53.56799918,-7.18596605,448,284
1415,53.64037377,-7.23084414,501,281
1416,53.69924422,-7.38580139,239,141
1417,53.67752736,-7.35532521,301,162
1418,53.60152149,-7.01452232,278,155
1419,53.61632597,-7.12076499,1072,560
1420,53.49885403,-7.09730419,272,177
1421,53.5251671,-7.829294099999999,234,151
1422,53.48421492,-7.7360879,273,174
1423,53.47180108,-7.4428766,239,126
1424,53.58806124,-7.58555781,210,126
1425,53.45146276,-7.2421664,446,270
1426,53.64431681,-7.31538036,237,136
1427,53.76823131,-7.33933922,265,147
1428,53.67374163,-7.17783116,392,243
1429,53.6874445,-7.26357306,386,256
1430,53.44593135,-7.29708533,439,285
1431,53.46502621,-7.8647352,846,510
1432,53.63423517,-7.54372045,171,96
1433,53.71711402,-7.35561539,182,98
1434,53.51381905,-7.45028511,256,147
1435,53.46094923,-7.17850991,574,372
1436,53.50558712,-7.23296049,703,470
1437,53.721526299999994,-7.26698887,268,147
1438,53.42534796,-7.24256758,299,173
1439,53.50058167,-7.40396741,560,356
1440,53.51471191,-7.19138189,432,271
1441,53.46043993,-7.54976577,127,78
1442,53.37210569,-7.5001657999999995,1604,885
1443,53.59382946,-7.51202606,603,306
1444,53.63912267,-7.18114774,202,83
1445,53.43266627,-7.63049703,362,219
1446,53.47339733,-7.61465126,361,207
1447,53.49013659,-7.91333328,416,237
1448,53.64835761,-6.99587602,1046,631
1449,53.510139699999996,-7.14351676,1826,1055
1450,53.58624385,-7.16733467,469,309
1451,53.62105616,-7.25489639,212,139
1452,53.46744521,-7.10971294,2915,1813
1453,53.67247402,-7.28005323,1344,662
1454,53.744714,-7.33512441,109,63
1455,53.57052901,-7.28689305,588,354
1456,53.62741449,-7.44839196,599,277
1457,53.36011535,-7.54634153,205,117
1458,53.43129313,-7.45962488,362,203
1459,53.38491458,-7.72267606,3088,1744
1460,53.43485731,-7.7795038,651,410
1461,53.44057356,-7.90300112,2922,1735
1462,53.52255621,-7.91329216,170,95
1463,53.52583242,-7.34096142,10783,6295
1464,53.51822717,-7.34225742,4422,2215
1465,53.64889417,-7.38094761,629,306
