S,I,R,D,X
6.53872e+06,405.392,807.122,31906.7,893.389
6.53866e+06,382.683,764.689,32028,896.784
6.5386e+06,361.247,724.347,32142.7,899.996
6.53855e+06,341.012,686.009,32251.3,903.036
6.5385e+06,321.911,649.589,32354,905.912
6.53845e+06,303.881,615.002,32451.1,908.632
6.5384e+06,286.861,582.168,32543,911.205
6.53836e+06,270.795,551.007,32629.9,913.638
6.53832e+06,255.629,521.443,32712.1,915.939
6.53829e+06,241.313,493.402,32789.8,918.115
6.53825e+06,227.799,466.811,32863.3,920.172
6.53822e+06,215.043,441.603,32932.7,922.117
6.53818e+06,203.001,417.711,32998.4,923.955
6.53816e+06,184.184,395.07,33060.5,925.693
6.53814e+06,167.111,372.875,33118.4,927.315
6.53812e+06,151.621,351.255,33172.4,928.827
6.53811e+06,137.567,330.308,33222.7,930.235
6.53809e+06,124.816,310.109,33269.5,931.545
6.53808e+06,113.247,290.711,33313,932.763
6.53807e+06,102.751,272.151,33353.4,933.894
6.53805e+06,93.2272,254.449,33390.9,934.944
6.53804e+06,84.5865,237.614,33425.6,935.918
6.53803e+06,76.7468,221.646,33457.8,936.82
6.53803e+06,69.6338,206.536,33487.7,937.655
6.53802e+06,63.1802,192.267,33515.3,938.428
6.53801e+06,57.3248,178.82,33540.8,939.144
6.53801e+06,52.0121,166.17,33564.5,939.805
6.538e+06,47.1919,154.289,33586.3,940.416
6.53799e+06,42.8185,143.147,33606.4,940.98
6.53799e+06,38.8504,132.713,33625,941.501
6.53799e+06,35.2502,122.956,33642.2,941.981
6.53798e+06,31.9836,113.841,33658,942.424
6.53798e+06,29.0198,105.336,33672.6,942.832
6.53798e+06,26.3306,97.4097,33686,943.209
6.53797e+06,24.8574,90.029,33698.4,943.555
6.53797e+06,23.4667,83.2598,33709.9,943.877
6.53796e+06,22.1538,77.0474,33720.6,944.176
6.53796e+06,20.9144,71.3423,33730.5,944.453
6.53796e+06,19.7445,66.0997,33739.7,944.712
6.53795e+06,18.64,61.2791,33748.3,944.952
6.53795e+06,17.5974,56.8436,33756.3,945.176
6.53795e+06,16.6131,52.7598,33763.7,945.384
6.53795e+06,15.6839,48.9974,33770.7,945.578
6.53794e+06,14.8067,45.5289,33777.1,945.76
6.53794e+06,13.9787,42.3292,33783.2,945.928
6.53794e+06,13.1969,39.3756,33788.8,946.086
6.53794e+06,12.459,36.6475,33794,946.233
6.53794e+06,11.7623,34.126,33799,946.371
6.53794e+06,11.1046,31.7941,33803.5,946.499
6.53793e+06,10.4837,29.6361,33807.8,946.619
6.53793e+06,9.89756,27.6379,33811.8,946.732
6.53793e+06,9.34421,25.7865,33815.6,946.837
6.53793e+06,8.82182,24.0701,33819.1,946.935
6.53793e+06,8.32865,22.4778,33822.4,947.027
6.53793e+06,7.86307,21,33825.5,947.114
6.53793e+06,7.71231,19.6275,33828.4,947.194
6.53792e+06,7.56447,18.381,33831.1,947.271
6.53792e+06,7.41949,17.2479,33833.7,947.344
6.53792e+06,7.27732,16.2168,33836.2,947.413
6.53792e+06,7.13789,15.2774,33838.5,947.478
6.53792e+06,7.00116,14.4207,33840.8,947.541
6.53792e+06,6.86707,13.6384,33842.9,947.601
6.53792e+06,6.73557,12.923,33845,947.659
6.53791e+06,6.60662,12.2681,33846.9,947.714
6.53791e+06,6.48015,11.6676,33848.8,947.766
6.53791e+06,6.35613,11.1162,33850.6,947.817
6.53791e+06,6.2345,10.6091,33852.4,947.866
6.53791e+06,6.11521,10.1419,33854,947.913
6.53791e+06,5.99823,9.71083,33855.7,947.959
6.53791e+06,5.88351,9.31238,33857.2,948.003
6.53791e+06,5.771,8.94342,33858.8,948.045
6.53791e+06,5.66066,8.60114,33860.2,948.087
6.5379e+06,5.55244,8.283,33861.7,948.127
6.5379e+06,5.44631,7.98676,33863,948.165
6.5379e+06,5.34223,7.71035,33864.4,948.203
6.5379e+06,5.24015,7.45195,33865.7,948.239
6.5379e+06,5.33257,7.2099,33867,948.275
6.5379e+06,5.42665,7.00198,33868.2,948.31
6.5379e+06,5.52242,6.82484,33869.5,948.345
6.5379e+06,5.6199,6.67549,33870.7,948.38
6.5379e+06,5.71913,6.55124,33871.9,948.414
6.53789e+06,5.82014,6.44969,33873.2,948.448
6.53789e+06,5.92296,6.36867,33874.4,948.483
6.53789e+06,6.02762,6.30627,33875.6,948.517
6.53789e+06,6.13416,6.26075,33876.8,948.552
6.53789e+06,6.24261,6.23056,33878.1,948.586
6.53789e+06,6.353,6.21432,33879.3,948.621
6.53789e+06,6.46537,6.21079,33880.6,948.656
6.53788e+06,6.57976,6.21885,33881.9,948.692
6.53788e+06,6.69619,6.23753,33883.1,948.728
6.53788e+06,6.81472,6.26593,33884.4,948.764
6.53788e+06,6.93537,6.30327,33885.7,948.801
6.53788e+06,7.05818,6.34883,33887.1,948.838
6.53788e+06,7.1832,6.40199,33888.4,948.875
6.53788e+06,7.31046,6.46218,33889.8,948.913
6.53787e+06,7.44,6.52892,33891.1,948.952
6.53787e+06,7.57186,6.60174,33892.5,948.991
6.53787e+06,7.98439,6.68027,33894,949.031
6.53787e+06,8.41944,6.79198,33895.4,949.072
6.53787e+06,8.87823,6.93571,33896.9,949.114
6.53786e+06,9.36207,7.11054,33898.5,949.159
6.53786e+06,9.87231,7.31578,33900.2,949.205
6.53786e+06,10.4104,7.55095,33901.9,949.253
6.53786e+06,10.9779,7.81575,33903.7,949.303
6.53785e+06,11.5763,8.11008,33905.6,949.356
6.53785e+06,12.2075,8.434,33907.5,949.411
6.53785e+06,12.8731,8.78773,33909.6,949.469
6.53784e+06,13.575,9.17166,33911.8,949.529
6.53784e+06,14.3153,9.58632,33914,949.593
6.53784e+06,15.096,10.0324,33916.4,949.66
6.53783e+06,15.9193,10.5106,33918.9,949.73
6.53783e+06,16.7876,11.0221,33921.6,949.804
6.53782e+06,17.7034,11.5678,33924.4,949.882
6.53782e+06,18.6691,12.1489,33927.3,949.964
6.53782e+06,19.6877,12.7669,33930.4,950.05
6.53781e+06,20.7618,13.4233,33933.6,950.141
6.5378e+06,21.8947,14.1195,33937,950.237
6.5378e+06,23.0894,14.8575,33940.6,950.338
6.53779e+06,26.0473,15.6391,33944.4,950.444
6.53778e+06,29.3842,16.6361,33948.6,950.561
6.53777e+06,33.1488,17.8644,33953.2,950.69
6.53776e+06,37.3959,19.3428,33958.3,950.832
6.53775e+06,42.1873,21.0939,33964,950.991
6.53774e+06,47.5928,23.1442,33970.3,951.169
6.53772e+06,53.6912,25.5243,33977.4,951.367
6.5377e+06,60.5712,28.2695,33985.3,951.588
6.53768e+06,68.3331,31.4205,33994.2,951.837
6.53766e+06,77.09,35.0238,34004.2,952.116
6.53763e+06,86.9693,39.1323,34015.4,952.43
6.53761e+06,98.115,43.8065,34028,952.783
6.53757e+06,110.689,49.1147,34042.2,953.181
6.53754e+06,124.876,55.1346,34058.2,953.628
6.53749e+06,140.881,61.9544,34076.2,954.132
6.53745e+06,158.937,69.6735,34096.4,954.7
6.5374e+06,179.309,78.4048,34119.3,955.34
6.53734e+06,202.291,88.2757,34145.1,956.062
6.53727e+06,228.22,99.4301,34174.1,956.876
6.53719e+06,257.472,112.031,34206.9,957.793
6.53711e+06,290.474,126.261,34243.8,958.828
6.53701e+06,327.707,142.329,34285.5,959.994
6.5369e+06,369.711,160.468,34332.5,961.311
6.53678e+06,417.098,180.943,34385.5,962.795
6.53664e+06,470.559,204.052,34445.3,964.47
6.53649e+06,530.87,230.131,34512.8,966.358
6.53631e+06,598.91,259.561,34588.9,968.489
6.53611e+06,675.667,292.769,34674.7,970.893
6.53589e+06,762.256,330.239,34771.6,973.605
6.53564e+06,859.937,372.516,34880.8,976.664
6.53535e+06,970.128,420.215,35004.1,980.114
6.53503e+06,1094.43,474.03,35143.1,984.007
6.53467e+06,1234.64,534.742,35300,988.399
6.53426e+06,1392.8,603.235,35476.9,993.353
6.5338e+06,1571.19,680.502,35676.5,998.942
6.53328e+06,1772.4,767.665,35901.7,1005.25
6.53269e+06,1999.33,865.989,36155.7,1012.36
6.53203e+06,2255.27,976.898,36442.2,1020.38
6.53129e+06,2543.91,1102,36765.4,1029.43
6.53045e+06,2869.39,1243.11,37130,1039.64
6.5295e+06,3236.41,1402.25,37541.3,1051.16
6.52843e+06,3650.22,1581.74,38005.1,1064.14
6.52722e+06,4116.76,1784.16,38528.3,1078.79
6.52586e+06,4642.68,2012.43,39118.4,1095.32
6.52432e+06,5235.48,2269.82,39783.9,1113.95
6.52259e+06,5903.58,2560.03,40534.5,1134.97
6.52064e+06,6656.44,2887.22,41380.8,1158.66
6.51845e+06,7504.65,3256.05,42335.2,1185.39
6.51597e+06,8460.14,3671.8,43411.3,1215.52
6.51318e+06,9536.23,4140.35,44624.5,1249.48
6.51003e+06,10747.9,4668.34,45992.1,1287.78
6.50649e+06,12111.7,5263.22,47533.7,1330.94
6.5025e+06,13646.5,5933.34,49271.2,1379.59
6.498e+06,15373.1,6688.04,51229.2,1434.42
6.49294e+06,17314.6,7537.82,53435.3,1496.19
6.48725e+06,19496.8,8494.39,55920.6,1565.78
6.48084e+06,21948.6,9570.85,58719.7,1644.15
6.47364e+06,24701.5,10781.8,61871.6,1732.41
6.46554e+06,27790.7,12143.6,65420,1831.76
6.45644e+06,31254.8,13674.3,69413.4,1943.57
6.44622e+06,35136.3,15394.1,73906.3,2069.38
6.43475e+06,39481.7,17325.2,78959.3,2210.86
6.42188e+06,44341.6,19492.3,84640,2369.92
6.40746e+06,49770.7,21922.7,91023.4,2548.66
6.39131e+06,55828.2,24646.1,98192.8,2749.4
6.37324e+06,62577.3,27695.3,106240,2974.73
6.35304e+06,70084.8,31106,115267,3227.49
6.33049e+06,78421.4,34916.7,125387,3510.82
6.30535e+06,87659.8,39169.4,136720,3828.17
6.27736e+06,97874.9,43908.8,149403,4183.29
6.24624e+06,109141,49182.5,163582,4580.29
6.21172e+06,121533,55040.7,179414,5023.59
6.17348e+06,135118,61535.8,197071,5518
6.13124e+06,149961,68721.7,216737,6068.63
6.08468e+06,166113,76653.2,238605,6680.94
6.03349e+06,183613,85384.5,262882,7360.69
5.97738e+06,202480,94968.3,289781,8113.88
5.91609e+06,222711,105454,319526,8946.73
5.84936e+06,244272,116884,352343,9865.59
5.777e+06,267096,129296,388458,10876.8
5.69886e+06,291074,142714,428097,11986.7
5.61485e+06,316054,157150,471476,13201.3
5.52497e+06,341834,172600,518797,14526.3
5.42932e+06,368164,189041,570240,15966.7
5.32808e+06,394740,206424,625961,17526.9
5.22155e+06,421214,224677,686077,19210.2
5.11015e+06,447194,243702,750666,21018.6
4.99439e+06,472257,263369,819756,22953.2
4.87492e+06,495962,283520,893318,25012.9
4.75244e+06,517859,303970,971266,27195.5
4.62776e+06,537516,324508,1.05345e+06,29496.6
4.50174e+06,554530,344900,1.13965e+06,31910.2
4.37526e+06,568547,364897,1.22959e+06,34428.6
4.24922e+06,579282,384241,1.32294e+06,37042.3
4.1245e+06,586525,402669,1.41929e+06,39740.2
4.00192e+06,590157,419927,1.51821e+06,42509.9
3.88225e+06,590150,435774,1.61922e+06,45338.1
3.76615e+06,586568,449992,1.72181e+06,48210.7
3.6542e+06,579559,462389,1.82547e+06,51113.1
3.54688e+06,569348,472812,1.92966e+06,54030.5
3.44454e+06,556222,481141,2.03388e+06,56948.6
3.34744e+06,540514,487302,2.13761e+06,59853.2
3.25575e+06,522590,491259,2.2404e+06,62731.1
3.16953e+06,502832,493017,2.34178e+06,65569.9
3.08876e+06,481624,492618,2.44137e+06,68358.3
3.01338e+06,459337,490139,2.53879e+06,71086.1
2.94323e+06,436327,485686,2.63374e+06,73744.7
2.87816e+06,412916,479391,2.72594e+06,76326.3
2.81793e+06,389400,471401,2.81517e+06,78824.8
2.76233e+06,366033,461881,2.90125e+06,81235
2.7111e+06,343036,451003,2.98404e+06,83553.2
2.66397e+06,320592,438943,3.06345e+06,85776.5
2.6207e+06,298850,425879,3.1394e+06,87903.2
2.58101e+06,277927,411984,3.21187e+06,89932.4
2.54467e+06,257909,397424,3.28086e+06,91864.2
2.51141e+06,238858,382360,3.3464e+06,93699.1
2.48102e+06,220811,366939,3.40852e+06,95438.5
2.45327e+06,203787,351299,3.46729e+06,97084.2
2.42794e+06,187788,335564,3.5228e+06,98638.4
2.40484e+06,172805,319847,3.57514e+06,100104
2.38378e+06,158814,304247,3.6244e+06,101483
2.3646e+06,145787,288852,3.67071e+06,102780
2.34714e+06,133686,273737,3.71417e+06,103997
2.33124e+06,122471,258965,3.75491e+06,105138
2.31678e+06,112099,244591,3.79306e+06,106206
2.30362e+06,102523,230657,3.82873e+06,107204
2.29165e+06,93695.9,217197,3.86204e+06,108137
2.28077e+06,85572.4,204239,3.89313e+06,109008
2.27089e+06,78106,191801,3.92212e+06,109819
2.2619e+06,71252,179894,3.94911e+06,110575
2.25374e+06,64966.9,168526,3.97422e+06,111278
2.24632e+06,59209.4,157698,3.99757e+06,111932
2.23958e+06,53939.9,147408,4.01926e+06,112539
2.23346e+06,49120.9,137648,4.0394e+06,113103
2.2279e+06,44717.2,128410,4.05807e+06,113626
2.22286e+06,40695.8,119681,4.07538e+06,114111
2.21827e+06,37025.6,111448,4.09142e+06,114560
2.21411e+06,33677.8,103693,4.10627e+06,114976
2.21033e+06,30625.6,96401.5,4.12001e+06,115360
2.2069e+06,27844.2,89554,4.13271e+06,115716
2.20379e+06,25310.6,83132.3,4.14445e+06,116045
2.20096e+06,23003.5,77117.3,4.15529e+06,116348
2.1984e+06,20903.4,71490,4.16531e+06,116629
2.19607e+06,18992.4,66231.2,4.17455e+06,116887
2.19396e+06,17253.8,61321.9,4.18307e+06,117126
2.19204e+06,15672.5,56743.3,4.19093e+06,117346
2.1903e+06,14234.6,52477.4,4.19817e+06,117549
2.18872e+06,12927.4,48506.2,4.20484e+06,117735
2.18729e+06,11739.3,44812.5,4.21098e+06,117907
2.18599e+06,10659.4,41379.7,4.21664e+06,118066
2.18481e+06,9678.24,38191.8,4.22184e+06,118212
2.18373e+06,8786.79,35233.5,4.22663e+06,118346
2.18276e+06,7976.98,32490.2,4.23103e+06,118469
2.18188e+06,7241.41,29947.9,4.23508e+06,118582
2.18108e+06,6573.34,27593.4,4.2388e+06,118686
2.18035e+06,5966.65,25414.1,4.24221e+06,118782
2.17969e+06,5415.73,23398.2,4.24535e+06,118870
2.1791e+06,4915.51,21534.4,4.24823e+06,118950
2.17855e+06,4461.34,19812.3,4.25088e+06,119025
2.17806e+06,4049.01,18221.7,4.2533e+06,119093
2.17761e+06,3674.69,16753.4,4.25553e+06,119155
2.17721e+06,3334.9,15398.6,4.25757e+06,119212
2.17684e+06,3026.45,14149.1,4.25945e+06,119265
2.17651e+06,2746.49,12997.2,4.26116e+06,119313
2.1762e+06,2492.37,11935.8,4.26274e+06,119357
2.17593e+06,2261.73,10958,4.26418e+06,119397
2.17568e+06,2052.4,10057.7,4.2655e+06,119434
2.17545e+06,1862.42,9229.02,4.26671e+06,119468
2.17525e+06,1690.01,8466.51,4.26782e+06,119499
2.17506e+06,1533.54,7765.16,4.26884e+06,119528
2.17489e+06,1391.54,7120.25,4.26977e+06,119554
2.17474e+06,1262.68,6527.44,4.27062e+06,119577
2.1746e+06,1145.74,5982.69,4.2714e+06,119599
2.17447e+06,1039.63,5482.24,4.27211e+06,119619
2.17436e+06,943.333,5022.63,4.27276e+06,119637
2.17426e+06,855.954,4600.64,4.27336e+06,119654
2.17416e+06,776.664,4213.29,4.27391e+06,119669
2.17408e+06,704.716,3857.83,4.27441e+06,119683
2.174e+06,639.43,3531.72,4.27486e+06,119696
2.17393e+06,580.19,3232.6,4.27528e+06,119708
2.17386e+06,526.437,2958.31,4.27566e+06,119718
2.17381e+06,477.662,2706.84,4.27601e+06,119728
2.17375e+06,433.405,2476.34,4.27633e+06,119737
2.17371e+06,393.247,2265.11,4.27662e+06,119745
2.17366e+06,356.81,2071.58,4.27688e+06,119753
2.17362e+06,323.748,1894.31,4.27713e+06,119760
2.17359e+06,293.749,1731.95,4.27735e+06,119766
2.17356e+06,266.53,1583.28,4.27755e+06,119771
2.17353e+06,241.832,1447.17,4.27774e+06,119777
2.1735e+06,219.423,1322.58,4.27791e+06,119781
2.17348e+06,199.09,1208.56,4.27806e+06,119786
2.17345e+06,180.641,1104.23,4.2782e+06,119790
2.17343e+06,163.901,1008.78,4.27833e+06,119793
2.17342e+06,148.713,921.469,4.27845e+06,119796
2.1734e+06,134.932,841.613,4.27855e+06,119799
2.17338e+06,122.428,768.588,4.27865e+06,119802
2.17337e+06,111.082,701.82,4.27874e+06,119805
2.17336e+06,100.788,640.781,4.27882e+06,119807
2.17335e+06,91.4483,584.988,4.2789e+06,119809
2.17334e+06,82.9738,533.996,4.27896e+06,119811
2.17333e+06,75.2845,487.399,4.27902e+06,119813
2.17332e+06,68.3079,444.822,4.27908e+06,119814
2.17331e+06,61.9778,405.925,4.27913e+06,119816
2.17331e+06,56.2342,370.394,4.27918e+06,119817
2.1733e+06,51.023,337.941,4.27922e+06,119818
2.17329e+06,46.2947,308.303,4.27926e+06,119819
2.17329e+06,42.0045,281.239,4.2793e+06,119820
2.17328e+06,38.1119,256.528,4.27933e+06,119821
2.17328e+06,34.5801,233.968,4.27936e+06,119822
2.17328e+06,31.3756,213.374,4.27938e+06,119823
2.17327e+06,28.468,194.577,4.27941e+06,119823
2.17327e+06,25.8299,177.421,4.27943e+06,119824
2.17327e+06,23.4362,161.765,4.27945e+06,119825
2.17326e+06,21.2644,147.479,4.27947e+06,119825
2.17326e+06,19.2939,134.445,4.27949e+06,119826
2.17326e+06,17.5059,122.553,4.2795e+06,119826
2.17326e+06,15.8837,111.706,4.27952e+06,119826
2.17326e+06,14.4118,101.811,4.27953e+06,119827
2.17325e+06,13.0762,92.7856,4.27954e+06,119827
2.17325e+06,11.8645,84.5549,4.27955e+06,119827
2.17325e+06,10.765,77.0491,4.27956e+06,119828
2.17325e+06,9.76747,70.2049,4.27957e+06,119828
2.17325e+06,8.86235,63.9646,4.27958e+06,119828
2.17325e+06,8.04111,58.2753,4.27959e+06,119828
2.17325e+06,7.29596,53.0887,4.27959e+06,119829
2.17325e+06,6.61988,48.3608,4.2796e+06,119829
2.17325e+06,6.00644,44.0513,4.2796e+06,119829
2.17325e+06,5.44985,40.1235,4.27961e+06,119829
2.17324e+06,4.94484,36.5437,4.27961e+06,119829
2.17324e+06,4.48662,33.2815,4.27962e+06,119829
2.17324e+06,4.07087,30.3089,4.27962e+06,119829
2.17324e+06,3.69365,27.6002,4.27962e+06,119829
2.17324e+06,3.35138,25.1323,4.27963e+06,119830
2.17324e+06,3.04083,22.8838,4.27963e+06,119830
2.17324e+06,2.75905,20.8354,4.27963e+06,119830
2.17324e+06,2.50339,18.9694,4.27964e+06,119830
2.17324e+06,2.27142,17.2697,4.27964e+06,119830
2.17324e+06,2.06094,15.7215,4.27964e+06,119830
2.17324e+06,1.86997,14.3115,4.27964e+06,119830
2.17324e+06,1.6967,13.0272,4.27964e+06,119830
2.17324e+06,1.53948,11.8577,4.27964e+06,119830
2.17324e+06,1.39683,10.7927,4.27965e+06,119830
2.17324e+06,1.2674,9.82288,4.27965e+06,119830
2.17324e+06,1.14996,8.93983,4.27965e+06,119830
