S,I,R,D,X
2.17324e+06,0.00807459,0.0701051,4.27966e+06,119830
2.17324e+06,0.00732651,0.0637058,4.27966e+06,119830
2.17324e+06,0.00664774,0.0578895,4.27966e+06,119830
2.17324e+06,0.00603186,0.0526032,4.27966e+06,119830
2.17324e+06,0.00547303,0.0477988,4.27966e+06,119830
2.17324e+06,0.00496598,0.0434324,4.27966e+06,119830
2.17324e+06,0.00450591,0.0394641,4.27966e+06,119830
2.17324e+06,0.00408846,0.0358578,4.27966e+06,119830
2.17324e+06,0.00370969,0.0325805,4.27966e+06,119830
2.17324e+06,0.00336601,0.0296022,4.27966e+06,119830
2.17324e+06,0.00305417,0.0268957,4.27966e+06,119830
2.17324e+06,0.00277122,0.0244362,4.27966e+06,119830
2.17324e+06,0.00251448,0.0222013,4.27966e+06,119830
2.17324e+06,0.00228153,0.0201704,4.27966e+06,119830
2.17324e+06,0.00207017,0.0183251,4.27966e+06,119830
2.17324e+06,0.00187838,0.0166483,4.27966e+06,119830
2.17324e+06,0.00170436,0.0151247,4.27966e+06,119830
2.17324e+06,0.00154647,0.0137403,4.27966e+06,119830
2.17324e+06,0.0014032,0.0124824,4.27966e+06,119830
2.17324e+06,0.0012732,0.0113396,4.27966e+06,119830
2.17324e+06,0.00115525,0.0103012,4.27966e+06,119830
2.17324e+06,0.00104823,0.00935774,4.27966e+06,119830
2.17324e+06,0.00095112,0.00850059,4.27966e+06,119830
2.17324e+06,0.000863008,0.00772184,4.27966e+06,119830
2.17324e+06,0.000783058,0.00701433,4.27966e+06,119830
2.17324e+06,0.000710515,0.00637157,4.27966e+06,119830
2.17324e+06,0.000644693,0.00578762,4.27966e+06,119830
2.17324e+06,0.000584969,0.00525712,4.27966e+06,119830
2.17324e+06,0.000530778,0.00477519,4.27966e+06,119830
2.17324e+06,0.000481607,0.00433738,4.27966e+06,119830
2.17324e+06,0.000436991,0.00393965,4.27966e+06,119830
2.17324e+06,0.000396509,0.00357836,4.27966e+06,119830
2.17324e+06,0.000359777,0.00325015,4.27966e+06,119830
2.17324e+06,0.000326448,0.00295201,4.27966e+06,119830
2.17324e+06,0.000296206,0.00268119,4.27966e+06,119830
2.17324e+06,0.000268766,0.00243519,4.27966e+06,119830
2.17324e+06,0.000243868,0.00221173,4.27966e+06,119830
2.17324e+06,0.000221277,0.00200875,4.27966e+06,119830
2.17324e+06,0.000200778,0.00182438,4.27966e+06,119830
2.17324e+06,0.000182179,0.00165691,4.27966e+06,119830
2.17324e+06,0.000165302,0.0015048,4.27966e+06,119830
2.17324e+06,0.000149989,0.00136663,4.27966e+06,119830
2.17324e+06,0.000136095,0.00124114,4.27966e+06,119830
2.17324e+06,0.000123488,0.00112716,4.27966e+06,119830
2.17324e+06,0.000112048,0.00102364,4.27966e+06,119830
2.17324e+06,0.000101668,0.000929613,4.27966e+06,119830
2.17324e+06,9.22504e-05,0.000844216,4.27966e+06,119830
2.17324e+06,8.37047e-05,0.000766655,4.27966e+06,119830
2.17324e+06,7.59507e-05,0.000696214,4.27966e+06,119830
2.17324e+06,6.8915e-05,0.000632238,4.27966e+06,119830
2.17324e+06,6.25311e-05,0.000574135,4.27966e+06,119830
2.17324e+06,5.67386e-05,0.000521367,4.27966e+06,119830
2.17324e+06,5.14826e-05,0.000473445,4.27966e+06,119830
2.17324e+06,4.67136e-05,0.000429923,4.27966e+06,119830
2.17324e+06,4.23863e-05,0.000390398,4.27966e+06,119830
2.17324e+06,3.84599e-05,0.000354504,4.27966e+06,119830
2.17324e+06,3.48973e-05,0.000321907,4.27966e+06,119830
2.17324e+06,3.16646e-05,0.000292305,4.27966e+06,119830
2.17324e+06,2.87314e-05,0.000265422,4.27966e+06,119830
2.17324e+06,2.60699e-05,0.00024101,4.27966e+06,119830
2.17324e+06,2.3655e-05,0.000218841,4.27966e+06,119830
2.17324e+06,2.14638e-05,0.00019871,4.27966e+06,119830
2.17324e+06,1.94756e-05,0.000180429,4.27966e+06,119830
2.17324e+06,1.76715e-05,0.000163828,4.27966e+06,119830
2.17324e+06,1.60346e-05,0.000148754,4.27966e+06,119830
2.17324e+06,1.45492e-05,0.000135065,4.27966e+06,119830
2.17324e+06,1.32015e-05,0.000122636,4.27966e+06,119830
2.17324e+06,1.19787e-05,0.000111349,4.27966e+06,119830
2.17324e+06,1.08691e-05,0.0001011,4.27966e+06,119830
2.17324e+06,9.86225e-06,9.17938e-05,4.27966e+06,119830
2.17324e+06,8.94871e-06,8.33437e-05,4.27966e+06,119830
2.17324e+06,8.11978e-06,7.56708e-05,4.27966e+06,119830
2.17324e+06,7.36765e-06,6.87038e-05,4.27966e+06,119830
2.17324e+06,6.68518e-06,6.23778e-05,4.27966e+06,119830
2.17324e+06,6.06593e-06,5.66339e-05,4.27966e+06,119830
2.17324e+06,5.50405e-06,5.14185e-05,4.27966e+06,119830
2.17324e+06,4.99421e-06,4.66831e-05,4.27966e+06,119830
2.17324e+06,4.5316e-06,4.23835e-05,4.27966e+06,119830
2.17324e+06,4.11184e-06,3.84796e-05,4.27966e+06,119830
2.17324e+06,3.73097e-06,3.49351e-05,4.27966e+06,119830
2.17324e+06,3.38537e-06,3.17169e-05,4.27966e+06,119830
2.17324e+06,3.07179e-06,2.87949e-05,4.27966e+06,119830
2.17324e+06,2.78726e-06,2.6142e-05,4.27966e+06,119830
