S,I,X,R,D
1.65038e+06,136.863,1670.63,4.78652e+06,134023
1.65036e+06,121.823,1512.57,4.7867e+06,134028
1.65035e+06,108.436,1369.26,4.78687e+06,134032
1.65034e+06,96.5195,1239.35,4.78701e+06,134036
1.65033e+06,85.9126,1121.59,4.78715e+06,134040
1.65033e+06,76.4713,1014.88,4.78727e+06,134043
1.65032e+06,68.0676,918.201,4.78738e+06,134047
1.65031e+06,60.5873,830.617,4.78748e+06,134049
1.65031e+06,53.9291,751.288,4.78756e+06,134052
1.6503e+06,48.0025,679.449,4.78764e+06,134054
1.6503e+06,42.7273,614.402,4.78772e+06,134056
1.65029e+06,38.0317,555.514,4.78778e+06,134058
1.65029e+06,33.8522,502.21,4.78784e+06,134060
1.65029e+06,30.132,453.968,4.7879e+06,134061
1.65028e+06,26.8206,410.313,4.78794e+06,134062
1.65028e+06,23.8731,370.815,4.78799e+06,134064
1.65028e+06,21.2496,335.083,4.78803e+06,134065
1.65028e+06,18.9143,302.761,4.78806e+06,134066
1.65028e+06,16.8357,273.529,4.7881e+06,134067
1.65027e+06,14.9855,247.094,4.78812e+06,134067
1.65027e+06,13.3387,223.191,4.78815e+06,134068
1.65027e+06,11.8728,201.581,4.78817e+06,134069
1.65027e+06,10.568,182.046,4.7882e+06,134069
1.65027e+06,9.40664,164.388,4.78821e+06,134070
1.65027e+06,8.37288,148.43,4.78823e+06,134071
1.65027e+06,7.45273,134.008,4.78825e+06,134071
1.65027e+06,6.6337,120.978,4.78826e+06,134071
1.65027e+06,5.90468,109.204,4.78827e+06,134072
1.65027e+06,5.25578,98.5687,4.78829e+06,134072
1.65027e+06,4.67819,88.9614,4.7883e+06,134072
1.65026e+06,4.16408,80.284,4.78831e+06,134073
1.65026e+06,3.70646,72.4472,4.78831e+06,134073
1.65026e+06,3.29913,65.3703,4.78832e+06,134073
1.65026e+06,2.93657,58.9801,4.78833e+06,134073
1.65026e+06,2.61385,53.2106,4.78834e+06,134073
1.65026e+06,2.3266,48.002,4.78834e+06,134074
1.65026e+06,2.07092,43.3,4.78835e+06,134074
1.65026e+06,1.84333,39.0559,4.78835e+06,134074
1.65026e+06,1.64076,35.2253,4.78835e+06,134074
1.65026e+06,1.46044,31.7682,4.78836e+06,134074
1.65026e+06,1.29995,28.6485,4.78836e+06,134074
1.65026e+06,1.15709,25.8334,4.78836e+06,134074
1.65026e+06,1.02993,23.2934,4.78837e+06,134074
1.65026e+06,0.916745,21.0019,4.78837e+06,134074
1.65026e+06,0.815999,18.9345,4.78837e+06,134074
1.65026e+06,0.726324,17.0697,4.78837e+06,134074
1.65026e+06,0.646504,15.3875,4.78838e+06,134075
1.65026e+06,0.575456,13.8704,4.78838e+06,134075
1.65026e+06,0.512216,12.502,4.78838e+06,134075
1.65026e+06,0.455926,11.268,4.78838e+06,134075
1.65026e+06,0.405822,10.1553,4.78838e+06,134075
1.65026e+06,0.361224,9.1519,4.78838e+06,134075
1.65026e+06,0.321527,8.2472,4.78838e+06,134075
1.65026e+06,0.286193,7.43154,4.78838e+06,134075
