S,I,X,R,D
6.57273e+06,2,0,0,0
6.57273e+06,2.33382,0.2,0.2,0.0056
6.57272e+06,2.72361,0.412822,0.453382,0.0126947
6.57272e+06,3.17843,0.642745,0.767025,0.0214767
6.57272e+06,3.70948,0.894513,1.14914,0.032176
6.57272e+06,4.32947,1.17351,1.60954,0.0450672
6.57272e+06,5.0531,1.48582,2.15984,0.0604755
6.57272e+06,5.89773,1.83838,2.81373,0.0787844
6.57272e+06,6.88361,2.23917,3.58734,0.100446
6.57271e+06,8.03433,2.69734,4.49962,0.125989
6.57271e+06,9.37747,3.22349,5.57279,0.156038
6.57271e+06,10.9451,3.82986,6.83288,0.191321
6.5727e+06,12.7749,4.53067,8.31038,0.232691
6.5727e+06,14.9106,5.3424,10.0409,0.281146
6.57269e+06,17.4033,6.28426,12.0662,0.337855
6.57269e+06,20.3128,7.37858,14.435,0.40418
6.57268e+06,23.7087,8.65134,17.2041,0.481716
6.57267e+06,27.6722,10.1328,20.4401,0.572324
6.57266e+06,32.2984,11.8584,24.2206,0.678178
6.57265e+06,37.6979,13.8692,28.6363,0.801817
6.57263e+06,43.9999,16.2132,33.793,0.946205
6.57262e+06,51.3554,18.9465,39.8143,1.1148
6.5726e+06,59.9404,22.1343,46.8445,1.31165
6.57258e+06,69.9603,25.853,55.052,1.54146
6.57255e+06,81.6548,30.1913,64.6333,1.80973
6.57252e+06,95.304,35.2531,75.818,2.1229
6.57248e+06,111.234,41.1595,88.8737,2.48846
6.57244e+06,129.826,48.0517,104.113,2.91516
6.5724e+06,151.525,56.0946,121.901,3.41322
6.57234e+06,176.85,65.4807,142.663,3.99456
6.57227e+06,206.406,76.4343,166.896,4.67309
6.5722e+06,240.899,89.2174,195.18,5.46504
6.57211e+06,281.154,104.136,228.192,6.38936
6.572e+06,328.131,121.546,266.721,7.46817
6.57188e+06,382.954,141.864,311.688,8.72727
6.57174e+06,446.929,165.576,364.17,10.1968
6.57158e+06,521.583,193.248,425.421,11.9118
6.57138e+06,608.696,225.54,496.904,13.9133
6.57116e+06,710.343,263.224,580.327,16.2492
6.5709e+06,828.943,307.199,677.684,18.9751
6.57059e+06,967.317,358.513,791.298,22.1563
6.57023e+06,1128.75,418.39,923.881,25.8687
6.56981e+06,1317.08,488.255,1078.6,30.2007
6.56933e+06,1536.77,569.77,1259.13,35.2556
6.56876e+06,1793.01,664.875,1469.78,41.1539
6.5681e+06,2091.85,775.827,1715.57,48.036
6.56732e+06,2440.35,905.257,2002.34,56.0655
6.56642e+06,2846.69,1056.23,2336.9,65.4332
6.56537e+06,3320.41,1232.32,2727.19,76.3614
6.56415e+06,3872.57,1437.68,3182.47,89.109
6.56272e+06,4516.05,1677.14,3713.49,103.978
6.56172e+06,4599.48,1956.34,4332.81,121.319
6.5607e+06,4684.14,2215.17,4988.39,139.675
6.55966e+06,4770.05,2455.87,5678.32,158.993
6.55861e+06,4857.2,2680.41,6400.91,179.226
6.55754e+06,4945.61,2890.58,7154.68,200.331
6.55644e+06,5035.28,3087.99,7938.29,222.272
6.55533e+06,5126.22,3274.07,8750.62,245.017
6.5542e+06,5218.44,3450.12,9590.65,268.538
6.55305e+06,5311.94,3617.29,10457.5,292.81
6.55188e+06,5406.73,3776.63,11350.4,317.812
6.55108e+06,5105.33,3929.06,12268.8,343.525
6.55033e+06,4820.57,4035.69,13172.2,368.822
6.54962e+06,4551.56,4102.88,14057.8,393.619
6.54895e+06,4297.44,4136.26,14923.3,417.852
6.54832e+06,4057.39,4140.79,15766.6,441.466
6.54773e+06,3830.66,4120.86,16586.5,464.421
6.54716e+06,3616.52,4080.3,17381.6,486.685
