S,I,X,R,D
6.57273e+06,2,0,0,0
6.57273e+06,2.33437,0.2,0.2,0.0056
6.57272e+06,2.72464,0.412877,0.453437,0.0126962
6.57272e+06,3.18017,0.642898,0.767189,0.0214813
6.57272e+06,3.71185,0.894825,1.1495,0.0321859
6.57272e+06,4.33243,1.17402,1.61016,0.0450846
6.57272e+06,5.05675,1.48658,2.16081,0.0605026
6.57272e+06,5.90218,1.83943,2.81514,0.078824
6.57272e+06,6.88894,2.24055,3.5893,0.1005
6.57271e+06,8.04069,2.69912,4.50225,0.126063
6.57271e+06,9.38499,3.22572,5.57623,0.156135
6.57271e+06,10.954,3.83261,6.8373,0.191445
6.5727e+06,12.7854,4.53403,8.31597,0.232847
6.5727e+06,14.923,5.34647,10.0479,0.281342
6.57269e+06,17.4179,6.28915,12.0749,0.338096
6.57269e+06,20.33,7.38442,14.4456,0.404476
6.57268e+06,23.7289,8.6583,17.217,0.482076
6.57267e+06,27.696,10.1411,20.4557,0.57276
6.57266e+06,32.3264,11.8682,24.2394,0.678704
6.57265e+06,37.731,13.8808,28.6589,0.802449
6.57263e+06,44.039,16.227,33.8201,0.946962
6.57262e+06,51.4016,18.9627,39.8467,1.11571
6.5726e+06,59.9951,22.1535,46.8831,1.31273
6.57258e+06,70.0251,25.8756,55.098,1.54274
6.57255e+06,81.7319,30.2181,64.688,1.81127
6.57252e+06,95.3957,35.2849,75.8831,2.12473
6.57248e+06,111.344,41.1972,88.9511,2.49063
6.57244e+06,129.957,48.0965,104.205,2.91775
6.57239e+06,151.682,56.1479,122.011,3.4163
6.57234e+06,177.038,65.5441,142.794,3.99822
6.57227e+06,206.632,76.51,167.052,4.67745
6.5722e+06,241.173,89.308,195.366,5.47025
6.57211e+06,281.485,104.244,228.414,6.3956
6.572e+06,328.534,121.677,266.987,7.47564
6.57188e+06,383.444,142.022,312.008,8.73623
6.57174e+06,447.529,165.766,364.555,10.2075
6.57157e+06,522.319,193.478,425.884,11.9248
6.57138e+06,609.602,225.821,497.464,13.929
6.57116e+06,711.461,263.566,581.006,16.2682
6.57089e+06,830.33,307.618,678.509,18.9983
6.57059e+06,969.042,359.028,792.304,22.1845
6.57023e+06,1130.91,419.024,925.111,25.9031
6.56981e+06,1319.78,489.039,1080.1,30.2429
6.56932e+06,1540.16,570.744,1260.99,35.3076
6.56875e+06,1797.28,666.087,1472.08,41.2181
6.56809e+06,2097.26,777.342,1718.41,48.1156
6.56731e+06,2447.22,907.157,2005.87,56.1645
6.56641e+06,2855.44,1058.62,2341.31,65.5567
6.56535e+06,3331.58,1235.34,2732.72,76.5161
6.56412e+06,3886.87,1441.51,3189.41,89.3035
6.56269e+06,4534.4,1682.01,3722.25,104.223
6.56101e+06,5289.37,1962.54,4343.89,121.629
6.55984e+06,5388.33,2289.72,5069.08,141.934
6.55865e+06,5488.88,2593.17,5836.88,163.433
6.55743e+06,5591.04,2875.48,6645.09,186.062
6.55619e+06,5694.83,3138.99,7491.74,209.769
6.55493e+06,5800.26,3385.78,8375.12,234.503
6.55365e+06,5907.35,3617.75,9293.73,260.224
