S,I,X,R,D,N
1059.38,4.15871,2.80615,45.3877,1.27086,1113
1741.01,6.83921,4.61572,74.4525,2.08467,1829
1429.64,5.61102,3.78605,61.2438,1.71483,1502
1650.56,6.47981,4.37237,70.6144,1.9772,1734
1734.22,6.80633,4.59221,74.2998,2.08039,1822
2867.17,11.2406,7.58472,123.542,3.45916,3013
2571.1,10.1027,6.81814,109.899,3.07718,2701
1859.05,7.29984,4.92585,79.5025,2.22607,1953
2564.25,10.0654,6.79234,109.82,3.07495,2694
2037.11,8.00513,5.40202,87.0445,2.43725,2140
1616.18,6.34262,4.27973,69.256,1.93917,1698
2113.06,8.29387,5.59624,90.5168,2.53447,2220
1858.9,7.29508,4.92268,79.6496,2.23019,1953
2665.14,10.461,7.05844,114.146,3.19609,2800
2440.58,9.5801,6.46481,104.454,2.92472,2564
2640.86,10.3587,6.98954,113.612,3.18115,2775
1661.12,6.52314,4.40205,70.9712,1.98719,1745
1486.95,5.84092,3.94144,63.4886,1.77768,1562
2235.97,8.77763,5.92344,95.6532,2.67829,2349
2513.8,9.86584,6.65764,107.663,3.01457,2641
1470.61,5.77205,3.89488,62.9597,1.76287,1545
1719.95,6.75088,4.55507,73.6796,2.06303,1807
2038.81,8.00153,5.39926,87.3481,2.44575,2142
2321.02,9.1021,6.14116,99.9366,2.79822,2439
2558.08,10.0602,6.78899,109.015,3.05242,2687
1497.91,5.87077,3.96095,64.4496,1.80459,1574
1936.59,7.58802,5.12032,83.3628,2.33416,2035
2233.35,8.74779,5.90267,96.2983,2.69635,2347
1928.15,7.56038,5.10062,82.8658,2.32024,2026
2087.06,8.18213,5.52059,89.7208,2.51218,2193
1368.43,5.36118,3.61732,58.9456,1.65048,1438
1532.08,6.0019,4.04949,66.0164,1.84846,1610
1417.8,5.55579,3.74871,61.1778,1.71298,1490
1818.68,7.12861,4.80993,78.1925,2.18939,1911
2731.05,10.699,7.21824,117.74,3.29672,2870
1577.77,6.1815,4.17077,67.9706,1.90318,1658
1232.36,4.82956,3.25821,53.0623,1.48574,1295
1266.61,4.96319,3.34867,54.5469,1.52731,1331
1231.4,4.82468,3.25542,53.0368,1.48503,1294
1260.91,4.94059,3.33334,54.2988,1.52037,1325
1539.72,6.03264,4.0703,66.3227,1.85704,1618
1608.3,6.3024,4.25264,69.2103,1.93789,1690
1557.84,6.10451,4.11896,67.0607,1.8777,1637
1339.93,5.25174,3.54345,57.6611,1.61451,1408
1472.23,5.77001,3.89328,63.3367,1.77343,1547
1370.32,5.36898,3.62254,59.0361,1.65301,1440
1271.35,4.98081,3.36078,54.7755,1.53371,1336
1324.65,5.19024,3.50173,57.0581,1.59763,1392
1400.77,5.48817,3.70292,60.349,1.68977,1472
1503.54,5.89039,3.9745,64.7826,1.81391,1580
1437.04,5.63247,3.80043,61.7997,1.73039,1510
1528.42,5.99086,4.04243,65.7115,1.83992,1606
1908.08,7.48358,5.04915,82.0841,2.29835,2005
1412.36,5.53836,3.7369,60.6672,1.69868,1484
1458.86,5.71719,3.8573,62.8049,1.75854,1533
1525.48,5.97778,4.03343,65.6685,1.83872,1603
1706.21,6.6846,4.51038,73.5321,2.0589,1793
1677.72,6.57298,4.43501,72.2521,2.02306,1763
1606.44,6.29613,4.24824,69.0781,1.93419,1688
2465.67,9.66188,6.51891,106.176,2.97294,2591
1534.92,6.01369,4.05752,66.1528,1.85228,1613
1697.65,6.65115,4.48764,73.1639,2.04859,1784
1323.68,5.18665,3.49951,57.0326,1.59691,1391
1797.96,7.05397,4.75981,77.0715,2.158,1889
1450.55,5.69068,3.83979,62.1776,1.74097,1524
2271.91,8.91034,6.01261,97.4416,2.72837,2387
2219.52,8.70453,5.87361,95.2393,2.6667,2332
1481.66,5.80542,3.9171,63.8278,1.78718,1557
1411.25,5.52901,3.73075,60.7879,1.70206,1483
1465.47,5.74164,3.87377,63.1472,1.76812,1540
1413.14,5.5364,3.73557,60.8819,1.70469,1485
2436.33,9.60664,6.48397,102.703,2.87568,2558
2595.37,10.2381,6.91011,109.417,3.06369,2725
2683.04,10.5806,7.14087,113.074,3.16606,2817
2323.99,9.16949,6.18873,97.9057,2.74136,2440
2641.78,10.4134,7.02794,111.656,3.12638,2774
1398.16,5.51261,3.72054,58.9562,1.65077,1468
1245.76,4.91113,3.31467,52.5426,1.47119,1308
3310.15,13.0709,8.82217,139.065,3.89382,3475
2443.05,9.6344,6.50225,102.933,2.88211,2565
1424.7,5.61293,3.78812,60.2126,1.68595,1496
1769.38,6.96955,4.70366,74.8534,2.0959,1858
2454.17,9.66789,6.52526,103.732,2.90449,2577
1709.73,6.74728,4.55416,71.9561,2.01477,1795
2652.35,10.457,7.05793,112,3.13599,2785
2356.6,9.30502,6.28051,99.0436,2.77322,2474
2890.1,11.3794,7.67966,122.413,3.42756,3035
2764.58,10.8904,7.34988,116.904,3.27331,2903
2685.51,10.5834,7.14261,113.58,3.18024,2820
2600.19,10.258,6.92375,109.564,3.0678,2730
2230.54,8.79418,5.93516,94.0973,2.63472,2342
2590.01,10.1997,6.88337,109.828,3.07518,2720
1245.63,4.90613,3.31131,52.6812,1.47507,1308
1620.86,6.38587,4.30955,68.5264,1.91874,1702
2785.23,10.9624,7.39806,118.101,3.30682,2925
1657.2,6.53321,4.40952,69.8978,1.95714,1740
1998.18,7.85018,5.2972,85.2799,2.38784,2099
1383.31,5.43673,3.66891,58.9344,1.65016,1453
2318.18,9.11002,6.14826,98.7915,2.76616,2435
3334.7,13.0991,8.83898,142.376,3.98654,3503
1833.41,7.19987,4.85866,78.3376,2.19345,1926
1655.38,6.50114,4.38701,70.7492,1.98098,1739
2463.69,9.67801,6.5311,105.155,2.94435,2588
1519.26,5.96659,4.02604,64.9263,1.81794,1596
1682.03,6.60479,4.457,71.891,2.01295,1767
2023.8,7.94808,5.36358,86.4721,2.42122,2126
2465.49,9.68758,6.53751,105.336,2.9494,2590
2670.44,10.496,7.08308,113.799,3.18637,2805
2249.45,8.83571,5.96199,96.0629,2.68976,2363
2484.71,9.76955,6.59275,105.957,2.9668,2610
1698.26,6.67052,4.50107,72.5369,2.03103,1784
1526.06,5.9963,4.04646,65.0766,1.82214,1603
1593.63,6.2615,4.22546,67.9782,1.90339,1674
3284.92,12.9036,8.70777,140.534,3.93495,3451
2837,11.1289,7.50916,121.947,3.41451,2981
3294.72,12.9506,8.73938,140.655,3.93833,3461
1794.41,7.0483,4.75609,76.6444,2.14604,1885
1812.35,7.11454,4.80074,77.5608,2.1717,1904
1389.81,5.45815,3.68303,59.3845,1.66277,1460
1662.08,6.52793,4.40505,71.0017,1.98805,1746
2036.22,7.9985,5.39743,86.9488,2.43457,2139
1480.36,5.82045,3.928,63.1221,1.76742,1555
1505.3,5.92097,3.99556,63.9925,1.79179,1581
2387.96,9.37202,6.32382,102.473,2.86923,2509
2580.68,10.1341,6.83889,110.262,3.08734,2711
1803.92,7.08839,4.78371,77.0482,2.15735,1895
1994.64,7.84852,5.29647,84.8354,2.37539,2095
1903.37,7.48819,5.05348,80.8297,2.26323,1999
1897.31,7.45873,5.03334,80.9325,2.26611,1993
1436.79,5.65141,3.81412,61.0391,1.70909,1509
2168.74,8.52884,5.75579,92.3853,2.58679,2278
1711.99,6.73513,4.54541,72.6955,2.03547,1798
1636.78,6.4404,4.34619,69.4848,1.94557,1719
1799.4,7.07808,4.77676,76.5997,2.14479,1890
1710.99,6.72961,4.54131,72.7035,2.0357,1797
1596.49,6.27701,4.23595,68.0945,1.90665,1677
2387.07,9.39169,6.33817,101.361,2.83811,2507
1455.89,5.72871,3.86596,61.7834,1.72993,1529
2555.71,10.0572,6.78759,108.412,3.03555,2684
1645.06,6.46795,4.36483,70.1428,1.964,1728
2024.2,7.96532,5.37575,86.0504,2.40941,2126
2026.99,7.97008,5.37854,86.2468,2.41491,2129
2539.25,9.98456,6.73786,108.005,3.02414,2667
2681.3,10.5281,7.10451,114.856,3.21597,2817
2862.08,11.2572,7.59663,121.664,3.40659,3006
2502.84,9.84107,6.64113,106.694,2.98744,2629
2439.64,9.57583,6.46176,104.4,2.92319,2563
1938.11,7.61072,5.13604,82.8289,2.31921,2036
1979.93,7.77328,5.24532,84.6844,2.37116,2080
2636.38,10.3682,6.99711,112.112,3.13913,2769
