S,I,X,R,D,N
391.765,0.103687,0.161239,34.0176,0.952494,427
1024.74,0.271064,0.42154,89.0719,2.49401,1117
271.552,0.0718341,0.11171,23.6031,0.660888,296
314.673,0.0832439,0.129453,27.349,0.765771,343
668.793,0.176917,0.275126,58.1278,1.62758,729
802.731,0.212343,0.33022,69.7725,1.95363,875
304.578,0.080568,0.125292,26.4749,0.741297,332
259.627,0.0686805,0.106806,22.5654,0.631832,283
362.388,0.0958779,0.149099,31.4857,0.881598,395
940.366,0.248786,0.386887,81.7103,2.28789,1025
515.593,0.136402,0.212119,44.8044,1.25452,562
201.863,0.0534594,0.0831278,17.5098,0.490274,220
602.831,0.159634,0.248226,52.297,1.46432,657
845.984,0.224027,0.348357,73.3884,2.05488,922
815.704,0.216012,0.335892,70.7625,1.98135,889
594.561,0.157425,0.244795,51.5921,1.44458,648
4183.48,1.10678,1.72115,363.513,10.1784,4560
1288.99,0.341015,0.530314,112.003,3.13609,1405
482.558,0.127653,0.198513,41.9415,1.17436,526
964.245,0.255135,0.396754,83.7576,2.34521,1051
481.646,0.127419,0.19815,41.8565,1.17198,525
13344.9,3.53048,5.49027,1159.58,32.4682,14546
952.301,0.251954,0.391812,82.7382,2.31667,1038
544.041,0.143938,0.223837,47.2676,1.32349,593
784.407,0.20753,0.32273,68.154,1.90831,855
528.45,0.139822,0.217434,45.9072,1.2854,576
111.929,0.0296142,0.0460532,9.72355,0.272259,122
408.262,0.108018,0.167978,35.4692,0.993137,445
918.346,0.242958,0.377821,79.7985,2.23436,1001
492.669,0.130354,0.20271,42.7999,1.1984,537
1011.93,0.267729,0.41634,87.9208,2.46178,1103
716.518,0.189567,0.294796,62.2548,1.74313,781
532.117,0.140788,0.218936,46.2288,1.29441,580
426.602,0.112859,0.175505,37.0721,1.03802,465
540.363,0.142955,0.222309,46.9565,1.31478,589
893.577,0.236407,0.36763,77.6452,2.17407,974
401.833,0.106308,0.16532,34.9172,0.977682,438
371.567,0.0983112,0.152883,32.278,0.903785,405
342.197,0.0905261,0.140779,29.7389,0.832689,373
1505.53,0.398345,0.619457,130.788,3.66205,1641
600.009,0.158752,0.246873,52.1258,1.45952,654
2524.82,0.668033,1.03884,219.332,6.14131,2752
657.798,0.174028,0.270633,57.1565,1.60038,717
389.917,0.10317,0.160436,33.871,0.948389,425
315.6,0.0835014,0.129852,27.4188,0.767728,344
5172.58,1.36731,2.12648,450.317,12.6089,5639
3410.48,0.901511,1.40207,296.905,8.31335,3718
3392.13,0.896676,1.39454,295.311,8.26872,3698
3307.76,0.874376,1.35987,287.945,8.06245,3606
1730.94,0.457563,0.711625,150.675,4.2189,1887
3229.78,0.853758,1.3278,281.165,7.87262,3521
2321.67,0.613717,0.954482,202.102,5.65885,2531
4370.89,1.1554,1.79693,380.504,10.6541,4765
4016.82,1.06181,1.65137,349.679,9.791,4379
5606.45,1.48199,2.30484,488.094,13.6666,6112
