S,I,X,R,D,N
782.252,0.915912,1.10785,319.771,8.95359,1113
1285.3,1.50488,1.82025,525.654,14.7183,1829
1055.84,1.23627,1.49533,431.348,12.0777,1502
1219.02,1.42735,1.72646,497.888,13.9409,1734
1280.84,1.49972,1.81399,523.198,14.6496,1822
2117.18,2.47866,2.99806,866.089,24.2505,3013
1898.14,2.22239,2.6881,776.212,21.7339,2701
1372.89,1.60754,1.9444,560.85,15.7038,1953
1893.59,2.21715,2.68176,773.844,21.6676,2694
1503.89,1.76078,2.12975,614.999,17.22,2140
1193.66,1.39764,1.69052,487.597,13.6527,1698
1560.64,1.82734,2.21027,637.475,17.8493,2220
1372.92,1.60753,1.94439,560.828,15.7032,1953
1968.36,2.30473,2.7877,804.038,22.5131,2800
1802.5,2.11055,2.55283,736.223,20.6142,2564
1949.97,2.28291,2.7613,797.649,22.3342,2775
1226.74,1.4364,1.73741,501.057,14.0296,1745
1098.11,1.28579,1.55524,448.494,12.5578,1562
1651.36,1.93358,2.33877,674.484,18.8856,2349
1856.61,2.1739,2.62945,758.349,21.2338,2641
1086.12,1.27174,1.53823,443.644,12.422,1545
1270.31,1.48739,1.79908,518.878,14.5286,1807
1505.8,1.76312,2.13259,615.086,17.2224,2142
1713.83,2.0065,2.42693,701.103,19.6309,2439
1888.38,2.21098,2.67432,772.118,21.6193,2687
1106.49,1.29557,1.56705,451.987,12.6556,1574
1430.56,1.675,2.02599,584.378,16.3626,2035
1649.88,1.93177,2.33657,673.984,18.8716,2347
1424.23,1.66763,2.01709,581.795,16.2903,2026
1541.64,1.8051,2.18336,629.74,17.6327,2193
1010.88,1.1836,1.43162,412.944,11.5624,1438
1131.8,1.32518,1.60287,462.33,12.9452,1610
1046.95,1.22572,1.48258,428.347,11.9937,1490
1343.43,1.57301,1.90265,548.734,15.3646,1911
2017.5,2.36221,2.85721,824.198,23.0775,2870
1165.54,1.36469,1.65066,476.117,13.3313,1658
910.37,1.06593,1.28929,371.863,10.4122,1295
935.673,1.09555,1.32513,382.205,10.7017,1331
909.656,1.06509,1.28828,371.586,10.4044,1294
931.457,1.09061,1.31915,380.48,10.6534,1325
1137.41,1.33175,1.61082,464.634,13.0098,1618
1188.03,1.39106,1.68255,485.306,13.5886,1690
1150.78,1.34743,1.62978,470.079,13.1622,1637
989.806,1.15895,1.40181,404.312,11.3207,1408
1087.52,1.27337,1.54021,444.231,12.4385,1547
1012.28,1.18524,1.43361,413.521,11.5786,1440
939.181,1.09966,1.33009,383.647,10.7421,1336
978.544,1.14575,1.38584,399.732,11.1925,1392
1034.77,1.21158,1.46547,422.715,11.836,1472
1110.7,1.30048,1.573,453.722,12.7042,1580
1061.5,1.24289,1.50335,433.609,12.1411,1510
1129,1.32193,1.59894,461.168,12.9127,1606
1408.89,1.64943,1.99511,576.325,16.1371,2005
1043.22,1.22151,1.47748,426.149,11.9322,1484
1077.67,1.26182,1.52623,440.212,12.3259,1533
1126.87,1.31943,1.59592,460.321,12.889,1603
1260.41,1.47577,1.78501,514.91,14.4175,1793
1239.35,1.45113,1.75521,506.265,14.1754,1763
1186.65,1.38944,1.68061,484.707,13.5718,1688
1821.43,2.13269,2.57959,744.025,20.8327,2591
1133.89,1.32762,1.60583,463.21,12.9699,1613
1254.11,1.46839,1.77609,512.305,14.3445,1784
977.832,1.14491,1.38483,399.454,11.1847,1391
1327.94,1.55492,1.88076,542.437,15.1882,1889
1071.36,1.25448,1.51736,437.619,12.2533,1524
1678.05,1.96488,2.37663,685.417,19.1917,2387
1639.37,1.91957,2.32182,669.637,18.7498,2332
1094.54,1.28156,1.55011,447.109,12.5191,1557
1042.52,1.22065,1.47644,425.859,11.924,1483
1082.57,1.26755,1.53316,442.243,12.3828,1540
1043.92,1.22229,1.47843,426.436,11.9402,1485
1798.35,2.106,2.54736,734.432,20.5641,2558
1915.28,2.24277,2.71283,782.841,21.9196,2725
1980.43,2.31925,2.80529,808.795,22.6463,2817
1715.01,2.00835,2.42926,700.93,19.626,2440
1949.69,2.28304,2.76151,796.948,22.3146,2774
1032.04,1.2086,1.46189,421.488,11.8017,1468
919.554,1.07687,1.30254,375.551,10.5154,1308
2442.51,2.86033,3.45975,998.22,27.9501,3475
1803.28,2.1118,2.55437,736.432,20.6201,2565
1051.73,1.23166,1.48977,429.519,12.0265,1496
1306.21,1.52964,1.8502,533.477,14.9374,1858
1811.7,2.12161,2.56623,739.891,20.7169,2577
1261.65,1.47747,1.7871,515.644,14.438,1795
1957.43,2.29217,2.77256,800.104,22.4029,2785
1738.9,2.03629,2.46307,710.7,19.8996,2474
2133.69,2.49867,3.02231,871.385,24.3988,3035
2040.88,2.38995,2.89081,833.501,23.338,2903
1981.96,2.32088,2.80726,810.225,22.6863,2820
1918.82,2.24699,2.7179,784.253,21.9591,2730
1646.47,1.92813,2.33221,672.438,18.8283,2342
1911.65,2.23852,2.70764,781.52,21.8826,2720
919.55,1.07684,1.30251,375.555,10.5156,1308
1196.54,1.40122,1.69487,488.678,13.683,1702
2056.33,2.40806,2.9127,839.832,23.5153,2925
1223.26,1.43252,1.73273,499.59,13.9885,1740
1475.62,1.72782,2.08991,602.686,16.8752,2099
1021.49,1.19608,1.44673,417.19,11.6813,1453
1711.85,2.00444,2.42449,699.149,19.5762,2435
2462.63,2.88353,3.4878,1005.83,28.1634,3503
1353.98,1.58538,1.91761,553.034,15.485,1926
1222.52,1.43145,1.73142,499.339,13.9815,1739
1819.39,2.13035,2.57678,743.1,20.8068,2588
1122,1.31375,1.58906,458.265,12.8314,1596
1242.2,1.45449,1.7593,507.378,14.2066,1767
1494.58,1.75001,2.11674,610.463,17.093,2126
1820.12,2.13102,2.57758,744.325,20.8411,2590
1971.98,2.30905,2.79294,805.364,22.5502,2805
1661.19,1.94511,2.35272,678.509,18.9983,2363
1834.24,2.14758,2.59762,750.019,21.0005,2610
1254.16,1.46851,1.77624,512.255,14.3431,1784
1126.93,1.31953,1.59605,460.271,12.8876,1603
1176.84,1.37797,1.66674,480.659,13.4585,1674
2425.16,2.83937,3.43431,991.797,27.7703,3451
2094.72,2.45235,2.96624,856.873,23.9924,2981
2432.27,2.84765,3.44448,994.586,27.8484,3461
1325.17,1.55166,1.87683,541.242,15.1548,1885
1338.52,1.56727,1.8957,546.71,15.3079,1904
1026.39,1.20181,1.45365,419.216,11.738,1460
1227.44,1.43721,1.73839,501.349,14.0378,1746
1503.73,1.76074,2.12971,614.181,17.1971,2139
1092.81,1.27952,1.54765,446.854,12.5119,1555
1111.48,1.30147,1.57421,453.936,12.7102,1581
1763.1,2.06414,2.49669,721.146,20.1921,2509
1905.83,2.23154,2.69918,778.445,21.7965,2711
1331.74,1.55922,1.88596,544.565,15.2478,1895
1472.35,1.72389,2.08516,601.984,16.8556,2095
1405.34,1.64557,1.99042,573.953,16.0707,1999
1400.62,1.63987,1.98355,572.719,16.0361,1993
1060.86,1.2422,1.50252,433.259,12.1313,1509
1600.94,1.87443,2.26725,654.588,18.3285,2278
1264.03,1.48011,1.79029,516.24,14.4547,1798
1208.51,1.4151,1.71166,493.542,13.8192,1719
1328.25,1.55515,1.88108,543.104,15.2069,1890
1263.33,1.47928,1.78928,515.956,14.4468,1797
1178.56,1.37989,1.66905,481.901,13.4932,1677
1762.48,2.06377,2.49626,719.807,20.1546,2507
1074.93,1.25869,1.52246,438.998,12.2919,1529
1886.94,2.20955,2.67259,770.596,21.5767,2684
1214.4,1.42184,1.71981,496.557,13.9036,1728
1494.16,1.74947,2.11609,610.872,17.1044,2126
1496.7,1.75264,2.11993,611.31,17.1167,2129
1874.93,2.19557,2.65568,765.775,21.4417,2667
1979.59,2.31775,2.80349,809.623,22.6694,2817
2113.26,2.47467,2.99327,863.108,24.167,3006
1847.56,2.16332,2.61669,755.507,21.1542,2629
1801.76,2.10974,2.55185,735.972,20.6072,2563
1431.3,1.67598,2.02719,584.629,16.3696,2036
1462.24,1.71219,2.07099,597.258,16.7232,2080
1946.64,2.27956,2.75727,795.059,22.2616,2769
1661.92,1.94615,2.35399,678.77,19.0056,2364
1773,2.07624,2.51134,724.133,20.2757,2522
2440.52,2.85735,3.45613,998.221,27.9502,3473
1814.47,2.12451,2.56971,742.057,20.7776,2582
1915.02,2.24252,2.71247,782.125,21.8995,2724
1903.13,2.22849,2.69549,778.153,21.7883,2708
1709.73,2.00204,2.42159,698.293,19.5522,2432
1925.59,2.25473,2.72726,787.38,22.0466,2740
1668.93,1.95433,2.36388,681.661,19.0865,2374
1211.98,1.41924,1.71666,495.021,13.8606,1724
1242.85,1.4552,1.76014,507.716,14.216,1768
1070.63,1.25355,1.51623,437.358,12.246,1523
1136.01,1.33011,1.60883,464.059,12.9936,1616
1226.68,1.43626,1.73722,501.12,14.0314,1745
1418.59,1.66096,2.00901,579.513,16.2264,2018
1563.4,1.8305,2.21408,638.672,17.8828,2224
1408.05,1.64861,1.99408,575.203,16.1057,2003
1288.54,1.50868,1.82482,526.392,14.739,1833
1478.34,1.73091,2.09362,603.927,16.91,2103
1200.67,1.40581,1.70039,490.488,13.7337,1708
1099.45,1.28729,1.55704,449.132,12.5757,1564
1150.05,1.34653,1.62869,469.825,13.1551,1636
1274.48,1.49223,1.80492,520.643,14.578,1813
1412.26,1.65355,2.00005,576.929,16.154,2009
1480.45,1.73337,2.09661,604.79,16.9341,2106
1353.21,1.58441,1.91642,552.806,15.4786,1925
1250.59,1.46426,1.77109,510.866,14.3043,1779
1351.1,1.58193,1.91342,551.951,15.4546,1922
1308.92,1.53255,1.8537,534.719,14.9721,1862
1351.11,1.58194,1.91344,551.945,15.4545,1922
1195.76,1.40006,1.69344,488.47,13.6772,1701
979.947,1.14737,1.3878,400.309,11.2087,1394
1216.14,1.42392,1.7223,496.799,13.9104,1730
1255.52,1.47002,1.77806,512.876,14.3605,1786
1512.08,1.77041,2.1414,617.715,17.296,2151
1332.82,1.56053,1.88754,544.483,15.2455,1896
1488.9,1.74328,2.10858,608.217,17.0301,2118
1283.63,1.50294,1.81789,524.367,14.6823,1826
1526.84,1.78769,2.1623,623.749,17.465,2172
1332.11,1.5597,1.88653,544.205,15.2377,1895
1185.9,1.38851,1.67948,484.464,13.565,1687
1315.25,1.53996,1.86266,537.302,15.0445,1871
1093.12,1.27988,1.54808,446.55,12.5034,1555
1376.41,1.61157,1.94927,562.286,15.744,1958
1046.02,1.22474,1.48138,427.307,11.9646,1488
1197.15,1.40169,1.69542,489.055,13.6935,1703
1575.34,1.84448,2.23099,643.566,18.0198,2241
937.064,1.09716,1.32707,382.794,10.7182,1333
1231.6,1.44202,1.7442,503.122,14.0874,1752
1150.76,1.34736,1.6297,470.1,13.1628,1637
1136.7,1.3309,1.60979,464.36,13.0021,1617
1122.65,1.31445,1.58989,458.607,12.841,1597
1128.97,1.32185,1.59885,461.196,12.9135,1606
1377.13,1.61242,1.9503,562.556,15.7516,1959
1442.49,1.68894,2.04286,589.277,16.4998,2052
1341.97,1.57125,1.9005,548.208,15.3498,1909
1403.12,1.64284,1.98709,573.198,16.0495,1996
1384.85,1.62145,1.96122,565.727,15.8404,1970
1044.62,1.22309,1.47939,426.734,11.9485,1486
1427.72,1.67164,2.02193,583.255,16.3311,2031
1121.24,1.31281,1.5879,458.034,12.825,1595
1197.86,1.40251,1.69641,489.341,13.7016,1704
1794.66,2.10127,2.54158,733.17,20.5288,2553
1702.58,1.99347,2.41119,695.537,19.475,2422
1419.29,1.66178,2.01,579.801,16.2344,2019
1801.69,2.1095,2.55154,736.041,20.6091,2563
1973.25,2.31038,2.79451,806.072,22.57,2807
1472.01,1.7235,2.08465,601.346,16.8377,2094
1052.34,1.23214,1.49033,429.897,12.0371,1497
1231.59,1.44201,1.74419,503.132,14.0877,1752
1360.25,1.59265,1.92638,555.675,15.5589,1935
1185.91,1.38853,1.67949,484.458,13.5648,1687
1360.25,1.59266,1.9264,555.67,15.5588,1935
1209.82,1.41652,1.71335,494.217,13.8381,1721
996.829,1.16715,1.41173,407.191,11.4013,1418
1091.02,1.27744,1.54513,445.677,12.4789,1552
1114.22,1.30459,1.57797,455.155,12.7443,1585
975.716,1.14242,1.38181,398.599,11.1608,1388
1082.58,1.26753,1.53314,442.24,12.3827,1540
1147.95,1.34407,1.62572,468.952,13.1307,1633
1517.01,1.7762,2.14841,619.712,17.3519,2158
1292.77,1.51365,1.83083,528.1,14.7868,1839
1107.88,1.29718,1.56901,452.577,12.6722,1576
1402.45,1.64206,1.98615,572.885,16.0408,1995
1233.02,1.44368,1.7462,503.691,14.1033,1754
1088.22,1.27415,1.54115,444.521,12.4466,1548
1134.61,1.32848,1.60686,463.477,12.9774,1614
1198.59,1.40338,1.69746,489.605,13.7089,1705
1146.57,1.34247,1.62379,468.354,13.1139,1631
1510.7,1.7688,2.13945,617.116,17.2793,2149
1218.25,1.42638,1.72528,497.667,13.9347,1733
1243.56,1.45603,1.76114,507.999,14.224,1769
1586.59,1.85766,2.24692,648.154,18.1483,2257
1938.08,2.26919,2.7447,791.737,22.1686,2757
1127.57,1.32021,1.59686,460.62,12.8974,1604
1184.51,1.38689,1.67751,483.876,13.5485,1685
1081.15,1.26586,1.53112,441.688,12.3673,1538
1565.5,1.83297,2.21707,639.543,17.9072,2227
1428.44,1.6725,2.02298,583.525,16.3387,2032
1588.71,1.86015,2.24995,649.005,18.1721,2260
2272,2.66017,3.2176,928.131,25.9877,3232
1091.73,1.27826,1.54611,445.961,12.4869,1553
1141.62,1.33667,1.61677,466.364,13.0582,1624
1371.5,1.60583,1.94233,560.265,15.6874,1951
1152.17,1.34903,1.63171,470.67,13.1788,1639
1381.34,1.61735,1.95626,564.287,15.8,1965
1020.73,1.19513,1.44558,416.955,11.6747,1452
1115.96,1.30628,1.58008,458.317,12.8329,1590
1325.1,1.5515,1.87662,541.318,15.1569,1885
1384.84,1.62144,1.96121,565.732,15.8405,1970
1038.99,1.2165,1.47142,424.44,11.8843,1478
1055.86,1.23626,1.49532,431.329,12.0772,1502
1261.11,1.47657,1.78599,515.199,14.4256,1794
1353.92,1.58523,1.91741,553.093,15.4866,1926
1334.94,1.56301,1.89054,545.341,15.2695,1899
1463.58,1.71363,2.07272,597.892,16.741,2082
1283.63,1.50294,1.81788,524.369,14.6823,1826
1499.42,1.75559,2.12347,612.551,17.1514,2133
2178.52,2.55072,3.08522,889.93,24.918,3099
1321.58,1.54738,1.87162,539.885,15.1168,1880
1114.21,1.30458,1.57795,455.162,12.7445,1585
1693.44,1.98276,2.39825,691.805,19.3705,2409
1905.72,2.2313,2.69887,778.55,21.7994,2711
1472.01,1.7235,2.08465,601.347,16.8377,2094
1192.94,1.39676,1.68945,487.327,13.6451,1697
1489.59,1.74408,2.10955,608.519,17.0385,2119
1353.93,1.58525,1.91744,553.079,15.4862,1926
1071.34,1.25439,1.51724,437.634,12.2537,1524
1474.82,1.72679,2.08864,602.495,16.8699,2098
1283.63,1.50294,1.81788,524.371,14.6824,1826
1254.11,1.46837,1.77607,512.305,14.3445,1784
1589.39,1.86093,2.25089,649.317,18.1809,2261
1594.33,1.86672,2.25789,651.307,18.2366,2268
1040.41,1.21817,1.47343,424.999,11.9,1480
1173.97,1.37455,1.66258,479.564,13.4278,1670
1211.92,1.41898,1.71632,495.081,13.8623,1724
2013.28,2.35724,2.85119,822.48,23.0294,2864
1916.98,2.24449,2.71481,783.134,21.9278,2727
1173.97,1.37455,1.6626,479.563,13.4278,1670
1092.43,1.27908,1.54711,446.249,12.495,1554
1136.71,1.33093,1.60982,464.349,13.0018,1617
1203.5,1.40912,1.7044,491.626,13.7655,1712
1317.37,1.54245,1.86567,538.152,15.0683,1874
1169.75,1.36961,1.65661,477.846,13.3797,1664
1626.66,1.90456,2.30366,664.528,18.6068,2314
1207,1.41321,1.70936,493.071,13.806,1717
1263.94,1.47989,1.79,516.329,14.4572,1798
1135.31,1.32928,1.60783,463.771,12.9856,1615
1694.86,1.98442,2.40026,692.371,19.3864,2411
1172.56,1.37289,1.66059,478.996,13.4119,1668
1168.34,1.36796,1.65461,477.276,13.3637,1662
1595.74,1.86836,2.25988,651.884,18.2527,2270
1505.76,1.76301,2.13245,615.123,17.2234,2142
1453.03,1.70129,2.05779,593.586,16.6204,2067
1053.75,1.23379,1.49233,430.469,12.0531,1499
1448.81,1.69634,2.0518,591.868,16.5723,2061
1325.08,1.55147,1.87658,541.331,15.1573,1885
