S,I,X,R,D,N
689.823,0.773728,1.25809,409.674,11.4709,1113
1133.52,1.27118,2.06701,673.289,18.8521,1829
930.959,1.04425,1.69796,552.82,15.4789,1502
1074.76,1.20549,1.96014,638.201,17.8696,1734
1129.32,1.26677,2.05978,670.574,18.7761,1822
1867.4,2.09498,3.40638,1109.05,31.0534,3013
1673.96,1.87717,3.05235,994.275,27.8397,2701
1210.48,1.35767,2.20762,718.83,20.1273,1953
1669.73,1.87282,3.04526,991.584,27.7644,2694
1326.26,1.48727,2.41839,787.773,22.0576,2140
1052.45,1.18055,1.91957,624.956,17.4988,1698
1375.99,1.54342,2.50961,817.083,22.8783,2220
1210.5,1.35781,2.20781,718.807,20.1266,1953
1735.49,1.94669,3.16532,1030.54,28.8552,2800
1589.22,1.78256,2.89846,943.678,26.423,2564
1719.85,1.92931,3.13701,1021.48,28.6014,2775
1081.57,1.21305,1.97245,642.26,17.9833,1745
968.14,1.08577,1.76551,574.911,16.0975,1562
1455.95,1.63305,2.65537,864.55,24.2074,2349
1636.94,1.83614,2.98557,972.018,27.2165,2641
957.615,1.07411,1.74653,568.643,15.922,1545
1119.99,1.25628,2.04272,665.084,18.6223,1807
1327.65,1.48923,2.42148,788.364,22.0742,2142
1511.63,1.6958,2.75733,897.782,25.1379,2439
1665.25,1.86711,3.03614,989.148,27.6961,2687
975.647,1.09469,1.77989,579.26,16.2193,1574
1261.39,1.41531,2.30124,748.928,20.97,2035
1454.8,1.63243,2.65422,863.726,24.1843,2347
1255.8,1.40895,2.29088,745.62,20.8774,2026
1359.32,1.5251,2.47972,807.081,22.5983,2193
891.344,1.00017,1.62619,529.212,14.8179,1438
997.965,1.11981,1.82072,592.504,16.5901,1610
923.488,1.03617,1.68475,548.435,15.3562,1490
1184.53,1.32903,2.16095,703.289,19.6921,1911
1778.95,1.99617,3.24563,1056.23,29.5746,2870
1027.72,1.15316,1.87497,610.17,17.0848,1658
802.709,0.900671,1.46443,476.582,13.3443,1295
825.02,0.925713,1.50514,489.834,13.7153,1331
802.097,0.899988,1.46332,476.206,13.3338,1294
821.298,0.921553,1.49837,487.628,13.6536,1325
1002.92,1.12536,1.82973,595.454,16.6727,1618
1047.54,1.17538,1.91107,621.963,17.415,1690
1014.71,1.13854,1.8512,602.435,16.8682,1637
872.747,0.979231,1.5922,518.173,14.5088,1408
958.91,1.0759,1.74937,569.324,15.9411,1547
892.584,1.00154,1.62845,529.948,14.8385,1440
828.122,0.929222,1.51084,491.671,13.7668,1336
862.821,0.968128,1.57412,512.293,14.3442,1392
912.412,1.02377,1.66459,541.731,15.1685,1472
979.346,1.09889,1.78672,581.486,16.2816,1580
935.966,1.05016,1.70748,555.716,15.5601,1510
995.465,1.11688,1.81599,591.053,16.5495,1606
1242.66,1.39406,2.26671,738.011,20.6643,2005
919.845,1.032,1.67797,546.152,15.2923,1484
950.231,1.06621,1.73358,564.173,15.7968,1533
993.61,1.11488,1.8127,589.944,16.5184,1603
1111.39,1.24708,2.02765,659.858,18.476,1793
1092.79,1.2262,1.99371,648.822,18.167,1763
1046.3,1.17396,1.90879,621.221,17.3942,1688
1606.03,1.80211,2.93004,953.537,26.699,2591
999.803,1.12184,1.82405,593.629,16.6216,1613
1105.81,1.2408,2.01746,656.552,18.3834,1784
862.2,0.967456,1.57301,511.925,14.3339,1391
1170.87,1.31349,2.13572,695.217,19.4661,1889
944.616,1.05967,1.72302,560.896,15.7051,1524
1479.53,1.65978,2.69884,878.509,24.5983,2387
1445.46,1.62163,2.63673,858.253,24.0311,2332
965.109,1.0829,1.76074,573.003,16.0441,1557
919.236,1.03144,1.67705,545.774,15.2817,1483
954.561,1.07108,1.74151,566.758,15.8692,1540
920.48,1.03285,1.67936,546.506,15.3022,1485
1585.26,1.77648,2.88896,941.709,26.3679,2558
1688.65,1.89218,3.07713,1003.29,28.092,2725
1745.79,1.95637,3.18149,1037.03,29.0369,2817
1512.04,1.69425,2.75529,898.36,25.1541,2440
1719.06,1.92655,3.13297,1021.29,28.596,2774
909.768,1.01955,1.65802,540.422,15.1318,1468
810.613,0.908463,1.47735,481.518,13.4825,1308
2153.35,2.4124,3.92326,1279.49,35.8256,3475
1589.6,1.78131,2.89687,944.278,26.4398,2565
927.147,1.0392,1.68994,550.704,15.4197,1496
1151.51,1.29076,2.09901,683.954,19.1507,1858
1597.09,1.79009,2.91103,948.642,26.562,2577
1112.33,1.2463,2.02682,660.89,18.5049,1795
1725.86,1.93412,3.14531,1025.35,28.7099,2785
1533.06,1.71744,2.79309,910.919,25.5057,2474
1880.99,2.10864,3.42898,1117.19,31.2813,3035
1799.15,2.01663,3.27938,1068.64,29.9218,2903
1747.58,1.95871,3.18525,1038.21,29.0698,2820
1691.76,1.89561,3.08272,1005.12,28.1434,2730
