x,y,S,I,R,D,X,N
-6.89796,52.5414,400.987,0.0064181,0.00213599,0.00412015,0.000115364,401
-6.92311,52.5192,647.981,0.00976522,0.00319739,0.00613553,0.000171795,648
-6.27416,53.3586,1784.79,0.0932797,0.0356314,0.076604,0.00214491,1785
-6.27988,53.3547,4165.52,0.217211,0.0831749,0.178375,0.0049945,4166
-6.28198,53.3481,4470.48,0.233725,0.0893498,0.191428,0.00535997,4471
-6.29254,53.3511,3108.64,0.162489,0.0623188,0.134068,0.00375391,3109
-6.28789,53.3534,3292.62,0.171781,0.0658855,0.141614,0.00396519,3293
-6.31839,53.3731,10564.7,0.557915,0.215337,0.467886,0.0131008,10566
-6.31809,53.3663,2642.69,0.138708,0.0539002,0.118595,0.00332066,2643
-6.18089,53.3741,3437.61,0.17611,0.067225,0.1442,0.00403761,3438
-6.17142,53.3636,7106.19,0.364153,0.138707,0.296193,0.0082934,7107
-6.20082,53.3641,3182.64,0.164413,0.0626954,0.133919,0.00374973,3183
-6.20942,53.3655,2765.68,0.143163,0.0544946,0.116421,0.00325978,2766
-6.19896,53.3726,1790.79,0.0929854,0.0352716,0.0752911,0.00210815,1791
-6.20458,53.3779,3657.58,0.189083,0.0717654,0.152844,0.00427963,3658
-6.2135,53.3746,2410.72,0.124796,0.0473987,0.101252,0.00283505,2411
-6.21864,53.368,3658.58,0.189649,0.0721341,0.154229,0.00431842,3659
-6.23185,53.3627,2296.73,0.119089,0.0455732,0.0977655,0.00273743,2297
-6.158,53.3835,2487.72,0.128563,0.0486758,0.103475,0.00289729,2488
-6.15184,53.3865,2168.75,0.111977,0.042442,0.0901746,0.00252489,2169
-6.14629,53.377,3671.58,0.188637,0.0714979,0.152388,0.00426688,3672
-6.26078,53.3553,5964.31,0.310854,0.118422,0.252439,0.00706829,5965
-6.26614,53.3524,2457.72,0.12789,0.0489047,0.104871,0.00293638,2458
-6.25656,53.3821,3285.62,0.170263,0.0648526,0.138418,0.00387571,3286
-6.25258,53.388,4127.53,0.214212,0.0812628,0.172991,0.00484375,4128
-6.24605,53.3939,2152.75,0.110982,0.0421461,0.0896595,0.00251047,2153
-6.24196,53.3814,3455.6,0.178701,0.0679178,0.144715,0.00405203,3456
-6.34423,53.3471,3055.6,0.166371,0.0686343,0.162907,0.0045614,3056
-6.37928,53.3393,3253.54,0.181932,0.0776989,0.192632,0.00539368,3254
-6.36339,53.3406,2835.61,0.159061,0.0666118,0.163264,0.0045714,2836
-6.36698,53.3338,4544.38,0.25142,0.105803,0.258246,0.00723088,4545
-6.32174,53.3327,3713.55,0.198319,0.0779658,0.173316,0.00485285,3714
-6.30592,53.3321,2967.65,0.156358,0.0607817,0.132961,0.0037229,2968
-6.29262,53.3295,2330.73,0.122551,0.0471587,0.102203,0.00286168,2331
-6.30816,53.3257,4088.51,0.215694,0.0836246,0.182505,0.00511015,4089
-6.316,53.3298,2792.66,0.148046,0.0579426,0.12777,0.00357757,2793
