S,I,X,R,D,N
1100.37,0.0177888,0.0247126,12.2478,0.342937,1113
1808.5,0.0292038,0.0405293,19.8781,0.556586,1829
1484.88,0.0240184,0.033375,16.5969,0.464712,1502
1714.32,0.0277191,0.0385041,19.0752,0.534105,1734
1801.2,0.0291366,0.0404988,20.1647,0.564612,1822
2978.11,0.0482248,0.0671068,33.8297,0.94723,3013
2670.8,0.0431151,0.0598224,29.2813,0.819875,2701
1930.91,0.0312065,0.0433378,21.414,0.599593,1953
2663.41,0.0430571,0.0598172,29.6524,0.830266,2694
2116.1,0.0341629,0.0474036,23.1702,0.648765,2140
1678.6,0.0271541,0.0377413,18.8066,0.526586,1698
2194.68,0.0354977,0.0493369,24.5491,0.687374,2220
1930.7,0.0312319,0.0434107,21.6206,0.605378,1953
2768.08,0.0447725,0.0622162,30.9447,0.866452,2800
2534.86,0.0409917,0.0569517,28.2518,0.791051,2564
2743.08,0.0443945,0.0617394,30.9456,0.866477,2775
1725.32,0.0278803,0.0387146,19.0794,0.534222,1745
1544.44,0.0249479,0.0346321,17.0281,0.476787,1562
2322.35,0.0375419,0.0521524,25.8353,0.723387,2349
2610.9,0.0422292,0.0586866,29.1858,0.817204,2641
1527.42,0.0247039,0.0343259,17.0484,0.477355,1545
1786.39,0.0288925,0.0401522,19.9826,0.559512,1807
2117.55,0.0342524,0.0476081,23.7009,0.663624,2142
2410.84,0.0390332,0.0543026,27.3026,0.764472,2439
2657.33,0.0428482,0.0593989,28.7602,0.805285,2687
1555.67,0.0252111,0.0350945,17.7711,0.49759,1574
2011.26,0.0325969,0.045392,23.0211,0.644591,2035
2319.43,0.0376164,0.0523992,26.7349,0.748577,2347
2002.54,0.0324367,0.045136,22.75,0.637,2026
2167.57,0.0351198,0.0488667,24.6566,0.690386,2193
1421.17,0.0230478,0.0320964,16.3164,0.456858,1438
1591.13,0.0258027,0.0359411,18.2934,0.512215,1610
1472.64,0.0238675,0.0332339,16.8343,0.47136,1490
1888.82,0.0306084,0.0426,21.5064,0.602179,1911
2836.3,0.0460135,0.0640933,32.6758,0.914922,2870
1638.59,0.0265665,0.0369932,18.8163,0.526855,1658
