S,I,X,R,D,N
1081.38,0.72049,1.26368,28.8249,0.807097,1113
1777.23,1.19261,2.08679,47.1738,1.32087,1829
1459.32,0.96453,1.69695,38.9263,1.08994,1502
1684.83,1.11115,1.95675,44.8507,1.25582,1734
1770.21,1.16771,2.05591,47.2401,1.32272,1822
2926.69,1.96324,3.43363,78.7123,2.20395,3013
2624.6,1.76146,3.08265,69.604,1.94891,2701
1897.66,1.25568,2.20745,50.4598,1.41287,1953
2617.51,1.73817,3.05223,69.7457,1.95288,2694
2079.5,1.39548,2.44242,55.1181,1.54331,2140
1649.72,1.08824,1.91595,44.0382,1.23307,1698
2156.92,1.42272,2.50501,57.5406,1.61114,2220
1897.48,1.25162,2.20369,50.6425,1.41799,1953
2720.46,1.79443,3.15946,72.5549,2.03154,2800
2491.24,1.643,2.89329,66.3621,1.85814,2564
2695.7,1.80842,3.16324,72.3024,2.02447,2775
1695.62,1.11921,1.97061,45.0303,1.26085,1745
1517.85,1.00187,1.76412,40.2617,1.12733,1562
2282.39,1.50522,2.65082,60.7522,1.70106,2349
2565.98,1.69228,2.97991,68.4345,1.91617,2641
1501.14,0.990017,1.7433,40.0098,1.12027,1545
1755.65,1.15809,2.03909,46.838,1.31146,1807
2081.12,1.37275,2.41701,55.5329,1.55492,2142
2369.21,1.58929,2.77973,63.6413,1.78196,2439
2611.36,1.75253,3.06671,68.892,1.92897,2687
1528.95,1.00548,1.77174,41.1209,1.15138,1574
1976.71,1.29994,2.29054,53.2064,1.48978,2035
2279.6,1.49864,2.64067,61.5345,1.72296,2347
1968.12,1.29539,2.28216,52.8212,1.47899,2026
2130.32,1.40215,2.47014,57.203,1.60168,2193
1396.77,0.918266,1.61812,37.6418,1.05397,1438
1563.81,1.028,1.81151,42.1674,1.18069,1610
1447.22,0.970828,1.6976,39.0223,1.09263,1490
1856.37,1.22122,2.15176,49.862,1.39614,1911
2787.6,1.83262,3.22922,75.2313,2.10648,2870
1610.45,1.05885,1.86583,43.4056,1.21536,1658
1257.89,0.827035,1.45737,33.8739,0.948469,1295
1292.85,0.850033,1.49786,34.8256,0.975118,1331
1256.9,0.826339,1.45615,33.8645,0.948206,1294
1287.03,0.846085,1.49091,34.6673,0.970683,1325
1571.61,1.03323,1.82074,42.351,1.18583,1618
1641.62,1.07981,1.9026,44.1622,1.23654,1690
1590.11,1.04578,1.84263,42.8016,1.19844,1637
1367.69,0.899629,1.58516,36.7908,1.03014,1408
1502.73,0.988452,1.74167,40.4057,1.13136,1547
1398.7,0.919528,1.62036,37.7021,1.05566,1440
1297.68,0.853098,1.50329,34.9831,0.979526,1336
1352.09,0.888897,1.5664,36.4346,1.02017,1392
1429.78,0.939972,1.65639,38.5407,1.07914,1472
1534.68,1.00893,1.77788,41.3752,1.1585,1580
1466.82,0.9649,1.70017,39.4157,1.10364,1510
1560.09,1.02634,1.80841,41.9012,1.17323,1606
1947.7,1.30653,2.28519,52.2426,1.46279,2005
1441.64,0.948877,1.6717,38.6567,1.08239,1484
1489.09,0.97916,1.72538,40.0874,1.12245,1533
1557.09,1.02397,1.80429,41.9126,1.17355,1603
1741.55,1.14493,2.01757,46.9697,1.31515,1793
1712.47,1.12582,1.98388,46.1333,1.29173,1763
1639.73,1.07863,1.90055,44.0563,1.23358,1688
2516.75,1.65542,2.91661,67.7813,1.89788,2591
1566.71,1.02999,1.81499,42.2576,1.18321,1613
1732.81,1.13917,2.00737,46.7352,1.30859,1784
1351.1,0.888243,1.56523,36.4236,1.01986,1391
1835.26,1.20941,2.13016,49.03,1.37284,1889
1480.64,0.975721,1.71857,39.5559,1.10756,1524
2319.02,1.52756,2.69077,62.0205,1.73657,2387
2265.54,1.49232,2.62862,60.6383,1.69787,2332
1512.35,0.994285,1.75208,40.7594,1.14126,1557
1440.48,0.947006,1.66877,38.8161,1.08685,1483
1495.82,0.983379,1.73286,40.3327,1.12932,1540
1442.41,0.948247,1.67093,38.8818,1.08869,1485
2487.17,1.65191,2.90535,64.4642,1.805,2558
2649.6,1.77944,3.11673,68.5859,1.9204,2725
2739.03,1.8192,3.19964,70.9606,1.9869,2817
2372.56,1.59349,2.79144,61.3385,1.71748,2440
2696.93,1.81096,3.17164,70.1269,1.96355,2774
1427.33,0.947996,1.66729,37.0143,1.0364,1468
1271.75,0.844662,1.48552,32.9937,0.923824,1308
3379.38,2.26991,3.97713,86.9387,2.43428,3475
2494.04,1.65649,2.91352,64.5852,1.80839,2565
1454.4,0.964564,1.69691,37.8765,1.06054,1496
1806.26,1.19791,2.10738,47.1197,1.31935,1858
2505.33,1.66156,2.92311,65.256,1.82717,2577
1745.47,1.17224,2.05392,45.0472,1.26132,1795
2707.73,1.81851,3.18484,70.2935,1.96822,2785
2405.88,1.61591,2.83119,61.9346,1.73417,2474
2950.31,1.95394,3.43886,77.1406,2.15994,3035
2822.21,1.87172,3.29272,73.5647,2.05981,2903
2741.56,1.84071,3.22317,71.3749,1.9985,2820
2654.52,1.7831,3.12311,68.6507,1.92222,2730
2277.08,1.51237,2.65983,59.0953,1.65467,2342
2644.03,1.77526,3.10812,69.1521,1.93626,2720
1271.59,0.843324,1.48358,33.156,0.928369,1308
1654.65,1.09738,1.9305,43.1163,1.20726,1702
2843.23,1.88253,3.31295,74.4891,2.0857,2925
1691.78,1.12363,1.97609,43.8918,1.22897,1740
2039.71,1.34666,2.37115,54.0621,1.51374,2099
1412.07,0.932784,1.64234,37.3105,1.04469,1453
2366.38,1.56312,2.75217,62.5555,1.75155,2435
3403.98,2.24739,3.95694,90.2862,2.52801,3503
1871.49,1.23549,2.17527,49.7033,1.39169,1926
1689.77,1.11549,1.96401,44.896,1.25709,1739
2514.88,1.66038,2.92349,66.6663,1.86666,2588
1550.82,1.0237,1.80241,41.2007,1.15362,1596
1716.97,1.13327,1.99533,45.6251,1.2775,1767
2065.84,1.36378,2.40118,54.8611,1.53611,2126
2516.79,1.6886,2.95468,66.6979,1.86754,2590
2725.96,1.80066,3.17039,72.056,2.01757,2805
2296.18,1.51585,2.669,60.9256,1.70592,2363
2536.45,1.70231,2.97913,66.9945,1.87585,2610
1733.54,1.14442,2.01499,46.0101,1.28828,1784
1557.78,1.02876,1.81135,41.2286,1.1544,1603
1626.75,1.0744,1.89165,43.0757,1.20612,1674
3353.25,2.25028,3.93667,89.0694,2.49394,3451
2895.92,1.94235,3.39649,77.5654,2.17183,2981
3363.3,2.25737,3.95019,89.0024,2.49207,3461
1831.68,1.20921,2.12906,48.6158,1.36124,1885
1849.98,1.22005,2.14863,49.2745,1.37969,1904
1418.68,0.936519,1.64888,37.6795,1.05503,1460
1696.61,1.12003,1.97204,45.0417,1.26117,1746
2078.53,1.37225,2.41617,55.1401,1.54392,2139
1511.19,1.01412,1.77516,39.9073,1.1174,1555
1536.62,1.01659,1.7892,40.4391,1.1323,1581
2437.59,1.63549,2.86134,65.0938,1.82263,2509
2634.28,1.73902,3.06182,69.957,1.9588,2711
1841.46,1.23589,2.16279,48.7743,1.36568,1895
2036.21,1.36694,2.3925,53.5327,1.49891,2095
1942.99,1.28616,2.26337,51.0364,1.42902,1999
1936.81,1.29974,2.27471,51.1844,1.43316,1993
1466.69,0.970852,1.70844,38.5527,1.07948,1509
2213.91,1.48572,2.60076,58.3679,1.6343,2278
1747.62,1.15685,2.03584,45.8977,1.28514,1798
1670.86,1.10608,1.94654,43.8609,1.2281,1719
1836.88,1.23283,2.15795,48.3699,1.35436,1890
1746.59,1.1555,2.03369,45.9327,1.28612,1797
1629.73,1.09405,1.91465,43.0589,1.20565,1677
2436.76,1.61302,2.83861,63.995,1.79186,2507
1486.2,0.983837,1.73142,38.9902,1.09173,1529
2608.92,1.72713,3.0396,68.3959,1.91509,2684
1679.31,1.12708,1.97248,44.345,1.24166,1728
2066.38,1.38683,2.42768,54.2808,1.51986,2126
2069.15,1.36849,2.40865,54.5447,1.52725,2129
2592.07,1.71434,3.01742,68.2892,1.9121,2667
2737.04,1.83635,3.21238,72.8686,2.04032,2817
2921.62,1.93231,3.40128,76.8888,2.15289,3006
2554.95,1.71486,3.00099,67.4489,1.88857,2629
2490.28,1.64315,2.8931,66.323,1.85705,2563
1978.36,1.30545,2.29878,52.5656,1.47184,2036
2021.04,1.33354,2.34815,53.7749,1.5057,2080
2691.23,1.77992,3.13291,70.8701,1.98436,2769
2297.63,1.5196,2.67482,60.4846,1.69357,2364
2451.34,1.62282,2.85577,64.3796,1.80263,2522
3374.25,2.26447,3.9617,89.9993,2.51998,3473
2509.09,1.68373,2.94658,66.4237,1.85986,2582
2647.51,1.75093,3.082,69.701,1.95163,2724
2632.07,1.76701,3.0934,69.1353,1.93579,2708
2363.3,1.55957,2.74655,62.6428,1.754,2432
2662.98,1.78769,3.12866,70.1443,1.96404,2740
2307.25,1.52595,2.68577,60.8367,1.70343,2374
1675.55,1.10817,1.95051,44.1566,1.23639,1724
1717.33,1.12928,1.98992,46.2568,1.29519,1768
1479.35,0.972747,1.71413,39.8436,1.11562,1523
1569.69,1.03212,1.81873,42.275,1.1837,1616
