x,y,S,I,R,D,X,N
52.9021,-7.36873,2780,0.000293878,2.37758e-05,6.65722e-07,2.24068e-05,2780
52.8238,-7.43167,375,3.00169e-05,2.32593e-06,6.51262e-08,2.19584e-06,375
53.0338,-7.61708,279,2.05552e-05,1.66662e-06,4.66654e-08,1.5702e-06,279
52.8235,-7.05093,345,2.85178e-05,2.24692e-06,6.29138e-08,2.11934e-06,345
52.9001,-7.02902,421,5.65657e-05,4.75253e-06,1.33071e-07,4.4724e-06,421
52.8614,-7.01012,651,7.81168e-05,6.32802e-06,1.77185e-07,5.96399e-06,651
52.8748,-7.29374,826,6.90032e-05,5.38776e-06,1.50857e-07,5.08413e-06,826
52.9796,-7.07323,427,6.99491e-05,5.54532e-06,1.55269e-07,5.23129e-06,427
53.115,-7.17382,1283,0.000521852,5.19869e-05,1.45563e-06,4.86215e-05,1283
52.901,-7.61725,192,1.93405e-05,1.63529e-06,4.57881e-08,1.53847e-06,192
53.048,-7.21354,337,4.31007e-05,3.43723e-06,9.62424e-08,3.24129e-06,337
53.0604,-7.42858,661,5.58444e-05,4.1186e-06,1.15321e-07,3.89608e-06,661
52.9084,-7.08612,166,2.27019e-05,1.7654e-06,4.94311e-08,1.66664e-06,166
52.95,-7.05993,1455,0.000501844,4.82189e-05,1.35013e-06,4.51593e-05,1455
52.9571,-7.30294,1071,0.000149799,1.217e-05,3.4076e-07,1.14693e-05,1071
52.9605,-7.01343,484,5.59366e-05,4.14684e-06,1.16111e-07,3.92188e-06,484
52.9202,-7.26448,306,3.49214e-05,2.98172e-06,8.34882e-08,2.8042e-06,306
53.0692,-7.31726,1686,0.000194001,1.5058e-05,4.21625e-07,1.42147e-05,1686
52.9274,-7.60702,832,4.70121e-05,3.50418e-06,9.81171e-08,3.31291e-06,832
53.0751,-7.48238,321,2.39339e-05,1.86822e-06,5.23101e-08,1.76276e-06,321
52.9655,-7.60157,98,1.52292e-06,6.49738e-08,1.81927e-09,6.31173e-08,98
53.1896,-7.39324,340,5.0617e-05,4.59775e-06,1.28737e-07,4.31481e-06,340
53.058,-7.58836,171,6.98208e-06,4.99549e-07,1.39874e-08,4.72802e-07,171
53.1398,-7.58964,399,1.3989e-05,9.62385e-07,2.69468e-08,9.1262e-07,399
52.9614,-7.5421,775,8.9444e-05,7.52261e-06,2.10633e-07,7.07951e-06,775
52.9263,-7.43057,370,2.5844e-05,1.82233e-06,5.10251e-08,1.72737e-06,370
53.1423,-7.52756,939,4.52426e-05,3.19118e-06,8.93531e-08,3.0236e-06,939
53.0324,-7.35246,1872,0.000524987,5.11294e-05,1.43162e-06,4.78604e-05,1872
53.0041,-7.52151,227,1.41996e-05,9.16941e-07,2.56743e-08,8.72492e-07,227
52.9963,-7.35874,668,8.28046e-05,6.79125e-06,1.90155e-07,6.39699e-06,668
52.8796,-7.68038,211,1.26254e-05,1.0361e-06,2.90107e-08,9.75882e-07,211
52.9647,-7.33925,174,2.03539e-05,1.68062e-06,4.70575e-08,1.58255e-06,174
52.9911,-7.56539,300,2.24313e-05,1.71943e-06,4.81441e-08,1.62376e-06,300
52.9097,-7.47181,332,3.08454e-05,2.4558e-06,6.87624e-08,2.31586e-06,332
52.8116,-7.48861,359,2.41806e-05,1.85448e-06,5.19254e-08,1.75137e-06,359
52.9692,-7.25781,144,1.54442e-05,1.26184e-06,3.53315e-08,1.1886e-06,144
53.015,-7.10408,266,3.07536e-05,2.32507e-06,6.5102e-08,2.19702e-06,266
53.1236,-7.285,1660,0.000482303,4.71393e-05,1.3199e-06,4.41216e-05,1660
52.8732,-7.58209,260,1.32121e-05,1.01639e-06,2.8459e-08,9.59561e-07,260
52.9573,-7.47945,456,5.50253e-05,4.46363e-06,1.24982e-07,4.20652e-06,456
52.8749,-7.12882,771,5.85054e-05,4.3319e-06,1.21293e-07,4.09684e-06,771
52.8712,-7.3903,269,2.07135e-05,1.63591e-06,4.58056e-08,1.54297e-06,269
52.8397,-7.38086,1258,7.0065e-05,5.1889e-06,1.45289e-07,4.90618e-06,1258
52.8961,-7.22978,255,1.87734e-05,1.33001e-06,3.72402e-08,1.26012e-06,255
53.105,-7.1959,1252,0.000201651,1.67041e-05,4.67714e-07,1.57302e-05,1252
52.8435,-7.68628,407,3.58583e-05,2.97128e-06,8.31958e-08,2.79792e-06,407
52.8952,-7.06685,186,2.79577e-05,2.27898e-06,6.38116e-08,2.14739e-06,186
52.9371,-7.19263,167,1.0567e-05,7.11325e-07,1.99171e-08,6.75327e-07,167
53.177,-7.35519,235,1.79642e-05,1.33244e-06,3.73082e-08,1.26009e-06,235
53.1427,-7.33873,183,1.72792e-05,1.41375e-06,3.95851e-08,1.33174e-06,183
52.8419,-6.97658,4786,0.000709075,6.20077e-05,1.73622e-06,5.8263e-05,4786
52.8796,-7.51946,368,2.39066e-05,1.78447e-06,4.99651e-08,1.68717e-06,368
53.1216,-7.11091,465,9.31287e-05,7.42142e-06,2.078e-07,6.9999e-06,465
52.904,-7.57139,134,5.89135e-06,4.12148e-07,1.15401e-08,3.90569e-07,134
53.0103,-7.25249,642,0.000108729,9.41505e-06,2.63621e-07,8.85117e-06,642
52.9157,-7.53065,280,2.3075e-05,1.72186e-06,4.82122e-08,1.62821e-06,280
52.9096,-6.9708,433,4.66984e-05,3.66257e-06,1.02552e-07,3.45559e-06,433
52.8726,-7.45455,349,4.03027e-05,3.42971e-06,9.60318e-08,3.22625e-06,349
53.1539,-7.11267,564,0.000135068,1.09056e-05,3.05356e-07,1.02813e-05,564
53.0604,-7.17283,267,5.30288e-05,4.35594e-06,1.21966e-07,4.10378e-06,267
52.8345,-7.50177,309,2.40096e-05,1.97088e-06,5.51845e-08,1.85628e-06,309
52.9661,-7.684,235,3.84166e-06,1.90727e-07,5.34036e-09,1.83858e-07,235
52.809,-7.64233,291,1.85393e-05,1.45721e-06,4.08018e-08,1.37482e-06,291
53.0522,-7.53769,256,2.39884e-05,1.95168e-06,5.46469e-08,1.83875e-06,256
52.9378,-7.1267,300,3.68826e-05,2.96323e-06,8.29705e-08,2.79323e-06,300
52.9924,-7.61552,138,8.84234e-06,6.46072e-07,1.809e-08,6.11299e-07,138
53.1398,-7.41685,419,4.0548e-05,3.42648e-06,9.59414e-08,3.22371e-06,419
52.9029,-7.66676,150,8.42326e-06,6.52662e-07,1.82745e-08,6.1605e-07,150
52.949,-7.66429,138,1.01306e-05,7.81197e-07,2.18735e-08,7.37648e-07,138
53.1067,-7.33233,974,0.000130517,1.05488e-05,2.95366e-07,9.94332e-06,974
53.117,-7.32885,2994,0.000286544,2.10789e-05,5.9021e-07,1.99442e-05,2994
53.0053,-7.46312,2378,0.000196018,1.49549e-05,4.18738e-07,1.41253e-05,2378
53.0588,-7.12474,380,5.69737e-05,4.67541e-06,1.30911e-07,4.40369e-06,380
53.0098,-7.66282,89,1.99044e-06,1.17999e-07,3.30398e-09,1.12629e-07,89
52.8431,-7.11086,306,2.53752e-05,1.96255e-06,5.49513e-08,1.85261e-06,306
53.0863,-7.37297,492,3.878e-05,2.79713e-06,7.83196e-08,2.64838e-06,492
53.1532,-7.18583,7138,0.00164539,0.000139464,3.90498e-06,0.000131215,7138
53.0309,-7.28792,16105,0.00227376,0.000185182,5.1851e-06,0.000174489,16105
53.0351,-7.29895,3878,0.000539618,4.54337e-05,1.27214e-06,4.27496e-05,3878
52.9547,-7.40072,465,4.56185e-05,3.61266e-06,1.01155e-07,3.40731e-06,465
52.9179,-7.11042,239,2.44325e-05,1.8372e-06,5.14417e-08,1.73649e-06,239
52.8327,-7.56979,1206,8.56373e-05,6.93325e-06,1.94131e-07,6.53315e-06,1206
52.8574,-7.62882,591,3.97378e-05,3.16962e-06,8.87493e-08,2.98857e-06,591
53.1658,-7.44604,286,2.08559e-05,1.64599e-06,4.60877e-08,1.55246e-06,286
53.113,-7.42355,425,3.3648e-05,2.73492e-06,7.65777e-08,2.57638e-06,425
52.8216,-7.00201,455,5.43397e-05,4.53213e-06,1.269e-07,4.26607e-06,455
53.0881,-7.09322,572,9.59054e-05,7.49261e-06,2.09793e-07,7.07248e-06,572
53.0838,-7.26127,922,8.59632e-05,6.1295e-06,1.71626e-07,5.80745e-06,922
52.8827,-6.96883,305,3.71001e-05,2.8869e-06,8.08331e-08,2.72532e-06,305
53.0237,-7.16148,1807,0.000182766,1.39532e-05,3.90691e-07,1.31788e-05,1807
52.9387,-7.00458,368,8.16698e-05,7.05153e-06,1.97443e-07,6.6309e-06,368
52.9591,-7.2143,590,5.93638e-05,4.66951e-06,1.30746e-07,4.40482e-06,590
52.9891,-7.17646,356,5.18088e-05,4.1266e-06,1.15545e-07,3.89244e-06,356
53.1199,-7.49801,165,9.97069e-06,7.31655e-07,2.04863e-08,6.92067e-07,165
53.0005,-7.40943,231,1.85854e-05,1.41402e-06,3.95924e-08,1.33563e-06,231
52.869,-7.06493,362,3.32745e-05,2.6258e-06,7.35224e-08,2.47663e-06,362
53.0502,-7.08179,192,3.56721e-05,2.98484e-06,8.35756e-08,2.80964e-06,192
54.0801,-7.94312,77,9.19018e-07,3.39382e-08,9.5027e-10,3.33819e-08,77
54.3924,-8.30621,223,3.14833e-06,1.96354e-07,5.49791e-09,1.87097e-07,223
53.9697,-7.72713,322,9.94557e-06,7.49036e-07,2.0973e-08,7.077e-07,322
53.9169,-7.97312,225,8.58663e-06,6.7136e-07,1.87981e-08,6.33368e-07,225
54.3622,-8.10568,195,6.41987e-06,5.16948e-07,1.44745e-08,4.87227e-07,195
54.0535,-7.8218,1107,7.38895e-05,6.34917e-06,1.77777e-07,5.97009e-06,1107
54.0867,-8.00547,147,6.46175e-06,5.35545e-07,1.49953e-08,5.04204e-07,147
53.8415,-7.81293,332,1.76362e-05,1.48518e-06,4.15851e-08,1.39737e-06,332
54.2148,-8.19464,239,5.78067e-06,4.37255e-07,1.22432e-08,4.13107e-07,239
53.9696,-7.88872,253,1.72215e-05,1.42062e-06,3.97773e-08,1.33792e-06,253
53.9581,-7.93871,153,1.4952e-05,1.34947e-06,3.77851e-08,1.26673e-06,153
53.9433,-8.0678,4080,0.000210848,1.70404e-05,4.77132e-07,1.6061e-05,4080
53.9668,-7.61868,300,9.4069e-06,6.62991e-07,1.85637e-08,6.2827e-07,300
53.9808,-7.67756,563,2.46647e-05,1.99093e-06,5.57462e-08,1.87617e-06,563
53.8625,-7.87454,170,5.62199e-06,4.38547e-07,1.22793e-08,4.13682e-07,170
54.0362,-7.89539,260,2.43667e-05,2.17596e-06,6.09269e-08,2.04332e-06,260
53.8894,-7.76288,237,1.85339e-05,1.59804e-06,4.47451e-08,1.50247e-06,237
54.273,-8.01239,178,5.88504e-06,5.04966e-07,1.4139e-08,4.7479e-07,178
53.9436,-7.76318,336,9.72773e-06,6.82896e-07,1.91211e-08,6.47161e-07,336
54.2578,-8.20118,285,1.24509e-05,1.0788e-06,3.02063e-08,1.01407e-06,285
