x,y,S,I,R,D,X,N
52.9021,-7.36873,2776.02,1.87333,1.3999,0.0391973,0.667197,2780
52.8238,-7.43167,374.553,0.211312,0.156239,0.0043747,0.07476,375
53.0338,-7.61708,278.636,0.17302,0.126527,0.00354275,0.0609702,279
52.8235,-7.05093,344.509,0.232027,0.171983,0.00481553,0.0823462,345
52.9001,-7.02902,420.341,0.309247,0.233024,0.00652466,0.110635,421
52.8614,-7.01012,650.016,0.462022,0.346864,0.00971218,0.164947,651
52.8748,-7.29374,824.871,0.532951,0.395577,0.0110762,0.189191,826
52.9796,-7.07323,426.256,0.345261,0.266658,0.00746644,0.12508,427
53.115,-7.17382,1280.58,1.11102,0.877643,0.024574,0.406757,1283
52.901,-7.61725,191.763,0.11206,0.0831013,0.00232684,0.0397198,192
53.048,-7.21354,336.47,0.247666,0.188369,0.00527433,0.0890227,337
53.0604,-7.42858,660.014,0.46394,0.346606,0.00970497,0.165335,661
52.9084,-7.08612,165.721,0.129833,0.0992072,0.0027778,0.0467869,166
52.95,-7.05993,1452.36,1.22042,0.951301,0.0266364,0.443724,1455
52.9571,-7.30294,1069.36,0.768519,0.583881,0.0163487,0.275948,1071
52.9605,-7.01343,483.15,0.395811,0.303061,0.0084857,0.142932,484
52.9202,-7.26448,305.571,0.202172,0.150361,0.0042101,0.0718307,306
53.0692,-7.31726,1683.33,1.24823,0.946748,0.0265089,0.448149,1686
52.9274,-7.60702,831.03,0.461779,0.336128,0.00941158,0.16223,832
53.0751,-7.48238,320.549,0.213702,0.157434,0.00440814,0.0756258,321
52.9655,-7.60157,97.8799,0.0578878,0.0409712,0.00114719,0.0200881,98
53.1896,-7.39324,339.533,0.221214,0.16339,0.00457493,0.0782474,340
53.058,-7.58836,170.777,0.106653,0.076927,0.00215396,0.0373562,171
53.1398,-7.58964,398.527,0.227491,0.161578,0.00452417,0.07897,399
52.9614,-7.5421,773.921,0.509639,0.378258,0.0105912,0.180818,775
52.9263,-7.43057,369.485,0.243681,0.180355,0.00504993,0.0864134,370
53.1423,-7.52756,937.81,0.568561,0.410573,0.011496,0.199048,939
53.0324,-7.35246,1869,1.39766,1.07153,0.0300027,0.503824,1872
53.0041,-7.52151,226.677,0.152349,0.113646,0.00318209,0.0542482,227
52.9963,-7.35874,666.998,0.469459,0.3543,0.00992041,0.168051,668
52.8796,-7.68038,210.783,0.10428,0.0744457,0.00208448,0.0362376,211
52.9647,-7.33925,173.745,0.119525,0.0899138,0.00251759,0.0427172,174
52.9911,-7.56539,299.598,0.190387,0.140423,0.00393185,0.0673749,300
52.9097,-7.47181,331.561,0.207265,0.154173,0.00431683,0.0736178,332
52.8116,-7.48861,358.597,0.191563,0.140406,0.00393138,0.0674727,359
52.9692,-7.25781,143.788,0.0998095,0.0749036,0.0020973,0.0356413,144
53.015,-7.10408,265.547,0.210792,0.161427,0.00451997,0.0761077,266
53.1236,-7.285,1657.32,1.2517,0.953724,0.0267043,0.449696,1660
52.8732,-7.58209,259.714,0.13691,0.0985566,0.00275958,0.0478185,260
52.9573,-7.47945,455.341,0.309521,0.232709,0.00651586,0.110519,456
52.8749,-7.12882,769.911,0.514237,0.381442,0.0106804,0.182551,771
52.8712,-7.3903,268.655,0.163177,0.120465,0.00337301,0.0577546,269
52.8397,-7.38086,1256.45,0.735638,0.537241,0.0150427,0.258987,1258
52.8961,-7.22978,254.635,0.171758,0.128418,0.00359571,0.0612204,255
53.105,-7.1959,1249.91,0.970855,0.743229,0.0208104,0.350153,1252
52.8435,-7.68628,406.567,0.205204,0.150888,0.00422487,0.0723387,407
52.8952,-7.06685,185.699,0.140491,0.107347,0.00300573,0.0506021,186
52.9371,-7.19263,166.744,0.120563,0.0899634,0.00251898,0.0429734,167
53.177,-7.35519,234.671,0.155925,0.115085,0.00322238,0.0551932,235
53.1427,-7.33873,182.751,0.117971,0.0866951,0.00242746,0.0416414,183
52.8419,-6.97658,4778.66,3.44219,2.59407,0.0726338,1.23115,4786
52.8796,-7.51946,367.554,0.211675,0.155217,0.00434607,0.0746413,368
53.1216,-7.11091,464.119,0.405089,0.319034,0.00893294,0.148264,465
52.904,-7.57139,133.842,0.0755284,0.0548827,0.00153672,0.0265269,134
53.0103,-7.25249,641.013,0.460716,0.350592,0.00981657,0.165538,642
52.9157,-7.53065,279.633,0.172997,0.12862,0.00360137,0.0614211,280
52.9096,-6.9708,432.314,0.321602,0.242815,0.00679881,0.115233,433
52.8726,-7.45455,348.549,0.213324,0.158121,0.00442739,0.0755818,349
53.1539,-7.11267,562.897,0.504238,0.401563,0.0112438,0.185503,564
53.0604,-7.17283,266.545,0.210294,0.163405,0.00457534,0.0763385,267
52.8345,-7.50177,308.652,0.165677,0.121145,0.00339205,0.0582855,309
52.9661,-7.684,234.783,0.105047,0.0735582,0.00205963,0.0361777,235
52.809,-7.64233,290.701,0.142396,0.103964,0.00291098,0.0500435,291
53.0522,-7.53769,255.639,0.170523,0.126193,0.00353342,0.0604513,256
52.9378,-7.1267,299.506,0.231088,0.175136,0.0049038,0.0829686,300
