S,I,X,R,D,N
816.074,20.7604,20.8953,248.318,6.95289,1113
1340.98,34.1229,34.3486,408.117,11.4273,1829
1101.34,28.0153,28.1964,335.065,9.38182,1502
1271.47,32.3467,32.5574,386.796,10.8303,1734
1336.01,33.9841,34.203,406.423,11.3799,1822
2209.13,56.1744,56.529,672.336,18.8254,3013
1980.34,50.3963,50.7289,602.664,16.8746,2701
1432.02,36.4341,36.6716,435.672,12.1988,1953
1975.33,50.2508,50.577,601.016,16.8284,2694
1569.01,39.9282,40.1929,477.501,13.37,2140
1245.06,31.6702,31.8749,378.789,10.6061,1698
1627.82,41.4075,41.6762,495.234,13.8665,2220
1432.04,36.4271,36.6618,435.671,12.1988,1953
2053.12,52.2263,52.563,624.604,17.4889,2800
1880.08,47.8293,48.1391,571.939,16.0143,2564
2034.6,51.7461,52.0766,619.238,17.3387,2775
1279.53,32.5551,32.7676,389.252,10.899,1745
1145.34,29.1433,29.3345,348.43,9.75605,1562
1722.42,43.8184,44.1031,523.984,14.6715,2349
1936.53,49.2613,49.5792,589.129,16.4956,2641
1132.88,28.8187,29.0056,344.649,9.65016,1545
1324.97,33.7048,33.9227,403.112,11.2871,1807
1570.63,39.952,40.2093,477.825,13.3791,2142
1788.26,45.4758,45.7633,544.259,15.2392,2439
1970.05,50.1468,50.4837,599.531,16.7869,2687
1154.2,29.3468,29.5307,351.097,9.8307,1574
1492.22,37.9394,38.1767,453.951,12.7106,2035
1721.03,43.7507,44.0223,523.538,14.6591,2347
1485.63,37.7786,38.0169,451.921,12.6538,2026
1608.09,40.8919,41.1493,489.176,13.6969,2193
1054.46,26.8077,26.9748,320.773,8.98165,1438
1180.59,30.0127,30.1995,359.141,10.0559,1610
1092.49,27.7757,27.9497,332.479,9.3094,1490
1401.31,35.6317,35.855,426.268,11.9355,1911
2104.49,53.499,53.8315,640.248,17.9269,2870
1215.79,30.9088,31.1017,369.843,10.3556,1658
949.608,24.1434,24.294,288.866,8.08826,1295
976.001,24.8139,24.9688,296.903,8.31328,1331
948.882,24.1242,24.2744,288.638,8.08186,1294
971.598,24.7011,24.8551,295.57,8.27597,1325
1186.45,30.1634,30.3514,360.925,10.1059,1618
1239.24,31.5078,31.7064,376.989,10.5557,1690
1200.4,30.52,30.7103,365.143,10.224,1637
1032.47,26.2518,26.4159,314.072,8.79401,1408
1134.4,28.844,29.0247,345.071,9.66199,1547
1055.93,26.8444,27.0117,321.222,8.99422,1440
979.668,24.9063,25.061,298.02,8.34455,1336
1020.72,25.951,26.1128,310.522,8.69463,1392
1079.38,27.442,27.6124,328.366,9.19426,1472
1158.57,29.4547,29.6382,352.47,9.86917,1580
1107.25,28.1539,28.3305,336.831,9.43127,1510
1177.64,29.9457,30.1338,358.246,10.0309,1606
1470.08,37.3869,37.6243,447.379,12.5266,2005
1088.19,27.6736,27.8492,331.019,9.26852,1484
1124.13,28.5811,28.759,341.959,9.57485,1533
1175.44,29.8858,30.0724,357.585,10.0124,1603
1314.77,33.425,33.6332,399.968,11.1991,1793
1292.77,32.8661,33.0705,393.277,11.0118,1763
1237.78,31.4722,31.6703,376.531,10.5429,1688
1899.94,48.3056,48.6065,577.961,16.1829,2591
1182.77,30.0694,30.2569,359.831,10.0753,1613
1308.17,33.257,33.4637,397.965,11.143,1784
1019.98,25.9316,26.0937,310.303,8.68848,1391
1385.16,35.2326,35.4577,421.35,11.7978,1889
1117.5,28.4239,28.6053,339.953,9.51869,1524
1750.32,44.5174,44.8009,532.457,14.9088,2387
1710,43.4892,43.7647,520.181,14.5651,2332
1141.73,29.0266,29.2072,347.315,9.72482,1557
