S,I,X,R,D,N
751.713,13.6988,16.5173,322.053,9.01749,1113
1235.21,22.5117,27.1464,529.309,14.8206,1829
1014.49,18.487,22.29,434.569,12.1679,1502
1171.19,21.3435,25.7353,501.683,14.0471,1734
1230.65,22.426,27.0391,527.127,14.7596,1822
2034.95,37.0776,44.6995,871.865,24.4122,3013
1824.13,33.2454,40.0908,781.648,21.8861,2701
1319.08,24.039,28.9861,565.073,15.8221,1953
1819.54,33.1584,39.9806,779.494,21.8258,2694
1445.25,26.3399,31.7638,619.309,17.3407,2140
1146.87,20.8991,25.1981,491.275,13.7557,1698
1499.44,27.3245,32.9456,642.305,17.9846,2220
1319.11,24.0377,28.9826,565.051,15.8214,1953
1891.2,34.4634,41.5534,810.101,22.6828,2800
1731.8,31.5594,38.0531,741.814,20.7708,2564
1874.16,34.1499,41.1727,803.03,22.4849,2775
1178.61,21.4795,25.9002,504.877,14.1365,1745
1055,19.2271,23.185,451.936,12.6542,1562
1586.58,28.9131,34.8621,679.614,19.0292,2349
1783.81,32.5065,39.1938,764.094,21.3946,2641
1043.53,19.0165,22.929,447.006,12.5162,1545
1220.48,22.2409,26.8163,522.822,14.639,1807
1446.77,26.3643,31.7877,619.727,17.3523,2142
1647.26,30.0144,36.1852,705.783,19.7619,2439
1814.64,33.075,39.8892,777.623,21.7735,2687
1063.19,19.3716,23.3527,455.335,12.7494,1574
1374.57,25.0445,30.1908,588.711,16.4839,2035
1585.34,28.8837,34.8171,678.944,19.0104,2347
1368.48,24.9354,30.0614,586.108,16.411,2026
1481.28,26.9908,32.5389,634.422,17.7638,2193
971.325,17.6972,21.3334,415.996,11.6479,1438
1087.51,19.8137,23.8841,465.748,13.0409,1610
1006.35,18.3355,22.103,431.138,12.0719,1490
1290.82,23.5198,28.3538,552.831,15.4793,1911
1938.58,35.3189,42.5747,830.281,23.2479,2870
1119.94,20.4049,24.5972,479.633,13.4297,1658
874.736,15.9377,19.2126,374.624,10.4895,1295
899.049,16.3805,19.7463,385.043,10.7812,1331
874.069,15.9252,19.1974,374.327,10.4812,1294
894.994,16.3064,19.6569,383.31,10.7327,1325
1092.91,19.9125,24.0037,468.067,13.1059,1618
1141.53,20.7989,25.0732,488.907,13.6894,1690
1105.76,20.147,24.2867,473.55,13.2594,1637
951.059,17.3287,20.89,407.318,11.4049,1408
1044.95,19.0398,22.9527,447.524,12.5307,1547
972.676,17.7217,21.3627,416.575,11.6641,1440
902.43,16.4418,19.8199,386.487,10.8216,1336
940.242,17.131,20.6511,402.701,11.2756,1392
994.283,18.1156,21.8376,425.84,11.9235,1472
1067.22,19.4445,23.4395,457.094,12.7986,1580
1019.95,18.584,22.4033,436.832,12.2313,1510
