S,I,X,R,D,N
1095.53,0.156337,0.100579,16.7472,0.468921,1113
1800.54,0.257125,0.165452,27.2696,0.763548,1829
1478.35,0.210914,0.135694,22.6694,0.634744,1502
1706.8,0.243565,0.156703,26.0677,0.729894,1734
1793.28,0.255808,0.164582,27.5259,0.770726,1822
2965.05,0.422549,0.271832,45.967,1.28708,3013
2659.09,0.379858,0.244412,40.1627,1.12456,2701
1922.42,0.2744,0.176544,29.3096,0.820668,1953
2651.71,0.3784,0.243461,40.5376,1.13505,2694
2106.78,0.300953,0.19364,31.8349,0.891377,2140
1671.23,0.238384,0.153374,25.655,0.718339,1698
2185.05,0.311747,0.20057,33.5033,0.938091,2220
1922.22,0.274212,0.176428,29.5042,0.826118,1953
2755.93,0.393154,0.252944,42.2414,1.18276,2800
2523.74,0.36014,0.231706,38.5834,1.08034,2564
2731.05,0.389398,0.250521,42.1302,1.17965,2775
1717.73,0.24522,0.157767,26.1388,0.731887,1745
1537.66,0.219558,0.14126,23.3302,0.653245,1562
2312.15,0.329946,0.212294,35.3185,0.988919,2349
2599.43,0.370851,0.238597,39.8441,1.11563,2641
1520.7,0.216944,0.139597,23.2888,0.652087,1545
1778.55,0.253758,0.163267,27.2679,0.763502,1807
2108.25,0.300757,0.193504,32.3453,0.905668,2142
2400.22,0.342057,0.220095,37.1761,1.04093,2439
2645.64,0.378255,0.243365,39.6335,1.10974,2687
1548.84,0.220617,0.141945,24.1229,0.675441,1574
2002.41,0.285177,0.183477,31.246,0.874889,2035
2309.32,0.328727,0.211512,36.13,1.01164,2347
1993.76,0.284088,0.182781,30.9053,0.865348,2026
2158.1,0.30751,0.197844,33.4606,0.936897,2193
1414.94,0.201481,0.129621,22.1099,0.619077,1438
1584.16,0.225542,0.145116,24.78,0.693841,1610
1466.17,0.208814,0.134357,22.8496,0.639789,1490
1880.5,0.267895,0.172356,29.2438,0.818826,1911
2823.87,0.402062,0.258665,44.2333,1.23853,2870
1631.42,0.232311,0.149456,25.4893,0.7137,1658
1274.26,0.181474,0.116757,19.8892,0.556898,1295
1309.67,0.18652,0.120003,20.449,0.572571,1331
1273.26,0.181331,0.116656,19.8829,0.55672,1294
1303.75,0.185653,0.119446,20.373,0.570444,1325
1592.06,0.226712,0.145868,24.8666,0.696266,1618
1662.99,0.236856,0.152415,25.8929,0.725002,1690
1610.8,0.229405,0.147598,25.1228,0.70344,1637
1385.5,0.197365,0.126978,21.5685,0.603919,1408
1522.28,0.216862,0.139526,23.6986,0.663561,1547
1416.9,0.201766,0.12981,22.1491,0.620176,1440
1314.57,0.187197,0.120435,20.5471,0.575319,1336
1369.69,0.195056,0.125498,21.3887,0.598883,1392
1448.38,0.206234,0.132692,22.6428,0.633998,1472
1554.64,0.221371,0.142421,24.3157,0.68084,1580
1485.89,0.211679,0.136183,23.1169,0.647272,1510
1580.39,0.225107,0.144855,24.555,0.68754,1606
1973.21,0.281299,0.180983,30.4765,0.853342,2005
1460.42,0.208128,0.133908,22.6024,0.632866,1484
1508.46,0.214844,0.138219,23.532,0.658896,1533
1577.34,0.224674,0.144542,24.6061,0.688972,1603
1764.23,0.25123,0.16163,27.588,0.772464,1793
