x,y,S,I,R,D,X,N
52.9021,-7.36873,690.322,0.251108,2030.12,56.8434,2.46066,2780
52.8238,-7.43167,93.1105,0.0369359,273.826,7.66713,0.359242,375
53.0338,-7.61708,69.2786,0.0260619,203.736,5.70461,0.254444,279
52.8235,-7.05093,85.6639,0.0307255,251.948,7.05455,0.302665,345
52.9001,-7.02902,104.538,0.0360371,307.46,8.60888,0.356547,421
52.8614,-7.01012,161.65,0.0567524,475.422,13.3118,0.560158,651
52.8748,-7.29374,205.106,0.0760884,603.184,16.8892,0.744562,826
52.9796,-7.07323,106.046,0.0359751,311.831,8.73128,0.354939,427
53.115,-7.17382,318.668,0.106682,936.94,26.2343,1.05082,1283
52.901,-7.61725,47.6756,0.0187698,140.198,3.92554,0.182287,192
53.048,-7.21354,83.6932,0.0297709,246.095,6.89065,0.29185,337
53.0604,-7.42858,164.141,0.0584961,482.71,13.5159,0.574437,661
52.9084,-7.08612,41.2236,0.0140291,121.229,3.39442,0.138555,166
52.95,-7.05993,361.355,0.120347,1062.58,29.7523,1.18995,1455
52.9571,-7.30294,265.972,0.0953456,782.1,21.8988,0.934348,1071
52.9605,-7.01343,120.2,0.0402416,353.465,9.89702,0.397888,484
52.9202,-7.26448,75.9841,0.0278369,223.459,6.25684,0.272664,306
53.0692,-7.31726,418.688,0.146559,1231.25,34.475,1.44166,1686
52.9274,-7.60702,206.582,0.0821489,607.527,17.0108,0.797285,832
53.0751,-7.48238,79.7105,0.0290343,234.413,6.56355,0.284315,321
52.9655,-7.60157,24.3296,0.00896973,71.5693,2.00394,0.088204,98
53.1896,-7.39324,84.4156,0.0303115,248.303,6.95247,0.299092,340
53.058,-7.58836,42.4569,0.0155617,124.878,3.49659,0.152777,171
53.1398,-7.58964,99.0515,0.0369047,291.389,8.1589,0.363339,399
52.9614,-7.5421,192.437,0.0701533,565.958,15.8468,0.688107,775
52.9263,-7.43057,91.8781,0.0337706,270.192,7.56538,0.330411,370
53.1423,-7.52756,233.126,0.0858383,685.743,19.2008,0.844649,939
53.0324,-7.35246,464.904,0.164069,1367.04,38.2772,1.61011,1872
53.0041,-7.52151,56.3712,0.0207469,165.764,4.64139,0.202794,227
52.9963,-7.35874,165.888,0.059873,487.807,13.6586,0.586601,668
52.8796,-7.68038,52.3804,0.021353,154.077,4.31414,0.20751,211
52.9647,-7.33925,43.2079,0.0156378,127.065,3.55782,0.153623,174
52.9911,-7.56539,74.4936,0.0278142,219.073,6.13404,0.271819,300
52.9097,-7.47181,82.4427,0.0314296,242.432,6.78809,0.305878,332
52.8116,-7.48861,89.1333,0.0360702,262.14,7.33993,0.350275,359
52.9692,-7.25781,35.7606,0.0129993,105.155,2.94434,0.127181,144
53.015,-7.10408,66.0605,0.0225709,194.255,5.43915,0.222421,266
53.1236,-7.285,412.217,0.141749,1212.3,33.9443,1.39872,1660
52.8732,-7.58209,64.5498,0.0258394,189.857,5.316,0.251176,260
52.9573,-7.47945,113.236,0.0412635,332.995,9.32386,0.404161,456
52.8749,-7.12882,191.442,0.0691909,563.043,15.7652,0.680252,771
52.8712,-7.3903,66.7947,0.0255852,196.43,5.50004,0.249535,269
52.8397,-7.38086,312.342,0.119704,918.646,25.7221,1.1697,1258
52.8961,-7.22978,63.3211,0.0230823,186.215,5.21403,0.226308,255
53.105,-7.1959,310.931,0.107421,914.304,25.6005,1.05664,1252
52.8435,-7.68628,101.055,0.0427108,297.17,8.32075,0.411872,407
52.8952,-7.06685,46.1894,0.0159904,135.834,3.80334,0.157763,186
52.9371,-7.19263,41.4687,0.0144752,121.959,3.41486,0.142628,167
53.177,-7.35519,58.3486,0.0208883,171.619,4.80534,0.205895,235
53.1427,-7.33873,45.4396,0.016609,133.639,3.74189,0.162777,183
52.8419,-6.97658,1188.4,0.414442,3495.22,97.8661,4.09575,4786
52.8796,-7.51946,91.3765,0.0359304,268.715,7.52401,0.349012,368
53.1216,-7.11091,115.499,0.0387233,339.573,9.50805,0.381132,465
52.904,-7.57139,33.2714,0.0130912,97.8484,2.73976,0.127277,134
53.0103,-7.25249,159.438,0.057424,468.816,13.1268,0.562483,642
52.9157,-7.53065,69.5262,0.0264198,204.465,5.72501,0.257592,280
52.9096,-6.9708,107.522,0.037148,316.219,8.85414,0.367096,433
52.8726,-7.45455,86.6573,0.0328992,254.853,7.13588,0.321096,349
53.1539,-7.11267,140.093,0.0466796,411.869,11.5323,0.459594,564
53.0604,-7.17283,66.3121,0.0230165,194.98,5.45943,0.225957,267
52.8345,-7.50177,76.7178,0.0308208,225.634,6.31775,0.299543,309
52.9661,-7.684,58.3352,0.0247951,171.595,4.80467,0.240071,235
52.809,-7.64233,72.2541,0.0310408,212.467,5.94908,0.298524,291
53.0522,-7.53769,63.5669,0.0230203,186.95,5.23459,0.225967,256
52.9378,-7.1267,74.4974,0.0253171,219.092,6.13458,0.250375,300
52.9924,-7.61552,34.2659,0.0126725,100.776,2.82172,0.124073,138
53.1398,-7.41685,104.032,0.0375597,305.993,8.56781,0.369926,419
52.9029,-7.66676,37.2449,0.0152698,109.526,3.06671,0.147612,150
52.949,-7.66429,34.266,0.0143291,100.76,2.82128,0.138274,138
53.1067,-7.33233,241.869,0.0849491,711.293,19.9162,0.836269,974
53.117,-7.32885,743.468,0.259112,2186.5,61.2219,2.55385,2994
53.0053,-7.46312,590.491,0.212278,1736.59,48.6245,2.08375,2378
53.0588,-7.12474,94.3745,0.0322858,277.505,7.77015,0.317827,380
53.0098,-7.66282,22.097,0.00904307,64.9866,1.81963,0.0876373,89
52.8431,-7.11086,75.9788,0.0275202,223.466,6.25704,0.270932,306
53.0863,-7.37297,122.171,0.0432599,359.3,10.0604,0.425543,492
53.1532,-7.18583,1772.9,0.591005,5212.72,145.956,5.82595,7138
53.0309,-7.28792,3999.53,1.40587,11761,329.307,13.8098,16105
53.0351,-7.29895,963.05,0.339394,2831.98,79.2955,3.33403,3878
52.9547,-7.40072,115.476,0.0424392,339.56,9.50767,0.41459,465
52.9179,-7.11042,59.3561,0.0210735,174.529,4.88682,0.206557,239
52.8327,-7.56979,299.44,0.120021,880.618,24.6573,1.16419,1206
52.8574,-7.62882,146.74,0.0593546,431.543,12.0832,0.575203,591
53.1658,-7.44604,71.0093,0.0256714,208.864,5.84819,0.252773,286
53.113,-7.42355,105.522,0.0374308,310.38,8.69065,0.369237,425
52.8216,-7.00201,112.979,0.0399653,332.283,9.30393,0.394449,455
53.0881,-7.09322,142.071,0.0478597,417.714,11.696,0.471107,572
53.0838,-7.26127,228.968,0.0809829,673.303,18.8525,0.795134,922
52.8827,-6.96883,75.737,0.0262234,222.741,6.23675,0.25908,305
53.0237,-7.16148,448.74,0.155456,1319.62,36.9495,1.53063,1807
52.9387,-7.00458,91.3908,0.0307247,268.75,7.52499,0.303794,368
52.9591,-7.2143,146.518,0.0519049,430.857,12.064,0.509566,590
52.9891,-7.17646,88.4108,0.0310084,259.974,7.27928,0.304495,356
53.1199,-7.49801,40.9716,0.015273,120.49,3.37372,0.149324,165
53.0005,-7.40943,57.3597,0.0204428,168.695,4.72347,0.200987,231
52.869,-7.06493,89.8854,0.0314378,264.37,7.40236,0.310666,362
53.0502,-7.08179,47.6852,0.0162613,140.213,3.92595,0.160064,192
54.0801,-7.94312,19.1057,0.00861245,56.2271,1.57436,0.0842549,77
54.3924,-8.30621,55.3169,0.0300373,162.806,4.55858,0.288097,223
53.9697,-7.72713,79.8974,0.0335775,235.153,6.5843,0.331331,322
53.9169,-7.97312,55.8337,0.0245427,164.301,4.60043,0.240296,225
54.3622,-8.10568,48.3772,0.0247797,142.372,3.98642,0.239249,195
54.0535,-7.8218,274.688,0.113863,808.436,22.6362,1.12563,1107
54.0867,-8.00547,36.4743,0.0167367,107.34,3.00552,0.163319,147
53.8415,-7.81293,82.3837,0.0335953,242.461,6.78892,0.332269,332
54.2148,-8.19464,59.289,0.0298566,174.506,4.88616,0.289347,239
53.9696,-7.88872,62.7872,0.0269788,184.749,5.17296,0.264388,253
53.9581,-7.93871,37.9687,0.0161346,111.728,3.12839,0.158553,153
53.9433,-8.0678,1012.42,0.45137,2979.29,83.4202,4.41458,4080
53.9668,-7.61868,74.4387,0.0288687,219.109,6.13505,0.288275,300
53.9808,-7.67756,139.695,0.0544487,411.193,11.5134,0.54341,563
53.8625,-7.87454,42.1843,0.0179248,124.145,3.47607,0.176253,170
54.0362,-7.89539,64.5216,0.0274259,189.865,5.31623,0.269534,260
53.8894,-7.76288,58.8148,0.0235338,173.082,4.84631,0.232989,237
