S,I,X,R,D,N
1100.16,0.0403362,0.0299863,12.425,0.347899,1113
1808.15,0.066305,0.0492799,20.1691,0.564735,1829
1484.6,0.0544277,0.040466,16.836,0.471409,1502
1714,0.0628411,0.0467177,19.3513,0.541835,1734
1800.86,0.0660215,0.0490865,20.4549,0.572737,1822
2977.54,0.109123,0.0811597,34.3097,0.960671,3013
2670.29,0.0979181,0.0727731,29.711,0.831908,2701
1930.54,0.0707857,0.052619,21.7249,0.608298,1953
2662.91,0.0976329,0.0725813,30.0813,0.842276,2694
2115.7,0.077582,0.0576599,23.5107,0.658299,2140
1678.28,0.061528,0.0457454,19.0771,0.534157,1698
2194.26,0.0804446,0.0598093,24.9026,0.697272,2220
1930.33,0.0707692,0.0526156,21.9317,0.614086,1953
2767.55,0.101464,0.0754352,31.3906,0.878936,2800
2534.38,0.0929179,0.0690786,28.6601,0.802482,2564
2742.56,0.100533,0.0747551,31.3876,0.878853,2775
1724.99,0.0632478,0.0470151,19.3571,0.542,1745
1544.14,0.0566186,0.042085,17.2767,0.483748,1562
2321.91,0.0851297,0.0632866,26.2092,0.733858,2349
2610.4,0.0957022,0.0711518,29.6064,0.828979,2641
1527.12,0.0559888,0.0416255,17.2944,0.484244,1545
1786.05,0.0654814,0.0486828,20.2703,0.567569,1807
2117.15,0.0776174,0.0577074,24.042,0.673175,2142
2410.38,0.0883424,0.0657002,27.6911,0.775351,2439
2656.83,0.0974446,0.0724015,29.1875,0.81725,2687
1555.37,0.0570002,0.0423986,18.0219,0.504614,1574
2010.87,0.0736883,0.0548156,23.3454,0.653672,2035
2318.98,0.0849739,0.0632168,27.1091,0.759054,2347
2002.15,0.0733848,0.0545792,23.0728,0.64604,2026
2167.16,0.0794299,0.0590775,25.0061,0.700171,2193
1420.9,0.0520675,0.038735,16.5456,0.463277,1438
1590.83,0.0582938,0.0433672,18.5501,0.519402,1610
1472.36,0.0539572,0.0401371,17.0718,0.478009,1490
1888.46,0.0692096,0.0514801,21.8109,0.610706,1911
2835.76,0.103913,0.077307,33.1334,0.927734,2870
1638.28,0.0600335,0.0446599,19.0806,0.534255,1658
1279.63,0.0468921,0.0348834,14.8731,0.416447,1295
1315.19,0.048195,0.0358522,15.2972,0.428322,1331
1278.62,0.0468548,0.0348558,14.8795,0.416626,1294
1309.26,0.0479766,0.0356907,15.2289,0.426409,1325
1598.76,0.0585858,0.0435826,18.6128,0.521159,1618
1669.99,0.0612016,0.0455254,19.3587,0.542044,1690
1617.59,0.0592789,0.0440973,18.7805,0.525855,1637
1391.33,0.0509894,0.0379293,16.1256,0.451517,1408
1528.71,0.0560228,0.0416742,17.7005,0.495615,1547
1422.87,0.0521409,0.0387896,16.5764,0.464141,1440
1320.1,0.0483739,0.0359878,15.3838,0.430746,1336
1375.45,0.050404,0.0374963,16.0121,0.448338,1392
1454.49,0.0532999,0.0396511,16.9449,0.474458,1472
1561.2,0.057209,0.0425603,18.1957,0.509478,1580
1492.17,0.0546866,0.0406769,17.2516,0.483046,1510
1587.06,0.0581663,0.043263,18.3268,0.51315,1606
1981.56,0.0726404,0.0540177,22.6831,0.635127,2005
1466.57,0.0537587,0.0399795,16.8651,0.472223,1484
1514.82,0.0555099,0.0412935,17.5931,0.492608,1533
1583.99,0.0580473,0.0431798,18.3907,0.514941,1603
1771.64,0.0649218,0.048298,20.6654,0.578632,1793
1742.05,0.0638378,0.047492,20.2687,0.567524,1763
1668.07,0.0611322,0.0454737,19.2794,0.539822,1688
2560.24,0.0938229,0.0697954,29.7629,0.833362,2591
1593.78,0.0584029,0.0434485,18.5948,0.520653,1613
1762.75,0.0645951,0.0480554,20.5642,0.575799,1784
1374.45,0.0503659,0.0374692,16.0162,0.448454,1391
1867.02,0.0684487,0.0508958,21.2695,0.595546,1889
1506.26,0.0552219,0.041062,17.1596,0.480468,1524
2359.14,0.0864867,0.0643121,26.9508,0.754623,2387
2304.73,0.084488,0.0628283,26.381,0.738669,2332
1538.48,0.0563771,0.0419404,17.9167,0.501667,1557
1465.37,0.0536983,0.0399481,17.0593,0.477659,1483
1521.67,0.0557602,0.0414822,17.7404,0.496733,1540
1467.33,0.0537695,0.0400026,17.0971,0.478719,1485
2530.44,0.0928597,0.0689439,26.6509,0.746225,2558
2695.84,0.0989297,0.073441,28.2008,0.789623,2725
2786.69,0.102265,0.0759256,29.3156,0.820836,2817
2413.97,0.0886021,0.0657709,25.1691,0.704736,2440
2743.97,0.100687,0.0747612,29.0442,0.813239,2774
1452.16,0.0532912,0.0395673,15.3149,0.428816,1468
1293.87,0.0474815,0.0352547,13.6607,0.382501,1308
3438.4,0.126212,0.0936667,35.39,0.99092,3475
2537.43,0.0931179,0.0691348,26.6631,0.746568,2565
1479.68,0.0542951,0.0403221,15.7847,0.441971,1496
1837.65,0.0674259,0.0500782,19.686,0.551207,1858
2548.87,0.0935223,0.0694545,27.2009,0.761625,2577
1775.94,0.0651855,0.0483843,18.4312,0.516075,1795
2754.97,0.101107,0.075068,29.0358,0.813003,2785
2447.9,0.089845,0.0666774,25.2387,0.706684,2474
3001.55,0.11012,0.0817995,32.3558,0.905961,3035
2871.26,0.105347,0.0782385,30.6999,0.859597,2903
2789.37,0.102362,0.0760131,29.6223,0.829425,2820
2700.85,0.0991209,0.0735804,28.1853,0.789188,2730
2316.69,0.0850137,0.0631227,24.4793,0.68542,2342
2690.11,0.098706,0.0733157,28.9041,0.809316,2720
1293.69,0.0474671,0.0352532,13.8428,0.387599,1308
1683.4,0.0617674,0.0458721,17.985,0.503579,1702
2892.59,0.106116,0.0788335,31.3464,0.877699,2925
1721.21,0.063163,0.0468972,18.1742,0.508878,1740
2075.05,0.0760899,0.0565584,23.1689,0.64873,2099
1436.55,0.05268,0.0391519,15.9144,0.445604,1453
2407.4,0.088283,0.0656118,26.7014,0.747639,2435
3462.96,0.126979,0.0943859,38.7357,1.0846,3503
1903.92,0.0698107,0.0518941,21.3647,0.598212,1926
1719.04,0.0630315,0.0468554,19.31,0.540679,1739
2558.46,0.0938169,0.0697344,28.5772,0.800161,2588
1577.68,0.0578487,0.0430025,17.7194,0.496142,1596
1746.71,0.0640458,0.0476089,19.6298,0.549635,1767
2101.63,0.0770613,0.0572825,23.5784,0.660195,2126
2560.58,0.0938989,0.0697878,28.4549,0.796738,2590
2773.21,0.101697,0.0755811,30.7529,0.86108,2805
2335.97,0.0856562,0.063671,26.1527,0.732275,2363
2580.61,0.0946421,0.0703296,28.432,0.796096,2610
1763.58,0.0646663,0.0480688,19.7584,0.553235,1784
1584.77,0.0581131,0.0431936,17.6302,0.493644,1603
1654.95,0.060686,0.0451055,18.4325,0.51611,1674
3411.59,0.125102,0.0929854,38.1231,1.06745,3451
2946.25,0.108005,0.0803069,33.6227,0.941435,2981
3421.84,0.125486,0.0932547,37.8769,1.06055,3461
1863.42,0.0683261,0.0507892,20.8781,0.584588,1885
1882.01,0.0690005,0.0512969,21.2764,0.595741,1904
1443.25,0.0529179,0.0393368,16.1992,0.453578,1460
1726,0.0632866,0.0470443,19.3501,0.541802,1746
2114.54,0.0775362,0.0576341,23.6614,0.66252,2139
1537.5,0.0563881,0.0419003,16.9284,0.473995,1555
1563.28,0.0573378,0.0426037,17.1379,0.479862,1581
2479.98,0.0909263,0.0675989,28.0775,0.78617,2509
2679.92,0.0982637,0.0730448,30.068,0.841903,2711
1873.51,0.0687095,0.0510622,20.7843,0.581961,1895
2071.68,0.075993,0.0564566,22.5567,0.631588,2095
1976.71,0.0725076,0.0538705,21.563,0.603764,1999
1970.53,0.0722679,0.0537039,21.7399,0.608717,1993
1492.14,0.0547317,0.040665,16.3068,0.456591,1509
2252.46,0.0826165,0.0613859,24.7004,0.691612,2278
1777.96,0.0652178,0.0484536,19.3872,0.54284,1798
1699.86,0.0623545,0.0463253,18.5128,0.518358,1719
1868.88,0.0685505,0.0509306,20.4304,0.572051,1890
1776.9,0.0651733,0.048425,19.4464,0.544499,1797
1658.1,0.0608138,0.0451893,18.2786,0.511801,1677
2479.05,0.0909343,0.0675601,27.0301,0.756844,2507
1512,0.0554636,0.0412057,16.4428,0.460399,1529
2654.21,0.097364,0.0723312,28.8114,0.80672,2684
1708.55,0.062666,0.0465639,18.8108,0.526702,1728
2102.38,0.0771197,0.0572923,22.8457,0.639681,2126
2105.04,0.0772153,0.057377,23.1749,0.648897,2129
2637.03,0.0967317,0.0718775,28.9899,0.811718,2667
2784.65,0.102116,0.0759076,31.2978,0.876338,2817
2972.31,0.109034,0.0810156,32.5863,0.912415,3006
2599.43,0.0953545,0.0708534,28.6007,0.800821,2629
2533.4,0.0928814,0.0690543,28.6329,0.801721,2563
2012.62,0.0737983,0.0548589,22.6138,0.633185,2036
2056.04,0.0753848,0.0560425,23.1817,0.649086,2080
2737.92,0.100432,0.0746259,30.0655,0.841835,2769
2337.49,0.0857463,0.0637124,25.6444,0.718044,2364
2493.89,0.0914836,0.0679693,27.1931,0.761408,2522
3432.95,0.125871,0.0935758,38.75,1.085,3473
2552.76,0.0936356,0.0695843,28.2845,0.791966,2582
2693.44,0.0988003,0.0734124,29.5573,0.827604,2724
2677.93,0.0982496,0.0729883,29.0859,0.814405,2708
2404.24,0.0881697,0.0655325,26.8527,0.751876,2432
2709.35,0.099402,0.0738529,29.6431,0.830007,2740
2347.27,0.0860978,0.0639787,25.8589,0.724048,2374
1704.61,0.0625274,0.046462,18.7528,0.525078,1724
1747.01,0.064018,0.0476242,20.3136,0.568781,1768
1504.92,0.0551477,0.0410252,17.4958,0.489881,1523
1596.81,0.0585142,0.0435303,18.5636,0.51978,1616
1724.2,0.0631813,0.0470043,20.1236,0.563461,1745
1993.91,0.0730631,0.0543568,23.3069,0.652593,2018
2197.46,0.0805221,0.0599067,25.6782,0.718989,2224
1979.07,0.0725176,0.0539527,23.1528,0.648279,2003
1811.11,0.0663636,0.0493735,21.1815,0.593081,1833
2077.86,0.0761372,0.0566456,24.3252,0.681106,2103
1687.62,0.0618402,0.0460082,19.7158,0.552043,1708
1545.34,0.0566256,0.0421287,18.0527,0.505477,1564
1616.47,0.0592319,0.0440679,18.8973,0.529124,1636
1791.39,0.0656424,0.0488361,20.9133,0.585573,1813
1985.05,0.0727387,0.0541159,23.1783,0.648992,2009
2080.87,0.0762499,0.0567284,24.3182,0.680909,2106
1902.06,0.0696976,0.0518524,22.1967,0.621507,1925
1757.81,0.064411,0.04792,20.5078,0.574218,1779
1899.09,0.0695887,0.0517718,22.1692,0.620738,1922
1839.84,0.0674182,0.0501568,21.4436,0.60042,1862
1899.1,0.0695897,0.0517723,22.1601,0.620482,1922
1680.75,0.0615887,0.0458197,19.5934,0.548615,1701
1377.4,0.0504718,0.0375494,16.0652,0.449826,1394
1709.35,0.0626345,0.0465987,19.9777,0.559377,1730
1764.7,0.0646628,0.0481078,20.6114,0.57712,1786
2125.32,0.0778764,0.057939,24.8533,0.695891,2151
1873.36,0.068644,0.0510698,21.9089,0.613448,1896
2092.69,0.0766812,0.0570492,24.4865,0.685622,2118
1804.26,0.066115,0.0491868,21.0313,0.588877,1826
2146.09,0.0786396,0.058506,25.0681,0.701906,2172
1872.38,0.0686082,0.051044,21.8845,0.612766,1895
1666.86,0.0610786,0.045441,19.4858,0.545604,1687
1848.66,0.0677396,0.0503973,21.6149,0.605218,1871
1536.47,0.0563016,0.041887,17.9282,0.501988,1555
1934.64,0.0708911,0.0527415,22.6004,0.632811,1958
1470.28,0.0538756,0.0400824,17.148,0.480144,1488
1682.69,0.0616596,0.0458733,19.6517,0.550249,1703
2214.25,0.0811368,0.060365,25.8854,0.724791,2241
1317.11,0.0482623,0.035906,15.3773,0.430566,1333
1731.11,0.0634328,0.0471924,20.2098,0.565874,1752
1617.47,0.0592689,0.0440943,18.8956,0.529078,1637
1597.72,0.0585455,0.0435558,18.6553,0.522349,1617
1577.96,0.0578213,0.0430172,18.423,0.515844,1597
1586.87,0.0581485,0.0432602,18.5091,0.518255,1606
1935.61,0.0709261,0.0527672,22.6373,0.633843,1959
2027.5,0.0742919,0.0552721,23.7064,0.663779,2052
1886.23,0.0691158,0.0514204,22.0371,0.617039,1909
1972.18,0.0722663,0.0537649,23.0522,0.645462,1996
1946.5,0.0713253,0.0530643,22.7393,0.636701,1970
1468.29,0.053803,0.0400276,17.1332,0.47973,1486
2006.76,0.0735335,0.0547072,23.4569,0.656793,2031
1575.99,0.0577501,0.0429637,18.3916,0.514964,1595
1683.69,0.061697,0.0458994,19.6475,0.550131,1704
2522.54,0.0924341,0.0687683,29.4695,0.825145,2553
2393.12,0.0876914,0.0652406,27.9482,0.78255,2422
1994.93,0.0731005,0.0543849,23.2922,0.652183,2019
2532.4,0.0927934,0.0690376,29.6083,0.829033,2563
2773.46,0.101625,0.075609,32.4503,0.908608,2807
2068.99,0.0758129,0.0564042,24.2041,0.677715,2094
1479.17,0.054202,0.0403246,17.2512,0.483035,1497
1731.11,0.0634337,0.0471929,20.2111,0.565911,1752
1911.92,0.0700587,0.0521224,22.3294,0.625223,1935
1666.94,0.0610835,0.0454427,19.4101,0.543484,1687
1911.98,0.0700626,0.0521225,22.2739,0.623668,1935
1700.55,0.0623154,0.0463585,19.7893,0.554101,1721
1401.2,0.051347,0.0381966,16.2599,0.455276,1418
1533.59,0.056198,0.041806,17.8159,0.498845,1552
1566.19,0.057393,0.0426952,18.2025,0.509669,1585
1371.45,0.0502542,0.0373878,16.0102,0.448287,1388
1521.64,0.0557576,0.0414823,17.7699,0.497556,1540
1613.52,0.0591239,0.0439866,18.8485,0.527758,1633
2132.37,0.0781396,0.0581296,24.8003,0.694408,2158
1817.15,0.0665888,0.0495364,21.1429,0.592001,1839
1557.31,0.0570673,0.0424522,18.0882,0.506469,1576
1971.29,0.0722363,0.0537383,22.9449,0.642458,1995
1733.11,0.0635067,0.0472465,20.2108,0.565902,1754
1529.67,0.0560546,0.041698,17.7397,0.496712,1548
1594.89,0.0584456,0.0434761,18.4939,0.517828,1614
1684.79,0.0617392,0.0459272,19.5569,0.547594,1705
1611.67,0.0590601,0.0439341,18.7067,0.523787,1631
2123.43,0.0778103,0.0578863,24.7373,0.692644,2149
1712.35,0.0627468,0.046681,19.9775,0.55937,1733
1747.93,0.0640507,0.0476504,20.3854,0.570791,1769
2230.03,0.081713,0.0607947,26.0998,0.730794,2257
2724.02,0.0998127,0.0742613,31.9172,0.893682,2757
1584.87,0.0580742,0.0432055,18.507,0.518196,1604
1664.92,0.0610065,0.0453878,19.4343,0.544159,1685
1519.65,0.0556845,0.0414278,17.7522,0.497062,1538
2200.52,0.0806375,0.0599873,25.6227,0.717434,2227
2007.89,0.073579,0.0547355,23.3284,0.653195,2032
2233.17,0.0818342,0.0608766,25.9626,0.726954,2260
3193.52,0.117021,0.0870573,37.233,1.04252,3232
1534.52,0.0562313,0.0418327,17.879,0.500613,1553
1604.67,0.0588008,0.0437454,18.7009,0.523626,1624
1927.8,0.0706423,0.0525544,22.4499,0.628596,1951
1619.49,0.0593448,0.0441497,18.8752,0.528505,1639
1941.6,0.0711477,0.0529307,22.6436,0.634022,1965
1434.77,0.0525774,0.039113,16.6708,0.466783,1452
1568.45,0.0574632,0.0427465,20.8667,0.584269,1590
1862.59,0.0682527,0.0507758,21.6866,0.607223,1885
1946.5,0.0713252,0.053065,22.7395,0.636706,1970
1460.38,0.0535122,0.0398122,17.0533,0.477493,1478
1484.1,0.0543815,0.0404591,17.3241,0.485074,1502
1772.59,0.0649526,0.0483237,20.7121,0.579937,1794
1903.01,0.0697318,0.0518792,22.2422,0.622782,1926
1876.33,0.0687532,0.0511513,21.9406,0.614337,1899
2057.12,0.0753767,0.0560804,24.0728,0.67404,2082
1804.21,0.0661115,0.0491855,21.0886,0.590481,1826
2107.52,0.077225,0.057455,24.6575,0.690411,2133
3061.99,0.112201,0.0834753,35.8119,1.00273,3099
1857.58,0.0680678,0.0506409,21.6933,0.607412,1880
1566.11,0.0573873,0.0426946,18.2823,0.511904,1585
2380.24,0.0872183,0.0648901,27.8327,0.779316,2409
2678.61,0.0981513,0.0730246,31.3412,0.877554,2711
2069.01,0.0758151,0.056405,24.176,0.676928,2094
1676.78,0.061443,0.0457113,19.5687,0.547923,1697
2093.72,0.0767197,0.0570783,24.4616,0.684925,2119
1903.01,0.0697312,0.0518779,22.2421,0.622778,1926
1505.82,0.0551768,0.0410504,17.5878,0.492459,1524
2072.93,0.0759555,0.0565107,24.2613,0.679316,2098
1804.26,0.066115,0.0491864,21.0376,0.589054,1826
1762.73,0.0645927,0.0480552,20.579,0.576211,1784
2234.03,0.081862,0.0609037,26.0969,0.730712,2261
2240.96,0.0821162,0.0610927,26.1635,0.732577,2268
1462.35,0.0535841,0.039865,17.0818,0.47829,1480
1650.07,0.0604626,0.044983,19.2857,0.54,1670
1703.42,0.0624177,0.0464376,19.9098,0.557474,1724
2829.74,0.103689,0.0771447,33.1555,0.928355,2864
2694.39,0.0987278,0.0734541,31.556,0.883567,2727
1650.17,0.0604692,0.0449843,19.1882,0.53727,1670
1535.53,0.0562688,0.0418597,17.8732,0.500451,1554
1597.79,0.0585499,0.043557,18.5846,0.52037,1617
1691.67,0.0619899,0.0461156,19.6717,0.550808,1712
1851.71,0.0678534,0.0504793,21.5712,0.603993,1874
1644.22,0.0602511,0.0448233,19.1376,0.535853,1664
2286.37,0.083779,0.0623309,26.7308,0.748462,2314
1696.53,0.0621657,0.0462499,19.8091,0.554655,1717
1776.55,0.0650981,0.0484313,20.7576,0.581213,1798
1595.79,0.0584754,0.0435035,18.5858,0.520402,1615
2382.26,0.0872951,0.0649436,27.8053,0.77855,2411
1648.17,0.0603954,0.0449309,19.1908,0.537342,1668
1642.21,0.0601762,0.0447688,19.1495,0.536185,1662
2242.92,0.0821872,0.0611458,26.205,0.733741,2270
2116.47,0.0775538,0.0576988,24.7057,0.691761,2142
2042.35,0.0748387,0.0556783,23.8482,0.667749,2067
1481.12,0.0542716,0.0403776,17.3023,0.484465,1499
2036.39,0.0746191,0.0555158,23.8085,0.666637,2061
1862.5,0.0682464,0.050775,21.7748,0.609693,1885
1336.88,0.0489882,0.0364452,15.5932,0.43661,1353
1382.34,0.0506536,0.0376842,16.1229,0.451442,1399
1320.1,0.0483732,0.0359876,15.3896,0.430907,1336
2034.58,0.0745597,0.0554634,23.6273,0.661563,2059
1341.84,0.0491705,0.036579,15.632,0.437695,1358
1584.92,0.0580784,0.0432057,18.4661,0.517052,1604
1643.2,0.0602138,0.0447947,19.1583,0.536433,1663
1688.65,0.061878,0.0460331,19.6921,0.551378,1709
1341.85,0.0491707,0.0365792,15.6277,0.437574,1358
2145.11,0.078603,0.0584761,25.0552,0.701546,2171
2204.46,0.0807821,0.0600945,25.6838,0.719147,2231
2535.41,0.0929067,0.0691171,29.6024,0.828868,2566
1475.22,0.0540555,0.0402142,17.207,0.481795,1493
2587.75,0.0948212,0.0705435,30.2401,0.846723,2619
2588.72,0.0948569,0.0705696,30.266,0.847448,2620
