S,I,X,R,D,N
1094.15,0.307673,0.292974,17.748,0.496944,1113
1798.29,0.506143,0.481939,28.9159,0.809644,1829
1476.5,0.415068,0.395225,24.0195,0.672547,1502
1704.66,0.479405,0.456473,27.627,0.773555,1734
1791.04,0.503426,0.479378,29.1636,0.81658,1822
2961.34,0.831616,0.791837,48.672,1.36282,3013
2655.75,0.747627,0.711895,42.5946,1.19265,2701
1920.01,0.540037,0.514212,31.0662,0.869853,1953
2648.38,0.744687,0.70911,42.96,1.20288,2694
2104.14,0.592329,0.563996,33.7616,0.945325,2140
1669.14,0.469159,0.446742,27.1811,0.76107,1698
2182.31,0.613451,0.584191,35.499,0.993971,2220
1919.81,0.539615,0.513833,31.2595,0.875267,1953
2752.48,0.773789,0.736827,44.7585,1.25324,2800
2520.58,0.70871,0.674842,40.8888,1.14489,2564
2727.63,0.766314,0.729672,44.6229,1.24944,2775
1715.57,0.482572,0.459512,27.7086,0.775841,1745
1535.73,0.432127,0.411438,24.7357,0.6926,1562
2309.25,0.649352,0.618339,37.4309,1.04806,2349
2596.17,0.729847,0.694982,42.2182,1.18211,2641
1518.8,0.426952,0.406588,24.6778,0.690978,1545
1776.32,0.499378,0.475509,28.8924,0.808986,1807
2105.61,0.591893,0.56363,34.2707,0.959579,2142
2397.22,0.673306,0.641102,39.3661,1.10225,2439
2642.31,0.744406,0.708839,42.055,1.17754,2687
1546.9,0.434204,0.413445,25.5353,0.714987,1574
1999.91,0.561262,0.534444,33.0718,0.92601,2035
2306.43,0.646996,0.616144,38.2348,1.07057,2347
1991.27,0.559169,0.532451,32.7242,0.916277,2026
2155.4,0.605217,0.576293,35.4292,0.992018,2193
1413.17,0.396529,0.37757,23.3997,0.655191,1438
1582.18,0.443852,0.422669,26.224,0.734271,1610
1464.33,0.410982,0.391328,24.1865,0.677221,1490
1878.14,0.5273,0.502073,30.9588,0.866848,1911
2820.34,0.791172,0.753418,46.807,1.3106,2870
1629.38,0.457243,0.43539,26.9766,0.755345,1658
1272.66,0.357142,0.340085,21.051,0.589427,1295
1308.03,0.367054,0.349527,21.643,0.606004,1331
1271.67,0.356845,0.339817,21.0437,0.589223,1294
1302.12,0.365354,0.347906,21.5615,0.603722,1325
1590.07,0.446133,0.424842,26.318,0.736904,1618
1660.91,0.466195,0.443925,27.4094,0.767463,1690
1608.78,0.451481,0.429917,26.5915,0.744562,1637
1383.77,0.388422,0.369863,22.832,0.639297,1408
1520.38,0.426797,0.406403,25.0869,0.702434,1547
1415.13,0.397067,0.378114,23.4408,0.656343,1440
1312.93,0.368336,0.350746,21.7453,0.60887,1336
1367.98,0.383827,0.365505,22.6373,0.633845,1392
1446.57,0.405931,0.386547,23.9632,0.670971,1472
1552.7,0.435632,0.414836,25.7328,0.72052,1580
1484.03,0.416612,0.396691,24.472,0.685216,1510
1578.41,0.443128,0.421947,25.9964,0.727899,1606
1970.74,0.553568,0.527102,32.2772,0.903762,2005
1458.6,0.409571,0.390006,23.9347,0.670173,1484
1506.57,0.422799,0.402599,24.9073,0.697405,1533
1575.36,0.442102,0.420993,26.0444,0.729242,1603
1762.02,0.494355,0.470767,29.1962,0.817495,1793
1732.56,0.486072,0.462905,28.6857,0.8032,1763
1658.97,0.465685,0.443425,27.351,0.765827,1688
2546.32,0.714597,0.680446,42.1102,1.17909,2591
1585.13,0.444733,0.423529,26.2696,0.735548,1613
1753.18,0.491852,0.4684,29.0511,0.813431,1784
1366.97,0.383573,0.365266,22.644,0.634032,1391
1856.84,0.521789,0.496847,30.2887,0.848085,1889
1498.05,0.420936,0.400802,24.4484,0.684556,1524
2346.28,0.659163,0.627645,38.3605,1.07409,2387
2292.14,0.643897,0.613123,37.5483,1.05135,2332
1530.13,0.429335,0.408839,25.3249,0.709097,1557
1457.39,0.4089,0.389393,24.1364,0.675821,1483
1513.39,0.424638,0.404363,25.0802,0.702246,1540
1459.34,0.409429,0.389912,24.1875,0.67725,1485
2516.56,0.710931,0.676959,38.9605,1.09089,2558
2681.08,0.757812,0.721605,41.2893,1.1561,2725
2771.43,0.783036,0.745632,42.84,1.19952,2817
2400.75,0.678702,0.646271,36.8914,1.03296,2440
2728.93,0.770748,0.733894,42.3831,1.18673,2774
1444.22,0.407972,0.38849,22.3543,0.625919,1468
1286.79,0.363477,0.346096,19.942,0.558375,1308
3419.55,0.967583,0.921322,52.1046,1.45893,3475
2523.52,0.713066,0.678996,38.9951,1.09186,2565
1471.58,0.415366,0.395519,22.9693,0.643141,1496
1827.59,0.515709,0.491039,28.6006,0.800817,1858
2534.92,0.715536,0.681318,39.5734,1.10805,2577
1766.21,0.499467,0.475585,27.0559,0.757565,1795
2739.88,0.773998,0.737019,42.4208,1.18778,2785
2434.47,0.688848,0.655875,37.1428,1.04,2474
2985.15,0.842034,0.801806,46.893,1.313,3035
2855.52,0.805887,0.767318,44.6546,1.25033,2903
2774.11,0.783264,0.745807,43.1544,1.20832,2820
2686.05,0.75935,0.723065,41.3124,1.15675,2730
2304,0.650865,0.61972,35.7292,1.00042,2342
2675.38,0.7548,0.718713,41.9672,1.17508,2720
1286.6,0.363092,0.345722,20.1246,0.563489,1308
1674.2,0.472546,0.449931,26.1478,0.732139,1702
2876.78,0.81114,0.772362,45.3643,1.2702,2925
1711.78,0.483577,0.460442,26.5309,0.742865,1740
2063.74,0.580706,0.552988,33.194,0.929431,2099
