S,I,X,R,D,N
390.9,0.138304,0.104933,34.8805,0.976653,427
1022.48,0.361592,0.274328,91.3275,2.55717,1117
270.953,0.0958217,0.0726969,24.2009,0.677625,296
313.978,0.111041,0.0842441,28.0417,0.785167,343
667.316,0.235998,0.179045,59.6,1.6688,729
800.959,0.283258,0.214898,71.5395,2.00311,875
303.906,0.107473,0.0815362,27.1453,0.760069,332
259.054,0.0916151,0.0695058,23.1369,0.647834,283
361.588,0.127895,0.0970303,32.2835,0.903938,395
938.29,0.331861,0.251777,83.7805,2.34585,1025
514.454,0.18195,0.138041,45.9394,1.2863,562
201.417,0.0713021,0.0541009,17.9547,0.502731,220
601.499,0.212913,0.161549,53.6254,1.50151,657
844.115,0.298801,0.226715,75.2527,2.10708,922
813.902,0.288112,0.218602,72.5601,2.03168,889
593.247,0.209971,0.159314,52.9021,1.48126,648
4174.24,1.47638,1.12009,372.723,10.4363,4560
1286.14,0.454891,0.345117,114.841,3.21555,1405
481.493,0.170281,0.129187,43.0037,1.2041,526
962.116,0.340325,0.258201,85.8807,2.40466,1051
480.583,0.169968,0.12895,42.9168,1.20167,525
13315.5,4.70952,3.57298,1188.96,33.2908,14546
950.199,0.336093,0.254985,84.8348,2.37537,1038
542.84,0.192002,0.145668,48.4654,1.35703,593
782.676,0.276827,0.210024,69.881,1.95667,855
527.283,0.18651,0.141503,47.0707,1.31798,576
111.681,0.0395033,0.0299708,9.96998,0.27916,122
407.36,0.144087,0.109316,36.3681,1.01831,445
916.319,0.324091,0.245879,81.8202,2.29097,1001
491.581,0.173881,0.13192,43.8846,1.22877,537
1009.7,0.357132,0.270948,90.1486,2.52416,1103
714.936,0.252872,0.191849,63.8323,1.7873,781
530.942,0.187798,0.142479,47.4003,1.32721,580
425.66,0.150544,0.114214,38.0112,1.06431,465
539.17,0.190693,0.144675,48.1461,1.34809,589
891.604,0.315349,0.239247,79.6124,2.22915,974
400.946,0.141808,0.107586,35.8018,1.00245,438
370.747,0.131139,0.0994944,33.0961,0.926692,405
341.442,0.120759,0.0916159,30.4922,0.853781,373
1502.21,0.531361,0.403133,134.102,3.75487,1641
598.684,0.211762,0.16066,53.4468,1.49651,654
2519.24,0.891102,0.676065,224.891,6.29696,2752
656.346,0.232142,0.17612,58.6047,1.64093,717
389.056,0.137618,0.10441,34.7295,0.972427,425
314.903,0.111382,0.0845046,28.1137,0.787183,344
5161.17,1.82419,1.38382,461.695,12.9275,5639
3402.95,1.20276,0.9124,304.407,8.5234,3718
3384.65,1.19627,0.907489,302.773,8.47764,3698
3300.46,1.16654,0.884931,295.221,8.26617,3606
1727.12,0.610454,0.463091,154.482,4.32551,1887
3222.66,1.13904,0.864073,288.27,8.07155,3521
2316.55,0.818794,0.621131,207.209,5.80185,2531
4361.25,1.54145,1.16933,390.118,10.9233,4765
4007.96,1.4166,1.07464,358.514,10.0384,4379
