S,I,X,R,D,N
1036.7,8.0215,5.56505,61.0027,1.70808,1113
1703.71,13.192,9.15289,100.138,2.80385,1829
1399.05,10.8228,7.5085,82.3147,2.30481,1502
1615.23,12.4983,8.6713,94.9379,2.65826,1734
1697.12,13.1276,9.10738,99.8505,2.79582,1822
2805.87,21.6867,15.0441,165.76,4.64127,3013
2516.06,19.4848,13.5194,147.8,4.1384,2701
1819.24,14.0796,9.76831,106.918,2.99371,1953
2509.35,19.4166,13.4706,147.633,4.13372,2694
1993.46,15.4382,10.7115,117.108,3.27902,2140
1581.6,12.233,8.48703,93.0774,2.60617,1698
2067.84,15.9976,11.098,121.654,3.40632,2220
1819.12,14.072,9.76267,107.049,2.99737,1953
2608.1,20.1768,13.998,153.43,4.29603,2800
2388.35,18.4807,12.8201,140.416,3.93165,2564
2584.37,19.9827,13.8629,152.51,4.27027,2775
1625.53,12.5815,8.72931,95.4822,2.6735,1745
1455.1,11.2663,7.8164,85.4244,2.39188,1562
2188.11,16.9314,11.7464,128.615,3.60122,2349
2460.01,19.031,13.2029,144.703,4.05167,2641
1439.13,11.1348,7.72484,84.6408,2.36994,1545
1683.14,13.0214,9.03425,99.0272,2.77276,1807
1995.17,15.4346,10.7079,117.398,3.28714,2142
2271.38,17.5572,12.1799,134.131,3.75567,2439
2503.25,19.3991,13.4597,146.78,4.10984,2687
1465.91,11.3251,7.85613,86.4883,2.42167,1574
1895.19,14.6401,10.156,111.881,3.13268,2035
2185.68,16.8795,11.7093,129.119,3.61533,2347
1886.95,14.5847,10.1178,111.234,3.11456,2026
2042.47,15.785,10.9504,120.427,3.37195,2193
1339.18,10.343,7.17533,79.089,2.21449,1438
1499.35,11.58,8.03288,88.5576,2.47961,1610
1387.51,10.718,7.43568,82.0437,2.29722,1490
1779.79,13.752,9.54042,104.977,2.93935,1911
2672.68,20.64,14.3181,157.94,4.42232,2870
1544.08,11.9255,8.27376,91.1724,2.55283,1658
1206.04,9.31622,6.4625,71.1877,1.99326,1295
1239.55,9.57519,6.64211,73.181,2.04907,1331
1205.1,9.30814,6.45714,71.1388,1.99189,1294
1233.95,9.53159,6.61186,72.8688,2.04033,1325
1506.82,11.6389,8.07383,88.9748,2.49129,1618
1573.92,12.1607,8.43574,92.8798,2.60063,1690
1524.56,11.7778,8.16991,89.9706,2.51918,1637
1311.3,10.1319,7.02851,77.3699,2.16636,1408
1440.77,11.1323,7.72235,84.9916,2.37977,1547
1341.04,10.3582,7.1854,79.195,2.21746,1440
1244.19,9.61031,6.66632,73.4765,2.05734,1336
1296.34,10.0128,6.94645,76.557,2.1436,1392
1370.84,10.5894,7.34538,80.9572,2.2668,1472
