S,I,X,R,D,N
1080.92,0.531767,0.992038,29.7208,0.832183,1113
1776.46,0.881195,1.63947,48.6551,1.36234,1829
1458.71,0.711823,1.33113,40.1278,1.12358,1502
1684.12,0.819785,1.53449,46.2356,1.2946,1734
1769.47,0.861552,1.61235,48.6953,1.36347,1822
2925.43,1.45074,2.69796,81.1502,2.2722,3013
2623.47,1.30162,2.42176,71.792,2.01018,2701
1896.86,0.927238,1.73203,52.0234,1.45666,1953
2616.4,1.28376,2.39562,71.9089,2.01345,2694
2078.61,1.03127,1.91874,56.8516,1.59184,2140
1649.03,0.802932,1.50259,45.3944,1.27104,1698
2156.01,1.04969,1.96452,59.3137,1.66078,2220
1896.68,0.923463,1.72823,52.2023,1.46166,1953
2719.31,1.32394,2.47777,74.7911,2.09415,2800
2490.19,1.21216,2.26893,68.4098,1.91548,2564
2694.54,1.33638,2.48542,74.5481,2.08735,2775
1694.9,0.825718,1.54542,46.4251,1.2999,1745
1517.2,0.739149,1.38346,41.5103,1.16229,1562
2281.43,1.11046,2.07874,62.6282,1.75359,2349
2564.9,1.24853,2.33689,70.5436,1.97522,2641
1500.5,0.730413,1.36712,41.2436,1.15482,1545
1754.91,0.85446,1.59913,48.2812,1.35187,1807
2080.25,1.01283,1.89552,57.2437,1.60282,2142
2368.19,1.1744,2.1841,65.6148,1.83721,2439
2610.24,1.29517,2.40932,71.0688,1.98993,2687
1528.31,0.74159,1.38913,42.3744,1.18648,1574
1975.88,0.958769,1.79591,54.827,1.53516,2035
2278.65,1.1053,2.07043,63.4028,1.77528,2347
1967.29,0.955491,1.78944,54.4361,1.52421,2026
2129.43,1.03424,1.93685,58.9508,1.65062,2193
1396.18,0.677254,1.26868,38.7867,1.08603,1438
1563.16,0.758189,1.4203,43.449,1.21657,1610
1446.59,0.717353,1.33392,40.2277,1.12638,1490
1855.59,0.900732,1.68713,51.3845,1.43876,1911
2786.43,1.35162,2.53187,77.5161,2.17045,2870
1609.78,0.780948,1.4629,44.7257,1.25232,1658
1257.37,0.609972,1.14264,34.905,0.97734,1295
1292.31,0.626934,1.17439,35.8854,1.00479,1331
1256.38,0.609454,1.14168,34.8947,0.977053,1294
1286.48,0.624019,1.16894,35.7221,1.00022,1325
1570.95,0.76205,1.42753,43.6391,1.2219,1618
1640.93,0.796429,1.49177,45.5084,1.27423,1690
1589.44,0.771325,1.44474,44.1053,1.23495,1637
1367.12,0.663534,1.24287,37.9124,1.06155,1408
1502.1,0.729045,1.36558,41.638,1.16586,1547
1398.12,0.678183,1.27043,38.8485,1.08776,1440
1297.14,0.62919,1.17864,36.0467,1.00931,1336
1351.52,0.655591,1.22812,37.5429,1.0512,1392
1429.18,0.693261,1.29868,39.7126,1.11195,1472
1534.04,0.744123,1.39394,42.633,1.19372,1580
1466.2,0.711663,1.33303,40.6186,1.13732,1510
1559.44,0.756985,1.41791,43.1807,1.20906,1606
1946.87,0.965641,1.79557,53.865,1.50822,2005
1441.03,0.699897,1.31077,39.8395,1.11551,1484
1488.46,0.722176,1.35278,41.3081,1.15663,1533
1556.43,0.755223,1.41466,43.1892,1.2093,1603
1740.82,0.844425,1.58185,48.3971,1.35512,1793
1711.75,0.830332,1.55544,47.5369,1.33103,1763
1639.04,0.795561,1.49015,45.401,1.27123,1688
2515.69,1.22098,2.28686,69.845,1.95566,2591
1566.06,0.759652,1.42303,43.5417,1.21917,1613
1732.08,0.840182,1.57387,48.1555,1.34835,1784
1350.54,0.65511,1.22721,37.531,1.05087,1391
1834.49,0.892148,1.67037,50.5374,1.41505,1889
1480.02,0.719764,1.34762,40.7721,1.14162,1524
2318.05,1.1268,2.10992,63.9246,1.78989,2387
2264.59,1.10081,2.0612,62.4985,1.74996,2332
1511.72,0.733322,1.37371,41.999,1.17597,1557
1439.88,0.69845,1.30839,39.9967,1.11991,1483
1495.19,0.725276,1.35864,41.5587,1.16364,1540
1441.8,0.699366,1.31009,40.064,1.12179,1485
2486.12,1.2193,2.27924,66.5216,1.86261,2558
2648.46,1.31493,2.44801,70.7973,1.98232,2725
2737.87,1.34277,2.51009,73.2264,2.05034,2817
2371.54,1.1774,2.19239,63.319,1.77293,2440
2695.77,1.33821,2.4912,72.3774,2.02657,2774
1426.73,0.699727,1.30799,38.195,1.06946,1468
1271.21,0.623456,1.1654,34.0457,0.95328,1308
3377.93,1.67716,3.12347,89.7601,2.51328,3475
2492.98,1.22267,2.28562,66.6485,1.86616,2565
1453.78,0.711881,1.33112,39.078,1.09418,1496
1805.49,0.8841,1.65311,48.6119,1.36113,1858
2504.27,1.22629,2.29299,67.3257,1.88512,2577
1744.71,0.86614,1.61307,46.5043,1.30212,1795
2706.57,1.34363,2.50154,72.5533,2.03149,2785
2404.85,1.19403,2.22354,63.9431,1.79041,2474
2949.06,1.44186,2.69723,79.5751,2.2281,3035
2821.01,1.3814,2.58294,75.8962,2.12509,2903
2740.38,1.36024,2.53178,73.6621,2.06254,2820
2653.38,1.31747,2.45297,70.8667,1.98427,2730
2276.11,1.1163,2.08665,60.979,1.70741,2342
2642.89,1.31188,2.44152,71.3578,1.99802,2720
1271.05,0.622403,1.16378,34.2065,0.957783,1308
1653.95,0.809906,1.51437,44.4833,1.24553,1702
2842.03,1.38917,2.59853,76.8346,2.15137,2925
1691.06,0.829364,1.55026,45.2913,1.26816,1740
2038.85,0.993539,1.85953,55.7403,1.56073,2099
1411.47,0.688193,1.28799,38.4729,1.07724,1453
2365.38,1.15325,2.15836,64.5035,1.8061,2435
3402.55,1.65808,3.10319,93.0869,2.60643,3503
1870.7,0.911522,1.70594,51.2429,1.4348,1926
1689.05,0.822992,1.54026,46.2862,1.29601,1739
2513.82,1.22499,2.2927,68.7355,1.92459,2588
1550.17,0.755272,1.41353,42.4765,1.18934,1596
1716.24,0.836107,1.56482,47.0374,1.31705,1767
2064.97,1.00617,1.8831,56.5606,1.5837,2126
2515.71,1.24811,2.32139,68.7953,1.92627,2590
2724.8,1.3285,2.48635,74.3,2.0804,2805
2295.21,1.11837,2.09312,62.8147,1.75881,2363
2535.36,1.25782,2.34045,69.1091,1.93506,2610
1732.81,0.84433,1.58023,47.4362,1.32821,1784
1557.12,0.758997,1.42053,42.5106,1.1903,1603
1626.07,0.792675,1.48351,44.4146,1.24361,1674
3351.81,1.66285,3.09302,91.8641,2.57219,3451
2894.68,1.43568,2.6689,79.9771,2.23936,2981
3361.85,1.66813,3.10339,91.8063,2.57058,3461
1830.91,0.892132,1.66969,50.1227,1.40344,1885
1849.2,0.900063,1.68493,50.7951,1.42226,1904
1418.08,0.690949,1.29312,38.8466,1.08771,1460
1695.89,0.82634,1.54655,46.4375,1.30025,1746
2077.65,1.01241,1.89484,56.8502,1.5918,2139
1510.54,0.749353,1.39448,41.1671,1.15268,1555
1535.97,0.75014,1.40333,41.7057,1.16776,1581
2436.54,1.20866,2.24811,67.125,1.8795,2509
2633.17,1.28302,2.40121,72.1242,2.01948,2711
1840.67,0.91327,1.69914,50.3094,1.40866,1895
2035.33,1.01013,1.87953,55.2308,1.54646,2095
1942.16,0.949104,1.7753,52.6388,1.47389,1999
1935.98,0.96057,1.78705,52.799,1.47837,1993
1466.07,0.716427,1.34004,39.7622,1.11334,1509
2212.96,1.09808,2.04308,60.2137,1.68598,2278
1746.88,0.853675,1.59683,47.339,1.32549,1798
1670.15,0.816208,1.52677,45.2389,1.26669,1719
1836.1,0.911051,1.69524,49.9015,1.39724,1890
1745.85,0.852642,1.59509,47.3724,1.32643,1797
1629.03,0.808431,1.50416,44.4179,1.2437,1677
2435.73,1.1903,2.22649,66.0046,1.84813,2507
1485.57,0.726001,1.35804,40.2159,1.12605,1529
2607.82,1.27449,2.38409,70.5478,1.97534,2684
1678.59,0.832913,1.54961,45.7451,1.28086,1728
2065.5,1.02502,1.90711,56.0038,1.56811,2126
2068.28,1.00978,1.88915,56.2498,1.575,2129
2590.97,1.26498,2.36662,70.4252,1.97191,2667
2735.87,1.35709,2.52399,75.1491,2.10418,2817
2920.39,1.42581,2.66764,79.2965,2.2203,3006
2553.85,1.26735,2.35767,69.579,1.94821,2629
