S,I,X,R,D,N
1034.76,8.33249,5.79512,62.3614,1.74612,1113
1700.53,13.704,9.53117,102.372,2.86642,1829
1396.43,11.2426,7.8189,84.1478,2.35614,1502
1612.21,12.9838,9.02972,97.0548,2.71754,1734
1693.95,13.6374,9.4839,102.074,2.85807,1822
2800.63,22.5286,15.6662,169.433,4.74412,3013
2511.35,20.24,14.0781,151.101,4.23082,2701
1815.84,14.6262,10.1721,109.303,3.06048,1953
2504.65,20.1703,14.0275,150.922,4.22581,2694
1989.73,16.0365,11.1542,119.723,3.35224,2140
1578.64,12.7078,8.83786,95.1494,2.66418,1698
2063.98,16.6181,11.5569,124.364,3.48219,2220
1815.72,14.6184,10.1663,109.432,3.06411,1953
2603.22,20.9598,14.5767,156.847,4.39172,2800
2383.89,19.198,13.3503,143.546,4.01929,2564
2579.55,20.758,14.436,155.894,4.36504,2775
1622.49,13.0699,9.09009,97.6133,2.73317,1745
1452.38,11.7029,8.1395,87.3327,2.44531,1562
2184.01,17.5892,12.232,131.483,3.68152,2349
2455.41,19.7691,13.7487,147.926,4.14193,2641
1436.44,11.5667,8.04421,86.5268,2.42275,1545
1680,13.527,9.40767,101.233,2.83452,1807
1991.44,16.0334,11.1506,120.012,3.36034,2142
2267.13,18.2389,12.6835,137.105,3.83893,2439
2498.57,20.1509,14.016,150.066,4.20185,2687
1463.17,11.7645,8.18103,88.4064,2.47538,1574
1891.65,15.2079,10.576,114.361,3.20211,2035
2181.6,17.5348,12.1936,131.978,3.69538,2347
1883.43,15.1503,10.5362,113.705,3.18373,2026
2038.65,16.3983,11.4032,123.1,3.4468,2193
1336.68,10.7446,7.47201,80.8408,2.26354,1438
1496.55,12.0298,8.36511,90.5189,2.53453,1610
1384.92,11.1337,7.74309,83.8591,2.34805,1490
1776.47,14.2863,9.93487,107.306,3.00457,1911
2667.69,21.441,14.9102,161.436,4.52021,2870
1541.19,12.3889,8.61576,93.1923,2.60938,1658
1203.79,9.67761,6.72978,72.7656,2.03744,1295
1237.24,9.9467,6.91682,74.8027,2.09448,1331
1202.85,9.66963,6.72416,72.7153,2.03603,1294
1231.64,9.90168,6.88532,74.4831,2.08553,1325
1504.01,12.0908,8.40773,90.9461,2.54649,1618
1570.98,12.633,8.78461,94.9394,2.6583,1690
1521.72,12.2349,8.50782,91.9653,2.57503,1637
1308.86,10.525,7.31917,79.086,2.21441,1408
1438.08,11.5641,8.04172,86.8771,2.43256,1547
1338.54,10.7599,7.48255,80.9494,2.26658,1440
1241.87,9.98266,6.94205,75.1041,2.10292,1336
1293.92,10.402,7.23363,78.2529,2.19108,1392
1368.28,11.0009,7.64922,82.7507,2.31702,1472
1468.66,11.8063,8.20999,88.8363,2.48742,1580
1403.68,11.2873,7.84948,84.8091,2.37465,1510
1492.94,12.0067,8.34955,90.1784,2.52499,1606
1863.79,14.9966,10.4295,112.632,3.15369,2005
1379.6,11.098,7.71826,83.2569,2.33119,1484
1425.03,11.4564,7.96685,86.1382,2.41187,1533
1490.09,11.9805,8.33094,90.0755,2.52211,1603
1666.66,13.3963,9.31619,100.806,2.82256,1793
1638.78,13.1747,9.16062,99.1078,2.77502,1763
1569.15,12.6185,8.77521,94.798,2.65434,1688
2408.5,19.3646,13.4656,145.596,4.07669,2591
1499.33,12.0516,8.38071,90.7025,2.53967,1613
1658.28,13.3287,9.26936,100.312,2.80873,1784
1292.99,10.3929,7.22747,78.2033,2.18969,1391
1756.21,14.1333,9.82975,105.861,2.96411,1889
1416.85,11.4052,7.93099,85.4193,2.39174,1524
2219.13,17.856,12.4181,133.849,3.74776,2387
2167.95,17.441,12.1302,130.814,3.66279,2332
1447.3,11.6351,8.09066,87.5189,2.45053,1557
1378.51,11.081,7.70579,83.3654,2.33423,1483
