x,y,S,I,R,D,X,N
52.9021,-7.36873,2653.7,56.181,47.3817,1.32669,21.4061,2780
52.8238,-7.43167,360.196,6.64751,5.49881,0.153967,2.50411,375
53.0338,-7.61708,266.992,5.37184,4.4768,0.12535,2.03424,279
52.8235,-7.05093,329.251,7.01326,5.90118,0.165233,2.66964,345
52.9001,-7.02902,400.55,9.0552,7.71002,0.215881,3.46918,421
52.8614,-7.01012,620.166,13.682,11.5986,0.324762,5.22881,651
52.8748,-7.29374,789.656,16.2083,13.5971,0.380718,6.15748,826
52.9796,-7.07323,405.029,9.65144,8.35533,0.233949,3.7298,427
53.115,-7.17382,1214.32,29.9947,26.2889,0.73609,11.6635,1283
52.901,-7.61725,184.233,3.47924,2.89257,0.080992,1.31441,192
53.048,-7.21354,320.802,7.1597,6.11946,0.171345,2.74757,337
53.0604,-7.42858,629.977,13.7704,11.6651,0.326622,5.26107,661
52.9084,-7.08612,157.613,3.69526,3.1789,0.0890093,1.42347,166
52.95,-7.05993,1378.15,33.6793,29.3027,0.820477,13.0501,1455
52.9571,-7.30294,1020.4,22.4004,19.0837,0.534342,8.58005,1071
52.9605,-7.01343,458.768,11.0832,9.59552,0.268675,4.28508,484
52.9202,-7.26448,292.279,6.11201,5.14013,0.143924,2.32534,306
53.0692,-7.31726,1604.21,36.1602,30.8915,0.864962,13.8751,1686
52.9274,-7.60702,799.265,14.7232,12.1343,0.339759,5.53811,832
53.0751,-7.48238,306.434,6.48977,5.45452,0.152727,2.46947,321
52.9655,-7.60157,93.8416,1.87082,1.54004,0.0431211,0.704382,98
53.1896,-7.39324,324.761,6.80543,5.69188,0.159373,2.58215,340
53.058,-7.58836,163.525,3.34786,2.78242,0.0779077,1.26662,171
53.1398,-7.58964,382.492,7.44488,6.09797,0.170743,2.79454,399
52.9614,-7.5421,740.251,15.4899,13.0061,0.364172,5.88878,775
52.9263,-7.43057,353.42,7.38755,6.2086,0.173841,2.81009,370
53.1423,-7.52756,898.759,18.0635,14.9431,0.418408,6.81546,939
53.0324,-7.35246,1781.12,40.1264,34.3795,0.962627,15.4164,1872
53.0041,-7.52151,216.741,4.56249,3.84965,0.10779,1.73889,227
52.9963,-7.35874,636.855,13.8091,11.7271,0.328358,5.28084,668
52.8796,-7.68038,203.314,3.48386,2.82425,0.0790789,1.29869,211
52.9647,-7.33925,166.018,3.54434,3.00037,0.0840102,1.35298,174
52.9911,-7.56539,286.923,5.83924,4.88559,0.136796,2.21553,300
52.9097,-7.47181,317.819,6.3317,5.29948,0.148385,2.40164,332
52.8116,-7.48861,345.374,6.13799,5.04318,0.141209,2.3036,359
52.9692,-7.25781,137.345,2.95358,2.50313,0.0700877,1.12837,144
53.015,-7.10408,252.489,5.94462,5.12964,0.14363,2.29357,266
53.1236,-7.285,1578.04,36.2148,30.9708,0.867183,13.9053,1660
52.8732,-7.58209,250.105,4.46731,3.65198,0.102255,1.67304,260
52.9573,-7.47945,435.224,9.23475,7.80141,0.21844,3.5213,456
52.8749,-7.12882,736.081,15.5532,13.0814,0.366279,5.9185,771
52.8712,-7.3903,257.723,5.0454,4.20476,0.117733,1.90942,269
52.8397,-7.38086,1206.35,23.1794,19.1916,0.537365,8.74235,1258
52.8961,-7.22978,243.445,5.13873,4.3363,0.121416,1.95839,255
53.105,-7.1959,1189.37,27.5957,23.7425,0.66479,10.6293,1252
52.8435,-7.68628,392.341,6.6136,5.41685,0.151672,2.47664,407
52.8952,-7.06685,176.86,4.0349,3.45738,0.0968067,1.55054,186
52.9371,-7.19263,158.981,3.55454,3.01949,0.0845457,1.36036,167
53.177,-7.35519,224.325,4.76079,3.99316,0.111808,1.80938,235
53.1427,-7.33873,174.841,3.64592,3.04551,0.0852742,1.38266,183
52.8419,-6.97658,4557.41,101.335,86.0794,2.41022,38.767,4786
52.8796,-7.51946,353.166,6.65674,5.51291,0.154361,2.51043,368
53.1216,-7.11091,440.017,10.9041,9.56766,0.267895,4.24311,465
52.904,-7.57139,128.659,2.40087,1.98123,0.0554745,0.90383,134
53.0103,-7.25249,611.725,13.3984,11.4231,0.319846,5.13383,642
52.9157,-7.53065,268.121,5.30831,4.43514,0.124184,2.0114,280
52.9096,-6.9708,411.861,9.34948,7.98004,0.223441,3.5865,433
52.8726,-7.45455,334.258,6.59489,5.49695,0.153915,2.49591,349
53.1539,-7.11267,533.271,13.3808,11.799,0.330373,5.21924,564
53.0604,-7.17283,253.584,5.9001,5.0967,0.142708,2.27641,267
52.8345,-7.50177,297.196,5.31798,4.36799,0.122304,1.99574,309
52.9661,-7.684,227.044,3.62595,2.90557,0.0813561,1.34316,235
52.809,-7.64233,280.745,4.63447,3.7826,0.105913,1.73229,291
53.0522,-7.53769,244.395,5.16976,4.34631,0.121697,1.96712,256
52.9378,-7.1267,284.95,6.64135,5.69475,0.159453,2.55438,300
52.9924,-7.61552,131.949,2.70264,2.25967,0.0632708,1.02521,138
53.1398,-7.41685,400.3,8.35881,6.97685,0.195352,3.1689,419
52.9029,-7.66676,144.339,2.55266,2.09276,0.0585972,0.957286,150
52.949,-7.66429,132.899,2.29579,1.89045,0.0529327,0.862235,138
53.1067,-7.33233,927.238,20.7023,17.6344,0.493764,7.9314,974
53.117,-7.32885,2849.49,64.0096,54.4576,1.52481,24.5137,2994
53.0053,-7.46312,2268.52,48.6976,41.0727,1.15004,18.5617,2378
53.0588,-7.12474,360.633,8.51548,7.35781,0.206019,3.28764,380
53.0098,-7.66282,85.688,1.49787,1.21994,0.0341582,0.560016,89
52.8431,-7.11086,292.261,6.12227,5.14486,0.144056,2.32825,306
53.0863,-7.37297,468.849,10.282,8.69937,0.243582,3.92619,492
53.1532,-7.18583,6754.47,167.506,146.779,4.10981,65.1382,7138
53.0309,-7.28792,15322.7,345.587,295.761,8.28132,132.715,16105
53.0351,-7.29895,3690.94,82.71,70.6427,1.978,31.7307,3878
52.9547,-7.40072,443.874,9.39101,7.93218,0.222101,3.58105,465
52.9179,-7.11042,227.447,5.10714,4.36387,0.122188,1.96005,239
52.8327,-7.56979,1159.22,21.0509,17.3284,0.485194,7.91125,1206
52.8574,-7.62882,568.408,10.1772,8.36074,0.234101,3.82041,591
53.1658,-7.44604,273.268,5.69429,4.74709,0.132919,2.1575,286
