S,I,X,R,D,N
1094.56,0.35442,0.22828,17.3677,0.486296,1113
1798.96,0.583034,0.3755,28.2903,0.792127,1829
1477.05,0.478124,0.307948,23.5065,0.658182,1502
1705.3,0.552192,0.355659,27.0344,0.756964,1734
1791.71,0.579888,0.373539,28.5413,0.799157,1822
2962.45,0.957873,0.616973,47.6442,1.33404,3013
2656.75,0.861186,0.554705,41.6705,1.16677,2701
1920.73,0.622076,0.400669,30.3987,0.851164,1953
2649.37,0.857833,0.552542,42.0395,1.17711,2694
2104.92,0.682277,0.439464,33.0295,0.924826,2140
1669.77,0.540438,0.348092,26.6012,0.744832,1698
2183.12,0.706727,0.455198,34.7406,0.972738,2220
1920.53,0.621619,0.400374,30.5925,0.856591,1953
2753.51,0.891397,0.574133,43.8021,1.22646,2800
2521.52,0.816412,0.525836,40.0128,1.12036,2564
2728.65,0.882667,0.56856,43.6758,1.22292,2775
1716.21,0.555885,0.358061,27.1121,0.759139,1745
1536.3,0.497723,0.320583,24.2016,0.677646,1562
2310.12,0.747976,0.481804,36.6282,1.02559,2349
2597.14,0.840758,0.541501,41.316,1.15685,2641
1519.37,0.491878,0.316821,24.15,0.6762,1545
1776.99,0.575213,0.370514,28.2751,0.791703,1807
2106.4,0.6819,0.439163,33.539,0.939093,2142
2398.11,0.775596,0.499526,38.5339,1.07895,2439
2643.3,0.857511,0.552307,41.1348,1.15178,2687
1547.48,0.500191,0.322153,24.9986,0.69996,1574
2000.65,0.646531,0.416448,32.378,0.906585,2035
2307.29,0.745439,0.480117,37.435,1.04818,2347
1992.01,0.644174,0.414865,32.033,0.896924,2026
2156.2,0.697188,0.449026,34.6811,0.971072,2193
1413.7,0.45676,0.29418,22.9096,0.641467,1438
1582.77,0.511328,0.329347,25.6753,0.718909,1610
1464.88,0.473378,0.304923,23.6785,0.662998,1490
1878.85,0.607361,0.391187,30.3071,0.848599,1911
2821.39,0.911496,0.58706,45.829,1.28321,2870
1629.98,0.526701,0.339244,26.4114,0.73952,1658
1273.14,0.411414,0.264995,20.6095,0.577067,1295
1308.52,0.422861,0.272352,21.1893,0.5933,1331
1272.14,0.411106,0.264776,20.6026,0.576872,1294
1302.61,0.420879,0.271095,21.1099,0.591077,1325
1590.67,0.514007,0.331049,25.7665,0.721462,1618
1661.53,0.53704,0.345884,26.8331,0.751327,1690
1609.38,0.520076,0.334986,26.0334,0.728936,1637
1384.29,0.447465,0.288193,22.3519,0.625854,1408
1520.94,0.491624,0.316663,24.5594,0.687662,1547
1415.66,0.457433,0.294627,22.95,0.6426,1440
1313.42,0.424321,0.273312,21.2901,0.596121,1336
1368.49,0.442147,0.284795,22.1629,0.62056,1392
1447.11,0.467629,0.301183,23.4615,0.656921,1472
1553.28,0.501852,0.32324,25.1943,0.705442,1580
1484.58,0.479881,0.3091,23.9571,0.670798,1510
1579,0.510487,0.328769,25.4487,0.712562,1606
1971.47,0.637678,0.410738,31.593,0.884604,2005
1459.14,0.471805,0.303905,23.4285,0.655997,1484
1507.13,0.487023,0.313694,24.3847,0.682772,1533
1575.95,0.509313,0.32805,25.4979,0.713941,1603
1762.68,0.56949,0.366826,28.5852,0.800384,1793
1733.21,0.560045,0.360716,28.0848,0.786375,1763
1659.59,0.536404,0.345512,26.7754,0.74971,1688
2547.27,0.823231,0.530188,41.227,1.15435,2591
1585.72,0.512407,0.330022,25.7198,0.720154,1613
1753.83,0.566681,0.364978,28.4431,0.796406,1784
1367.48,0.441896,0.284608,22.1698,0.620755,1391
1857.54,0.600986,0.387151,29.6438,0.830026,1889
1498.6,0.484809,0.312302,23.9281,0.669988,1524
2347.15,0.759286,0.489046,37.5458,1.05128,2387
2293,0.741736,0.477747,36.7524,1.02907,2332
1530.7,0.494614,0.318576,24.7942,0.694237,1557
1457.93,0.471086,0.303411,23.631,0.661667,1483
1513.95,0.489196,0.315072,24.5553,0.687549,1540
1459.88,0.47172,0.303824,23.6814,0.663078,1485
2517.51,0.818926,0.527495,38.0818,1.06629,2558
2682.08,0.872939,0.562276,40.3526,1.12987,2725
2772.47,0.90198,0.581013,41.8721,1.17242,2817
2401.65,0.781823,0.503594,36.0525,1.00947,2440
2729.95,0.887901,0.571857,41.4305,1.16005,2774
1444.77,0.469991,0.302717,21.85,0.611799,1468
1287.27,0.418704,0.269672,19.4927,0.545795,1308
3420.83,1.1146,0.717895,50.9087,1.42544,3475
2524.47,0.821424,0.529078,38.1137,1.06718,2565
1472.13,0.478473,0.308193,22.4559,0.628765,1496
1828.28,0.594009,0.382623,27.9632,0.782969,1858
2535.87,0.824193,0.530871,38.689,1.08329,2577
1766.88,0.575322,0.370577,26.4386,0.74028,1795
2740.91,0.891591,0.574287,41.4641,1.161,2785
2435.39,0.793426,0.511042,36.2914,1.01616,2474
2986.27,0.969985,0.624768,45.8522,1.28386,3035
2856.59,0.928196,0.597877,43.6586,1.22244,2903
2775.15,0.902247,0.58111,42.1863,1.18122,2820
2687.06,0.874687,0.563397,40.3738,1.13047,2730
2304.86,0.749682,0.482865,34.9248,0.977894,2342
2676.39,0.869493,0.560001,41.0342,1.14896,2720
1287.09,0.418219,0.269389,19.6758,0.550923,1308
1674.83,0.544277,0.350586,25.5638,0.715785,1702
2877.86,0.934381,0.601804,44.3617,1.24213,2925
1712.42,0.55701,0.358772,25.9332,0.726129,1740
