S,I,X,R,D,N
1093.8,0.00335975,0.0156523,18.6597,0.522473,1113
1797.7,0.0055274,0.0257491,30.4157,0.851639,1829
1476.02,0.0045321,0.0211131,25.2494,0.706983,1502
1704.11,0.00523402,0.0243838,29.0474,0.813328,1734
1790.46,0.00549714,0.0256087,30.6553,0.858349,1822
2960.38,0.00908083,0.042304,51.1362,1.43181,3013
2654.89,0.00816553,0.0380371,44.81,1.25468,2701
1919.39,0.00589746,0.0274727,32.6664,0.91466,1953
2647.52,0.00813253,0.0378846,45.1667,1.26467,2694
2103.45,0.00646899,0.030135,35.5169,0.994472,2140
1668.6,0.00512296,0.0238663,28.5713,0.799996,1698
2181.6,0.00669891,0.031207,37.3168,1.04487,2220
1919.19,0.00589261,0.0274507,32.8585,0.920039,1953
2751.58,0.00844884,0.0393602,47.0514,1.31744,2800
2519.76,0.00773813,0.0360504,42.9888,1.20369,2564
2726.75,0.00836835,0.0389829,46.8937,1.31302,2775
1715.02,0.00527073,0.0245522,29.1386,0.815882,1745
1535.23,0.00471922,0.0219842,26.0162,0.728453,1562
2308.5,0.00709133,0.0330346,39.3551,1.10194,2349
2595.33,0.00796874,0.0371254,44.3808,1.24266,2641
1518.3,0.00466225,0.0217193,25.943,0.726403,1545
1775.75,0.00545276,0.0254022,30.3721,0.850418,1807
2104.93,0.00646243,0.030108,36.0245,1.00869,2142
2396.44,0.0073517,0.0342519,41.3612,1.15811,2439
2641.45,0.00813052,0.0378741,44.2609,1.23931,2687
1546.4,0.00474106,0.0220873,26.8219,0.751012,1574
1999.26,0.00612825,0.0285504,34.7349,0.972577,2035
2305.68,0.00706386,0.0329091,40.1519,1.12425,2347
1990.62,0.00610543,0.0284433,34.3811,0.962669,2026
2154.7,0.00660753,0.030784,37.2226,1.04223,2193
1412.71,0.00432803,0.0201655,24.5745,0.688086,1438
1581.66,0.00484594,0.0225771,27.5392,0.771097,1610
1463.86,0.00448736,0.0209063,25.4043,0.71132,1490
1877.54,0.00575706,0.0268208,32.5212,0.910595,1911
2819.42,0.00863607,0.0402391,49.1513,1.37624,2870
1628.85,0.00499146,0.0232564,28.3314,0.793279,1658
1272.25,0.00389892,0.0181652,22.1092,0.619058,1295
1307.61,0.0040076,0.0186712,22.7306,0.636458,1331
1271.26,0.00389547,0.0181495,22.101,0.618829,1294
1301.7,0.00398868,0.018583,22.6441,0.634034,1325
1589.56,0.0048708,0.0226939,27.64,0.773919,1618
1660.37,0.00508922,0.0237111,28.7907,0.80614,1690
1608.26,0.0049286,0.0229635,27.9292,0.782018,1637
1383.32,0.00424061,0.019757,23.983,0.671523,1408
1519.88,0.00465913,0.0217069,26.3515,0.737842,1547
1414.67,0.00433424,0.0201941,24.6173,0.689284,1440
1312.5,0.00402066,0.018733,22.8367,0.639427,1336
1367.54,0.00419011,0.0195221,23.7746,0.665689,1392
1446.1,0.00443072,0.0206441,25.166,0.704647,1472
1552.19,0.00475548,0.0221575,27.0237,0.756662,1580
1483.55,0.00454879,0.0211911,25.7065,0.719781,1510
1577.9,0.00483903,0.0225422,27.3095,0.764665,1606
1970.1,0.00604555,0.0281628,33.9176,0.949694,2005
1458.12,0.0044731,0.0208369,25.1484,0.704156,1484
1506.08,0.00461653,0.0215074,26.1601,0.732484,1533
1574.85,0.00482692,0.0224893,27.3544,0.765924,1603
1761.45,0.0053962,0.0251418,30.661,0.858508,1793
1732,0.00530642,0.0247223,30.126,0.843527,1763
1658.44,0.00508362,0.0236851,28.7308,0.804462,1688
2545.49,0.00780094,0.0363454,44.2276,1.23837,2591
1584.61,0.00485473,0.0226198,27.5874,0.772446,1613
1752.61,0.00536857,0.0250146,30.5085,0.854237,1784
1366.53,0.00418662,0.0195071,23.7805,0.665853,1391
1856.24,0.00569842,0.0265449,31.8349,0.891378,1889
1497.56,0.00459664,0.0214136,25.6957,0.71948,1524
2345.52,0.00719767,0.0335318,40.3137,1.12878,2387
2291.4,0.00703073,0.0327551,39.4563,1.10478,2332
1529.63,0.00468659,0.0218366,26.597,0.744717,1557
1456.92,0.00446364,0.020797,25.348,0.709745,1483
1512.9,0.00463482,0.0215953,26.3384,0.737474,1540
1458.86,0.00446868,0.0208213,25.4006,0.711216,1485
2515.74,0.0077669,0.0361737,41.0673,1.14988,2558
2680.2,0.00827951,0.0385607,43.535,1.21898,2725
2770.53,0.00855415,0.0398408,45.1604,1.26449,2817
2399.97,0.00741511,0.0345346,38.9027,1.08927,2440
2728.03,0.0084196,0.0392155,44.6671,1.25068,2774
1443.75,0.00445675,0.0207581,23.5633,0.659771,1468
1286.37,0.00397051,0.0184933,21.019,0.588533,1308
3418.43,0.0105712,0.0492353,54.972,1.53922,3475
2522.7,0.00778897,0.0362791,41.1082,1.15103,2565
1471.1,0.00453737,0.0211346,24.2002,0.677606,1496
1827,0.00563352,0.0262398,30.1288,0.843607,1858
2534.09,0.0078159,0.0364046,41.6937,1.16742,2577
1765.63,0.00545688,0.0254143,28.536,0.799008,1795
2738.99,0.00845588,0.0393837,44.7145,1.25201,2785
2433.68,0.00752587,0.0350499,39.1841,1.09715,2474
2984.18,0.00919728,0.0428397,49.3882,1.38287,3035
2854.59,0.00880452,0.0410062,47.0427,1.3172,2903
2773.2,0.00855668,0.039854,45.4755,1.27331,2820
2685.17,0.00829614,0.0386378,43.5627,1.21976,2730
2303.25,0.0071094,0.0331128,37.6578,1.05442,2342
2674.51,0.00824413,0.0384039,44.2039,1.23771,2720
1286.18,0.00396625,0.018474,21.2006,0.593616,1308
1673.65,0.00516184,0.0240429,27.5481,0.771347,1702
2875.84,0.00885937,0.0412689,47.7679,1.3375,2925
1711.22,0.00528197,0.0246024,27.9638,0.782986,1740
2063.07,0.00634018,0.0295378,34.9146,0.97761,2099
1428.24,0.00439285,0.0204639,24.0631,0.673767,1453
2393.49,0.00736142,0.0342914,40.3423,1.12959,2435
3442.94,0.01058,0.0492906,58.3672,1.63428,3503
1892.92,0.00581636,0.0270963,32.1485,0.900159,1926
1709.12,0.00525123,0.0244648,29.0417,0.813168,1739
2543.68,0.0078168,0.0364183,43.0711,1.20599,2588
1568.58,0.00481982,0.022453,26.65,0.746201,1596
1736.62,0.00533644,0.0248593,29.5278,0.826779,1767
2089.5,0.00642108,0.0299113,35.4697,0.993151,2126
2545.8,0.00782995,0.0364726,42.9521,1.20266,2590
2757.17,0.00847948,0.0395015,46.4778,1.30138,2805
2322.46,0.00713706,0.0332477,39.4002,1.10321,2363
2565.66,0.00789523,0.0367762,43.0854,1.20639,2610
1753.4,0.00538826,0.0251013,29.7398,0.832714,1784
1575.61,0.00484413,0.022566,26.6166,0.745264,1603
1645.39,0.00505848,0.0235661,27.8067,0.778588,1674
3391.89,0.0104275,0.0485727,57.4408,1.60834,3451
2929.24,0.00899144,0.041887,50.2967,1.40831,2981
3402.11,0.0104668,0.0487562,57.2332,1.60253,3461
1852.68,0.00569325,0.0265215,31.4113,0.879516,1885
1871.15,0.0057477,0.0267743,31.9226,0.893832,1904
1434.91,0.00440979,0.0205413,24.3787,0.682603,1460
1716.02,0.00527286,0.0245638,29.1306,0.815656,1746
2102.32,0.00646061,0.0300983,35.65,0.998199,2139
1528.62,0.00470466,0.0219151,25.6338,0.717746,1555
1554.24,0.00478493,0.0222872,26.0027,0.728076,1581
2465.66,0.00757295,0.0352766,42.1207,1.17938,2509
2664.42,0.00818676,0.0381396,45.2632,1.26737,2711
1862.68,0.00572899,0.026688,31.4085,0.879437,1895
2059.69,0.0063436,0.0295495,34.3147,0.960812,2095
1965.28,0.00605145,0.028189,32.7728,0.917639,1999
1959.12,0.00602807,0.02808,32.9271,0.921959,1993
1483.5,0.00456737,0.0212744,24.7834,0.693934,1509
2239.42,0.00689323,0.0321087,37.4961,1.04989,2278
1767.66,0.00544274,0.0253532,29.486,0.825608,1798
1690.02,0.00520441,0.0242425,28.1577,0.788415,1719
1858.06,0.00572186,0.0266501,31.0383,0.869073,1890
1766.59,0.00543844,0.0253337,29.5543,0.827521,1797
1648.52,0.00507335,0.0236314,27.6785,0.774998,1677
2464.71,0.00758921,0.0353515,41.0985,1.15076,2507
1503.24,0.00462948,0.0215643,25.0281,0.700787,1529
2638.86,0.00812797,0.0378615,43.8639,1.22819,2684
1698.66,0.00522799,0.0243502,28.5127,0.798356,1728
2090.2,0.00643842,0.0299909,34.7854,0.973992,2126
2092.87,0.00644027,0.0299999,35.1105,0.983094,2129
2621.76,0.00806827,0.0375828,43.9613,1.23092,2667
2768.51,0.00850685,0.039629,47.1188,1.31933,2817
2955.09,0.00909587,0.0423709,49.4719,1.38521,3006
2584.35,0.00795385,0.0370495,43.3864,1.21482,2629
2518.77,0.00773627,0.0360415,42.98,1.20344,2563
2001,0.00614912,0.0286435,34.0093,0.95226,2036
2044.17,0.00627992,0.029256,34.8179,0.974901,2080
2722.09,0.00837851,0.0390284,45.5873,1.27644,2769
2323.99,0.00715308,0.0333218,38.882,1.0887,2364
2479.44,0.00763551,0.0355666,41.3609,1.15811,2522
3413.11,0.0104847,0.0488414,58.2006,1.62962,3473
2538.01,0.00780707,0.0363686,42.7515,1.19704,2582
2677.87,0.00824299,0.0383954,44.8258,1.25512,2724
2662.42,0.00820145,0.0382015,44.2924,1.24019,2708
2390.36,0.00734942,0.0342335,40.4673,1.13308,2432
2693.67,0.00829338,0.0386306,45.0219,1.26061,2740
2333.69,0.00718118,0.0334511,39.1761,1.09693,2374
1694.76,0.00521572,0.024296,28.4193,0.795741,1724
1736.95,0.00532193,0.0247979,30.1779,0.844981,1768
1496.25,0.0045843,0.0213602,25.9934,0.727815,1523
1587.6,0.00486349,0.0226624,27.6034,0.772895,1616
1714.28,0.00525058,0.024466,29.8589,0.836049,1745
1982.45,0.00607155,0.0282911,34.5501,0.967402,2018
2184.79,0.0066909,0.0311774,38.1062,1.06697,2224
1967.68,0.00602577,0.0280779,34.3236,0.96106,2003
1800.68,0.00551478,0.0256964,31.4047,0.879332,1833
2065.9,0.00632685,0.0294801,36.0539,1.00951,2103
1677.9,0.00513775,0.0239423,29.2477,0.818935,1708
1536.45,0.00470541,0.0219255,26.7759,0.749725,1564
1607.15,0.00492143,0.022933,28.0349,0.784977,1636
1781.05,0.00545454,0.0254169,31.0483,0.869352,1813
1973.6,0.00604385,0.028163,34.4034,0.963296,2009
2068.9,0.00633534,0.0295217,36.0586,1.00964,2106
1891.11,0.00579236,0.0269896,32.9378,0.922258,1925
1747.68,0.00535287,0.0249422,30.4369,0.852233,1779
1888.16,0.00578292,0.026947,32.8841,0.920755,1922
1829.21,0.00560221,0.026105,31.8625,0.892151,1862
1888.15,0.00578254,0.0269462,32.8925,0.920991,1922
1671.05,0.00511795,0.0238483,29.1012,0.814834,1701
1369.47,0.00419454,0.0195443,23.8383,0.667473,1394
1699.52,0.00520518,0.0242538,29.6237,0.829464,1730
1754.53,0.00537336,0.0250377,30.5856,0.856397,1786
2113.08,0.0064711,0.0301521,36.8508,1.03182,2151
1862.57,0.00570405,0.0265799,32.4865,0.909622,1896
2080.66,0.00637289,0.029693,36.2886,1.01608,2118
1793.87,0.00549404,0.0256023,31.2279,0.874381,1826
2133.73,0.00653446,0.0304477,37.1938,1.04143,2172
1861.58,0.00570052,0.0265643,32.4755,0.909315,1895
1657.26,0.0050754,0.02365,28.9005,0.809215,1687
1838,0.00562877,0.0262282,32.0738,0.898066,1871
1527.62,0.00467844,0.0218004,26.6086,0.745041,1555
1923.49,0.00589033,0.027448,33.5375,0.939049,1958
1461.81,0.00447681,0.0208609,25.4556,0.712756,1488
1673.01,0.00512334,0.0238735,29.1487,0.816162,1703
2201.52,0.00674123,0.0314119,38.3712,1.07439,2241
1309.52,0.00401063,0.0186885,22.8229,0.63904,1333
1721.13,0.0052714,0.0245621,30.0041,0.840115,1752
1608.15,0.00492541,0.0229502,28.0378,0.785059,1637
1588.51,0.00486534,0.0226709,27.6824,0.775108,1617
1568.88,0.00480514,0.0223896,27.3313,0.765277,1597
1577.73,0.00483206,0.0225163,27.4695,0.769145,1606
1924.47,0.00589417,0.0274643,33.5561,0.939572,1959
2015.82,0.0061739,0.0287664,35.1588,0.984446,2052
1875.36,0.00574386,0.0267634,32.6901,0.915323,1909
1960.81,0.00600443,0.0279801,34.1946,0.95745,1996
