S,I,X,R,D,N
698.55,3.00314,4.58393,395.781,11.0819,1113
1147.86,4.93413,7.53181,650.463,18.213,1829
942.737,4.05308,6.18644,534.07,14.9539,1502
1088.36,4.67892,7.14192,616.555,17.2635,1734
1143.61,4.91669,7.50467,647.828,18.1392,1822
1891.02,8.13087,12.4099,1071.44,30.0002,3013
1695.13,7.2864,11.1226,960.568,26.8959,2701
1225.79,5.26964,8.04364,694.452,19.4447,1953
1690.86,7.26915,11.0956,957.956,26.8228,2694
1343.04,5.77302,8.8124,761.066,21.3099,2140
1065.76,4.58204,6.99382,603.759,16.9052,1698
1393.39,5.99048,9.14368,789.37,22.1024,2220
1225.81,5.27009,8.04403,694.427,19.444,1953
1757.45,7.55567,11.5327,995.589,27.8765,2800
1609.32,6.91877,10.5606,911.671,25.5268,2564
1741.61,7.48798,11.429,986.838,27.6315,2775
1095.25,4.70837,7.18699,620.479,17.3734,1745
980.386,4.21443,6.43313,555.415,15.5516,1562
1474.37,6.33843,9.67494,835.227,23.3864,2349
1657.65,7.12656,10.8778,939.05,26.2934,2641
969.729,4.16901,6.36351,549.356,15.382,1545
1134.16,4.87602,7.44261,642.527,17.9907,1807
1344.45,5.78009,8.82256,761.625,21.3255,2142
1530.75,6.58166,10.0455,867.334,24.2854,2439
1686.31,7.24774,11.0641,955.618,26.7573,2687
987.993,4.2484,6.48413,559.606,15.669,1574
1277.35,5.49276,8.38317,723.518,20.2585,2035
1473.21,6.3353,9.66883,834.418,23.3637,2347
1271.69,5.46818,8.34594,720.324,20.1691,2026
1376.52,5.91891,9.03385,779.7,21.8316,2193
902.624,3.8816,5.92402,511.255,14.3151,1438
1010.59,4.34585,6.63261,572.4,16.0272,1610
935.174,4.02134,6.13744,529.832,14.8353,1490
1199.52,5.15797,7.87242,679.428,19.024,1911
1801.46,7.74696,11.8232,1020.4,28.5711,2870
1040.72,4.47536,6.8303,589.466,16.5051,1658
812.867,3.49547,5.33485,460.411,12.8915,1295
835.461,3.59264,5.48313,473.214,13.25,1331
812.247,3.49287,5.33079,460.048,12.8813,1294
831.692,3.57647,5.45842,471.083,13.1903,1325
1015.61,4.36733,6.66544,575.25,16.107,1618
1060.79,4.56154,6.96194,600.861,16.8241,1690
1027.55,4.4187,6.74381,581.994,16.2958,1637
883.791,3.80041,5.80033,500.592,14.0166,1408
971.044,4.17563,6.37296,550.007,15.4002,1547
903.88,3.88694,5.9322,511.966,14.3351,1440
838.602,3.6062,5.50378,474.989,13.2997,1336
873.74,3.75726,5.73436,494.911,13.8575,1392
923.958,3.9733,6.06401,523.351,14.6538,1472
991.74,4.26469,6.50879,561.757,15.7292,1580
947.81,4.0756,6.22035,536.862,15.0321,1510
1008.06,4.33465,6.61576,571,15.988,1606
1258.39,5.41051,8.25815,712.981,19.9635,2005
931.484,4.00522,6.11311,527.624,14.7735,1484
962.255,4.13784,6.31528,545.031,15.2609,1533
1006.18,4.3267,6.60353,569.928,15.958,1603
1125.46,4.83976,7.38642,637.469,17.8491,1793
1106.62,4.75875,7.26285,626.807,17.5506,1763
1059.54,4.55616,6.95374,600.143,16.804,1688
1626.36,6.99386,10.674,921.183,25.7931,2591
1012.46,4.35383,6.64478,573.488,16.0577,1613
1119.8,4.81538,7.3493,634.275,17.7597,1784
873.111,3.75453,5.73024,494.556,13.8476,1391
1185.68,5.0979,7.78112,671.633,18.8057,1889
956.568,4.11287,6.27754,541.869,15.1723,1524
1498.25,6.44201,9.83249,848.707,23.7638,2387
1463.75,6.29381,9.60616,829.138,23.2159,2332
977.322,4.20271,6.41419,553.561,15.4997,1557
930.869,4.00301,6.10936,527.255,14.7632,1483
966.641,4.1568,6.34408,547.528,15.3308,1540
932.129,4.00837,6.11762,527.962,14.7829,1485
1605.3,6.89714,10.5307,909.802,25.4745,2558
1710,7.34627,11.2168,969.301,27.1404,2725
1767.86,7.59544,11.597,1001.9,28.0531,2817
1531.15,6.57802,10.0438,867.928,24.302,2440
1740.79,7.47955,11.4195,986.686,27.6272,2774
921.268,3.9583,6.04361,522.111,14.6191,1468
820.861,3.52693,5.38494,465.202,13.0257,1308
2180.56,9.36673,14.3025,1236.15,34.6123,3475
1609.7,6.91595,10.5594,912.284,25.544,2565
938.869,4.03442,6.15949,532.04,14.8971,1496
1166.06,5.01087,7.6502,660.773,18.5016,1858
1617.29,6.9496,10.6102,916.492,25.6618,2577
1126.39,4.83892,7.38855,638.504,17.8781,1795
1747.67,7.50897,11.4648,990.616,27.7372,2785
1552.44,6.6685,10.1824,880.069,24.6419,2474
