From LGD,From LGD Code,To LGD,To LGD Code,No of Commuters
95CC - ARMAGH,95CC,Offshore installation,95CC,20
95CC - ARMAGH,95CC,No fixed place,95CC,4057
95CC - ARMAGH,95CC,Outside UK,95CC,509
95DD - BALLYMENA,95DD,95AA - ANTRIM,95AA,2801
95DD - BALLYMENA,95DD,95BB - ARDS,95BB,28
95DD - BALLYMENA,95DD,95CC - ARMAGH,95CC,62
95DD - BALLYMENA,95DD,95DD - BALLYMENA,95DD,13920
95DD - BALLYMENA,95DD,95EE - BALLYMONEY,95EE,419
95DD - BALLYMENA,95DD,95FF - BANBRIDGE,95FF,77
95DD - BALLYMENA,95DD,95GG - BELFAST,95GG,2418
95DD - BALLYMENA,95DD,95HH - CARRICKFERGUS,95HH,92
95DD - BALLYMENA,95DD,95II - CASTLEREAGH,95II,160
95DD - BALLYMENA,95DD,95JJ - COLERAINE,95JJ,399
95DD - BALLYMENA,95DD,95KK - COOKSTOWN,95KK,80
95DD - BALLYMENA,95DD,95LL - CRAIGAVON,95LL,123
95DD - BALLYMENA,95DD,95MM - DERRY,95MM,69
95DD - BALLYMENA,95DD,95NN - DOWN,95NN,35
95DD - BALLYMENA,95DD,95OO - DUNGANNON,95OO,31
95DD - BALLYMENA,95DD,95PP - FERMANAGH,95PP,6
95DD - BALLYMENA,95DD,95QQ - LARNE,95QQ,429
95DD - BALLYMENA,95DD,95RR - LIMAVADY,95RR,35
95DD - BALLYMENA,95DD,95SS - LISBURN,95SS,189
95DD - BALLYMENA,95DD,95TT - MAGHERAFELT,95TT,380
95DD - BALLYMENA,95DD,95UU - MOYLE,95UU,85
95DD - BALLYMENA,95DD,95VV - NEWRY & MOURNE,95VV,76
95DD - BALLYMENA,95DD,95WW - NEWTOWNABBEY,95WW,787
95DD - BALLYMENA,95DD,95XX - NORTH DOWN,95XX,65
95DD - BALLYMENA,95DD,95YY - OMAGH,95YY,13
95DD - BALLYMENA,95DD,95ZZ - STRABANE,95ZZ,1
95DD - BALLYMENA,95DD,Mainly work at or from home,95DD,3300
